	chr19:30281572-30281611	chr19:30281612-30281671	chr19:30281672-30281721	chr19:30281722-30281821	chr19:30281822-30281871	chr19:30281872-30281901	chr19:30281902-30281921	chr19:30281922-30282021	chr19:30282022-30282081	chr19:30282082-30282171	chr19:30282172-30282321	chr19:30282322-30282471	chr19:30282472-30282561	chr19:30282562-30282621	chr19:30282622-30282771	chr19:30282772-30282921	chr19:30282922-30283011	chr19:30283012-30283071	chr19:30283072-30283221	chr19:30283222-30283371	chr19:30283372-30283471	chr19:30283472-30283521	chr19:30283522-30283571	chr19:30283572-30283671	chr19:30283672-30283771	chr19:30283772-30283821	chr19:30283822-30283971	chr19:30283972-30284061	chr19:30284062-30284121	chr19:30284122-30284191	chr19:30284192-30284271	chr19:30284272-30284341	chr19:30284342-30284421	chr19:30284422-30284571	chr19:30284572-30284631	chr19:30284632-30284721	chr19:30284722-30284821	chr19:30284822-30284871	chr19:30284872-30284931	chr19:30284932-30285021	chr19:30285022-30285171	chr19:30285172-30285251	chr19:30285252-30285321	chr19:30285322-30285421	chr19:30285422-30285471	chr19:30285472-30285621	chr19:30285622-30285721	chr19:30285722-30285771	chr19:30285772-30285921	chr19:30285922-30286071	chr19:30286072-30286131	chr19:30286132-30286221	chr19:30286222-30286291	chr19:30286292-30286371	chr19:30286372-30286521	chr19:30286522-30286581	chr19:30286582-30286641	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.d82f15eb-8d9c-43cf-9741-0ee88b2ded27.fc.signal	1.81898	0.55739	0.749447	1.9508	1.68385	1.74192	1.15305	1.30806	1.90843	1.91242	1.94287	1.6659	0.738249	1.04367	1.06935	0.267649	0.254287	0.503649	0.70248	0.540009	0.489504	0.358795	0.678276	0.78721	0.980892	1.11351	1.10772	0.753118	0.629872	0.47012	1.00647	0.586607	0.775388	1.89059	0.388062	0.847009	1.82752	1.24305	0.655378	0.650774	0.736007	0.196058	0	0.0875466	0.869689	0.941864	1.43368	1.92502	1.55598	0.460453	0.922433	1.38717	1.1985	0.963722	0.929557	1.22594	1.08015	0.412844
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002005.1.3f273eb1-d109-4260-952a-5ac2e044448b.fc.signal	1.88187	1.44335	1.55379	1.4246	1.07775	1.3008	1.09619	1.32069	1.49195	1.69677	0.833454	0.596706	0.611691	0.694184	0.482923	0.758185	0.65739	1.06421	0.855885	1.22233	2.23663	1.69577	1.39609	0.670814	0.698624	0.826229	0.202324	0.378302	0.574124	0.594969	0.994468	0.728167	1.44822	1.3218	0.750055	0.753833	1.05849	0.954126	0.552826	0.401128	0.926166	0.886695	1.05312	0.921664	0.536911	0.729865	1.55482	1.28347	0.309223	0.857555	1.10737	0.347576	0.0272683	0.189048	0.564487	1.07089	0.978934	0.392
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001852.4.51e98f97-6119-4df6-b770-df4f0c759ed4.fc.signal	0.973269	0.903357	0.789961	0.931315	1.06895	1.1375	1.0717	0.99106	0.844526	1.0843	1.3343	1.39323	1.44327	1.32127	1.69174	1.98051	1.98688	1.96386	1.89896	1.77531	1.63831	1.44413	2.05496	2.46784	2.25198	1.76839	1.46243	0.936407	0.847694	1.25905	1.78498	1.92381	1.37038	1.21148	1.14911	0.8133	1.51801	1.53495	1.56952	1.077	0.900491	0.896837	0.997008	1.32443	1.41205	1.50884	1.6421	1.78347	1.5296	0.973464	0.65202	0.689202	1.33854	1.86526	1.70431	1.19062	1.00227	0.348958
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.eb6b8116-681b-4ebd-8a3a-5c8e0b38a2a8.fc.signal	0.601199	0.78842	1.20401	0.846288	0.79603	0.438358	0.4019	0.42668	0.8116	1.08982	2.23309	1.36552	0.993175	1.58537	1.03783	0.510593	0.883497	0.932538	0.547364	0.690405	1.45278	1.33131	1.06864	0.656225	1.19081	1.51957	0.699598	0.566813	0.773947	0.492288	0.401264	0.456455	1.07308	1.65515	1.0551	1.14026	0.747602	0.382918	0.103178	0.27098	0.672889	0.404425	0.342463	0.726943	1.05146	0.753683	0.674837	1.02685	0.952219	1.67988	2.4171	0.608941	0.120228	0.0636487	0.528792	0.651542	0.252222	0.286713
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.43d53f41-e4a2-4421-b86f-0d0bce6de71d.fc.signal	1.2165	1.06232	0.609129	1.0616	1.09379	1.20123	1.20645	0.769235	0.66487	0.775546	0.698328	0.24931	0.106052	0.884959	1.48849	0.473298	0.177044	0.692377	1.311	0.87528	0.581045	0.880632	1.34317	1.65682	1.29893	0.892682	1.07481	1.18751	1.0824	1.25623	1.51809	1.22782	0.791433	0.859112	0.723796	0.944963	1.16421	0.647394	0.405461	0.34626	0.492161	1.01522	1.15452	1.01464	0.547967	0.972417	1.00665	0.607183	0.506943	1.23449	1.92712	1.74297	0.844543	0.821569	0.91309	0.356727	0.352201	0.591241
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.41844a41-a9d8-47e3-9699-651cca6131a4.fc.signal	1.2805	0.550666	0.321347	0.232499	0.653131	1.27335	1.25149	1.79268	1.84062	0.764642	0.0418303	0.0528514	0.92783	1.59155	0.681804	0.880857	1.04178	1.12215	0.291079	0.642799	0.298417	0.655948	1.33756	0.824082	0.310301	0.76624	0.634089	0.385695	0.555693	0.800413	1.09506	1.14512	1.05438	0.890594	0.434316	0.422718	0.871202	0.760412	0.690249	0.473283	0.459152	1.08461	0.573494	0.180288	0.639139	0.634561	0.827145	2.31513	1.13015	0.118062	0.582521	0.470934	0.507733	0.796623	0.420501	0.640136	0.271203	0.724868
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.db376d3b-ae63-4e49-80d2-dc3c632957a3.fc.signal	1.37706	1.07393	0.859146	0.703777	0.914845	1.20135	1.26803	1.2721	1.34339	0.929445	0.973981	1.69229	0.802216	0.266065	0.205697	0.0310375	0.101155	0.291742	0.304858	0.322279	0.680971	1.15102	1.18149	0.643906	0.393779	0.317257	0.228603	0.299654	0.61697	0.58179	0.771858	1.10773	2.36841	1.78082	0.34643	0.247297	0.329754	0.843296	0.823434	1.34964	0.87711	0.381199	0.485447	0.563263	1.27824	1.09658	0.839593	0.999362	0.961498	0.725228	0.834569	1.35438	1.59044	1.02072	0.021884	0	0	0.664671
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002065.1.86df225b-3e1d-4a7a-bbec-4e5619ad713f.fc.signal	1.63853	1.27633	1.10736	1.16453	1.11758	0.841086	1.15477	1.29559	1.56879	1.55979	1.75092	2.18676	1.46864	0.883928	0.896147	0.833686	0	0	0	0	0.181272	0.983159	1.30122	1.83789	1.09999	0.837737	1.76095	1.32705	0.712369	0.410353	0.820674	0.696461	0.944996	1.46191	1.84202	0.719275	0.689095	0.691132	0.771465	0.35003	0.366354	0.274278	0.3555	0.398312	0.62962	0.945367	0.876332	0.702341	1.03241	1.12258	0.95609	0.420886	0.358882	0.373793	0.52988	0.707202	0.481102	0.611111
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.fb569507-616e-4ddb-bce1-2cdd793c15be.fc.signal	0.695865	1.35606	1.16213	0.600832	1.62076	1.85244	1.58599	0.985342	1.04594	0.963199	0.3738	0.886107	1.06084	0.749633	0.473587	0.440458	0.443334	0.814231	0.454162	0.434327	0.664958	0.92746	1.05433	1.19888	1.77037	1.28403	0.942083	0.862701	1.21823	1.15388	0.472259	0.588765	0.776991	0.377083	0.491504	0.539943	0.488666	0.268281	0.0262203	0.2867	0.285096	0.399204	0.594329	0.414237	0.218286	0.472096	0.4608	0.621384	0.848272	0.746216	1.40972	0.990951	0.356382	0.606348	0.481473	0.986917	0.879925	0.188811
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003679.3.5e5b25af-d97d-461f-8d8a-fbde27405ef2.fc.signal	0.541154	0.580394	0.612478	0.870571	1.00487	0.859788	0.688363	0.70596	1.05416	0.683644	0.841875	0.912747	1.28772	1.69937	1.32919	0.701376	0.530428	1.05107	1.50529	2.02413	0.772157	0.424698	0.55158	0.867329	1.37469	1.1775	2.07191	0.838029	1.01464	1.28331	1.34347	0.854727	0.388673	0.430157	0.339903	0.553776	1.14331	0.476852	0.11242	0.618964	0.842919	0.775572	1.41229	1.23956	0.606707	0.914852	0.981739	0.799774	0.981735	0.723992	0.860941	0.664427	0.380918	0.504977	0.469739	0.652692	0.788276	0.173333
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.e94dc50d-5d07-421e-95e0-6d1d792d2f56.fc.signal	0.650265	1.20105	2.47671	3.00084	1.13039	0	0.104668	1.01848	1.01072	0.34038	0.856578	2.02645	3.29822	1.4313	0.242127	1.21916	2.70387	1.69024	0.735799	1.54445	1.92212	1.37022	0.873771	0.685112	1.72616	1.23712	0.371678	0.437854	0.416142	0.107393	0	0	0	0	0	0	0.419854	1.16626	1.16626	0.570172	0	0.604022	3.31769	6.30913	3.38613	0.652269	0	0	0	0.528705	1.16626	0.803424	0	0	0	0.726381	3.49865	0.45625
