	chr2:167240069-167240108	chr2:167240109-167240218	chr2:167240219-167240298	chr2:167240299-167240368	chr2:167240369-167240488	chr2:167240489-167240518	chr2:167240519-167240578	chr2:167240579-167240628	chr2:167240629-167240668	chr2:167240669-167240818	chr2:167240819-167240908	chr2:167240909-167240968	chr2:167240969-167241118	chr2:167241119-167241268	chr2:167241269-167241338	chr2:167241339-167241418	chr2:167241419-167241568	chr2:167241569-167241718	chr2:167241719-167241868	chr2:167241869-167242018	chr2:167242019-167242108	chr2:167242109-167242168	chr2:167242169-167242318	chr2:167242319-167242408	chr2:167242409-167242468	chr2:167242469-167242618	chr2:167242619-167242718	chr2:167242719-167242768	chr2:167242769-167242788	chr2:167242789-167242918	chr2:167242919-167243068	chr2:167243069-167243138	chr2:167243139-167243218	chr2:167243219-167243368	chr2:167243369-167243418	chr2:167243419-167243478	chr2:167243479-167243518	chr2:167243519-167243588	chr2:167243589-167243668	chr2:167243669-167243818	chr2:167243819-167243908	chr2:167243909-167243968	chr2:167243969-167244058	chr2:167244059-167244118	chr2:167244119-167244268	chr2:167244269-167244328	chr2:167244329-167244418	chr2:167244419-167244478	chr2:167244479-167244568	chr2:167244569-167244718	chr2:167244719-167244808	chr2:167244809-167244868	chr2:167244869-167244928	chr2:167244929-167245018	chr2:167245019-167245168	chr2:167245169-167245238	chr2:167245239-167245318	chr2:167245319-167245428	chr2:167245429-167245468	chr2:167245469-167245618	chr2:167245619-167245768	chr2:167245769-167245858	chr2:167245859-167245918	chr2:167245919-167246008	chr2:167246009-167246068	chr2:167246069-167246218	chr2:167246219-167246278	chr2:167246279-167246368	chr2:167246369-167246518	chr2:167246519-167246608	chr2:167246609-167246668	chr2:167246669-167246748	chr2:167246749-167246818	chr2:167246819-167246858	chr2:167246859-167246968	chr2:167246969-167247118	chr2:167247119-167247268	chr2:167247269-167247368	chr2:167247369-167247418	chr2:167247419-167247468	chr2:167247469-167247498	chr2:167247499-167247568	chr2:167247569-167247658	chr2:167247659-167247718	chr2:167247719-167247848	chr2:167247849-167247868	chr2:167247869-167247958	chr2:167247959-167248018	chr2:167248019-167248168	chr2:167248169-167248218	chr2:167248219-167248318	chr2:167248319-167248468	chr2:167248469-167248618	chr2:167248619-167248678	chr2:167248679-167248768	chr2:167248769-167248918	chr2:167248919-167249068	chr2:167249069-167249158	chr2:167249159-167249218	chr2:167249219-167249288	chr2:167249289-167249368	chr2:167249369-167249488	chr2:167249489-167249518	chr2:167249519-167249668	chr2:167249669-167249728	chr2:167249729-167249818	chr2:167249819-167249848	chr2:167249849-167249908	chr2:167249909-167249968	chr2:167249969-167250078	chr2:167250079-167250118	chr2:167250119-167250268	chr2:167250269-167250418	chr2:167250419-167250568	chr2:167250569-167250718	chr2:167250719-167250868	chr2:167250869-167250928	chr2:167250929-167251018	chr2:167251019-167251168	chr2:167251169-167251318	chr2:167251319-167251468	chr2:167251469-167251548	chr2:167251549-167251618	chr2:167251619-167251708	chr2:167251709-167251768	chr2:167251769-167251918	chr2:167251919-167252068	chr2:167252069-167252158	chr2:167252159-167252218	chr2:167252219-167252268	chr2:167252269-167252368	chr2:167252369-167252518	chr2:167252519-167252668	chr2:167252669-167252818	chr2:167252819-167252858	chr2:167252859-167252968	chr2:167252969-167253118	chr2:167253119-167253188	chr2:167253189-167253218	chr2:167253219-167253268	chr2:167253269-167253358	chr2:167253359-167253418	chr2:167253419-167253488	chr2:167253489-167253568	chr2:167253569-167253648	chr2:167253649-167253718	chr2:167253719-167253768	chr2:167253769-167253868	chr2:167253869-167253928	chr2:167253929-167254018	chr2:167254019-167254078	chr2:167254079-167254168	chr2:167254169-167254238	chr2:167254239-167254318	chr2:167254319-167254378	chr2:167254379-167254447	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000980.8.368c97f7-f82d-4e9f-a521-00182447a421.fc.signal	0.317841	0.162695	0.0496508	0.66201	0.627658	0	0	0	0	0	0	0.0271615	0.647756	0.813541	0.45395	0	0	1.38144	1.90225	0.948877	0.117691	0	0.657597	1.0445	1.32401	0.764759	0	0.496001	0.66201	1.27951	2.7248	2.6576	3.01226	3.10715	1.98615	2.32818	2.58334	3.20835	2.26585	0.295165	0.499493	1.22636	1.33893	2.32127	1.81209	0.964587	1.06657	0.99301	1.29459	1.54474	0.764988	0.66201	0.66201	0.191247	0.480722	1.13103	0.534357	0.670854	1.17336	0.771916	0.505851	0.230846	0	0	0	0.277976	0.523067	0.27912	0	0.4132	1.53713	1.8101	1.74296	0.974954	1.00436	2.1291	1.06595	0.383373	0.416975	0.558239	0.797627	1.15732	0.819961	0.490203	0.152981	1.32401	1.32401	1.5999	0.924148	0.777819	0.516368	0.66201	0.194618	0.601321	2.14857	2.29495	1.11035	0.625056	0.537195	0.0567437	0	0.54064	1.32401	1.55355	1.32401	1.22103	0.66201	0.66201	0.970943	0.836537	0.77786	0.737037	0.167709	0.529608	0.505227	0.584272	0.238094	0.519174	1.05307	1.27178	0.369005	0	0	0.18812	0.50757	0.429578	0.604636	0.426629	0	0	0	0	0	0.158882	0.66201	0.66201	0.0397206	0.539065	0.66201	0.66201	1.47116	1.32005	0.876942	0.0339525	0	0	0	0	0	0	0	0	0	0	0	0.556472	0.0509697
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004664.3.3e0c3e5b-0b04-413e-8945-15e328b75c75.fc.signal	0.251578	0.319041	0.986177	1.52453	1.50238	0.871111	0.712672	0.670077	0.854478	1.28569	1.65428	1.49801	1.07262	1.30459	1.1284	0.706181	0.974813	1.49429	1.259	1.27918	0.758961	0.220788	0.192987	0.819034	1.44464	0.970984	0.424562	0.278478	0.370393	0.277518	0.431968	0.323656	0.789569	0.774451	0.0571072	0.112435	0.386014	0.517007	0.753641	1.08026	1.1388	1.01819	1.15048	1.6853	1.67179	1.50574	1.35311	1.18734	0.685934	0.812958	0.678648	0.471363	0.616994	0.763837	0.702154	0.575888	0.613668	0.577016	0.397828	0.630517	1.13859	1.1679	0.825693	0.734725	0.486411	0.831146	0.669956	0.51356	0.777874	0.650314	0.377469	0.596829	0.908018	1.25418	1.21505	1.13163	0.98243	0.870974	0.45581	0.762655	0.676231	0.899571	1.10086	0.625485	0.813083	0.589883	0.762498	0.454224	0.439135	0.493862	1.03169	1.30448	1.09219	0.80749	0.684689	0.624182	0.3762	0.487642	0.459463	0.444542	0.0176347	0.0294788	0.235844	0.230709	0.470591	0.987261	1.19545	1.15138	0.638257	0.352836	0.440356	0.79491	0.533752	0.340404	0.306974	0.349504	0.456061	0.618312	1.08661	1.58474	2.10846	1.30477	0.576217	0.486126	0.571036	0.602175	1.04251	1.12919	1.88791	2.06676	1.93385	1.28243	1.64371	0.875277	0.508124	1.17718	1.09262	0.53414	0.669521	0.845768	0.913887	1.06857	1.09471	1.42635	1.07529	0.650789	0.303341	0.37872	0.54665	0.688158	1.04015	1.38673	1.30129	1.16725	0.865797	0.598675	0.723558
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003826.4.87afad01-d436-4b9f-ad87-b00cd4a79273.fc.signal	0.158751	0.37934	0.501209	0.98342	0.601491	0.29683	0.290419	0.207765	0	0.160161	0.363463	0.730524	0.541567	0.528676	0.327882	0.551553	0.602262	0.731634	0.219227	0.508921	0.824772	0.0942763	0.0488937	0.912161	1.8346	1.04146	0.368991	0.561183	0.596881	0.338505	0.0517076	0.177223	0.27101	0.534066	0.421762	0.2549	0.220902	0.197027	0.318659	0.143641	0.131008	0.41123	0.759992	0.894619	0.320309	0.374347	0.969354	1.0285	0.450543	0.0612089	0.326866	0.564615	0.711324	0.882873	1.13837	0.998818	0.466794	0.358461	0.362678	0.721581	0.758399	0.231838	0	0.127637	0.266746	0.428049	0.379492	0.924028	0.852551	0.274678	0.44894	0.381606	0.152894	0.224543	0.228731	0.366021	0.309244	0.442249	0.677198	0.84869	0.712244	0.673514	0.438791	0.609628	0.607461	0.48106	0.585522	0.616743	1.39968	1.41614	0.65587	0.254973	0.105167	0.0417867	0.276325	0.129802	0.00941027	0.284677	0.25087	0	0.0837618	0.739422	0.677401	0.747964	0.351323	0.423777	0.77722	0.633909	0.53509	0.459335	0.299111	0.361544	1.06111	0.248941	0.376467	0.132187	0	0.0900289	0.320691	0.225176	0.0243647	0.367758	0.543443	0.190796	0.488104	0.598711	0.0590349	0.130767	0.175264	0.108999	0.003735	0.191404	0.173291	0.432457	0.027578	0.0424265	0.354835	0.196291	0	0	0	0	0.0447943	0.280348	0.203206	0.21095	0.362487	0.435423	0.598286	0.807652	0.500366	0.16019	0.0374614	0.0380781	0.154349	0.18069	0.432432
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000864.3.dbe74410-ef9b-4890-bc90-855bf41773d5.fc.signal	0.402613	0.980863	1.43527	1.3533	1.0513	1.51511	1.1286	0.555194	0.45516	0.516723	0.513862	0.729878	0.431808	0.607092	0.261832	0.237182	0.0258597	0.106558	0.0062124	0.271768	0.566815	0.295747	0.0285979	0.193358	0.619089	0.351972	0.219219	0.294667	0.362912	0.868446	0.265029	0.397302	0.718261	0.935634	0.439675	0.0601562	0.216238	0.353438	0.143137	0.284814	0.0407279	0.267897	0.268552	0	0.205665	0.254109	0	0	0	0.208958	0.350608	0.375381	0.305391	0.012717	0.553979	0.268018	0.225809	0.678381	0.485305	0.453941	0.392786	1.46066	0.947299	0.475304	0.311462	0.593029	0.531835	0.280007	0.273845	0.371404	0.337156	0.604823	0.752535	1.00816	0.577719	0.40631	0.554662	1.30232	0.343948	0.286405	0.504303	0.280875	0.0864059	0.348446	0.485064	0.49403	0.317191	0.036339	0.0965515	0.690538	1.48896	2.10562	0.573127	0.350516	0.150434	0.0781378	0.315352	0.0885667	0.755848	1.4081	1.18365	0.70129	0.269547	0.598826	1.19181	0.870798	0.442974	0.289491	0.328056	0.639318	1.51458	1.5541	1.33745	1.0998	0.923416	0.523428	0.065	0.377111	0.529181	0.325759	0.183936	0.0102365	0.203268	0.332388	0.268509	0.52047	0.0939087	0.259176	0.322433	0.165413	0.317351	0.412842	0.428567	0.694153	0.340852	0.3896	0.953019	1.3309	1.17872	0.993387	0.812975	0.647727	0.350864	0.645782	0.854847	0.409166	0	0.168754	0.379827	0.194201	0.29098	0.644078	1.00215	0.299272	0.0655015	0.179943	0.73869
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000775.1.45140bd1-90fe-4a64-8e67-977bea385e45.fc.signal	0.190235	0.507531	0.714063	0.614756	0.366663	0.186179	0.309492	0.191306	0.182048	0.0819916	0.128777	0.158513	0.112272	0.168518	0.124451	0.146475	0.152793	0.167677	0.239249	0.461874	0.423314	0.150387	0.285966	0.542383	0.599051	1.0775	0.895953	0.472958	0.3833	0.586524	1.00185	0.630854	0.286926	0.0894945	0.145785	0.188462	0.193769	0.222363	0.191806	0.361698	0.366409	0.225613	0.451505	0.583557	0.303997	0.0882213	0.302333	0.586246	0.558342	0.454477	0.469603	0.413365	0.407349	0.28566	0.197604	0.174862	0.316845	0.557803	0.478636	0.180376	0.0823558	0.415796	0.596423	0.80224	0.70557	0.449009	0.285725	0.349319	0.27164	0.130138	0.18353	0.294599	0.314973	0.27757	0.198056	0.275757	0.352377	0.186698	0.273925	0.432851	0.568482	0.643341	0.593408	0.476085	0.646265	0.785516	0.598554	0.292153	0.206079	0.186594	0.0825768	0.165689	0.468201	0.333315	0.230438	0.134503	0.177559	0.256538	0.412111	0.674558	0.466126	0.329594	0.438612	0.748312	0.730559	0.484124	0.449919	0.383007	0.282264	0.245012	0.321102	0.418641	0.45481	0.325664	0.327546	0.546526	0.259712	0.145901	0.115369	0.0878245	0.243004	0.145465	0.119958	0.23027	0.42282	0.359161	0.154043	0.0832906	0.147842	0.148682	0.133252	0.195892	0.357941	0.393099	0.487911	0.494075	0.52189	0.694278	0.882518	0.79127	0.721477	0.372217	0.2692	0.201138	0.195536	0.22639	0.208259	0.350647	0.367067	0.27844	0.0517972	0.281073	0.394228	0.427013	0.17111	0.109824	0.820929
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000957.7.dd1317db-7d1b-41c7-a204-2df8f91c596d.fc.signal	1.03472	1.06247	0.118754	0.449521	1.51391	0.59377	0.00989617	0	0	0.23355	0.468419	0	0.573973	0.455224	0	0	0	0.491957	0.0197923	0	0	0	0	0	0	1.58274	2.7958	2.95534	2.93875	0.399577	1.19142	0.805146	0.473649	0.702441	1.19925	1.58174	0.67031	0.44167	0.751965	0.979067	0.501375	0	0	0	0	0.269087	0.857574	0.663019	0.197923	0.463113	1.47762	1.49411	1.49411	0.903712	0	0	0	0.255692	0.591839	0.594846	0.0151197	1.11207	0.718127	0.0527796	0.791623	1.17926	0	0	0	0	0.445328	0.931019	0.694594	0.584415	1.20111	1.68238	0.701483	3.55867	3.67338	2.1421	0.5009	0.048608	0.105559	0.566544	0.211556	0.340194	1.1044	0.533651	0.797117	2.30389	1.13591	0.626718	1.46779	2.12812	2.69456	1.12105	0	0	0.396891	1.14827	1.83596	0.863291	0.617981	0.537087	0.786209	0.335482	0	0.893568	2.20664	1.57058	1.18733	0.779752	0.494526	0.450841	0.738969	0.63673	1.08739	1.08153	1.15839	0.966973	0.942667	1.82927	3.47744	2.48184	0.629392	0.541684	0.663087	0	0	0	0	0	0	0	0	0.0539791	0.475016	0	0	0	0.0360031	0.3686	0.416236	0	0	0	0	0	0	0	0	0.626963	1.09062	1.25027	1.46855	1.0755	0.423075
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001891.4.285674ca-2d37-4ac8-859e-29db1bf824d3.fc.signal	2.21812	1.82921	0.0116022	0	0	0	0	0	1.04795	2.07057	2.11132	0.386764	0	1.03946	0.0712836	0	0	0	0.333919	1.42092	0.123564	0	0	0.457077	2.58065	1.55642	0.0464066	0.92812	0.92812	0.583945	0.486923	1.87307	2.38544	0.955139	0.801381	0.487316	0.696172	0.092818	0.900929	1.66209	0.126413	0.00998	0.664937	0.348065	0.224217	0.314547	0.468379	2.39539	2.09229	0.721019	2.27383	3.87098	3.99119	2.81319	0.962439	1.11207	0.751423	1.04238	0	0	0	0.245151	2.07055	2.83561	1.16106	0.379369	0.92812	0.622475	0.668614	1.5779	2.03221	2.73856	1.5316	1.26472	1.53575	1.32648	1.20003	1.53872	1.24373	1.08731	0.630825	1.11322	1.03901	0	1.01926	2.78449	2.7948	2.12484	1.87824	1.40163	1.98221	0.980795	1.45372	1.96683	2.37505	0.779277	1.8572	3.21559	1.76368	0.603332	0.0870169	0.584551	0.85544	0.735679	1.71102	0.973072	0.990126	1.73273	3.18928	2.10572	0.919035	1.00586	1.40014	0.31658	0.537848	1.16113	1.02306	2.23856	0.817442	0	2.21927	5.20467	4.10326	1.84989	1.19113	1.47863	0.643506	0.288748	0	0	1.35099	2.21174	0.273829	0	0	0	0	0.0285134	0.984	0.761069	0.428002	1.07777	1.33925	0.301639	0	0	0	0	0.828867	1.85373	1.22207	0.711607	3.19558	4.55008	2.33918	0.372181	0.426108
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000184.3.95e35930-b188-462f-a2e3-786fb18c7d02.fc.signal	0	0.160229	0.447215	1.25504	0.816307	0.108683	0	0	0	0.135429	0.807256	0.752127	0.326196	0.167288	0.0636364	0.284348	0.343573	0.683419	0.337446	0.215315	0	0	0	0	0	0.186834	0.518995	0.382336	0	0.0671608	0.700564	0.523245	0	0	0	0.353058	0.77506	1.04029	0.783533	0.0700533	0	0	0.451573	1.85078	1.60259	0.462557	0.0958669	0.39596	0.961629	0.574834	0.882816	1.41899	1.90637	1.53634	0.857719	1.07479	0.491831	0	0	0	0	0	0	0.105593	0.976796	1.32105	1.94243	1.55783	0.154431	0.018524	0.857599	0.822384	0.43984	0.195996	0.806787	1.04107	0.454612	0.583589	0.360927	0.402336	0.322452	0	0.251433	0.375461	0.215498	0.48093	0.547253	0.591501	0.011908	0	0	0.453159	0.989061	0.388911	0.344371	0.337558	1.23714	0.84297	0.572532	0.123139	0	0	0	0	0	0	0	0	0.29697	1.39861	2.22287	1.17235	1.18063	0.530319	1.43758	1.86873	1.60274	1.22396	2.37139	3.7039	2.3165	1.42743	1.73397	1.64978	0.490027	1.06529	1.09616	1.11688	0.974921	0.908801	1.22086	0.445133	0.48239	1.24048	0.24091	0	0.301611	1.25304	1.88995	1.55839	0.466654	0.292021	0.253693	0.435149	0.402212	0.39596	0.222988	0	0	0	0	0	0	0	0	0	0.156863
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000784.3.f2286a0c-dba6-4a30-897c-ba6f1fff3167.fc.signal	0.521762	0.888146	0.432737	0.610783	0.617029	0.517218	0.502066	0.065965	0	0.032008	0.286103	0.234782	0.304999	0.486708	0.667569	0	0.0474855	0.29532	0	0	0.0691402	0.290696	0.117326	0.334297	0.220075	0.612882	0.0698631	0.428185	0.54169	0.395322	0.336545	0.799246	1.47715	1.49986	0.914053	0.223842	0.49971	0.380232	0	0.307473	0.232314	0.205387	0.212488	0.255413	0.00180493	0.007897	0.484275	0.577729	0.160483	0	0	0.109003	0.365164	0.491867	0.0927861	0.238708	0.39887	0.370542	0	0.0771119	0.217608	0.211752	0.25984	0.0762961	0	0.42646	0.44649	0.0454406	0.234862	0.454693	0.0876372	0	0.493587	1.10234	0.800678	1.02151	1.31855	0.6007	0.293697	0.770653	0.768155	1.10373	0.835626	0.550758	0.639943	1.51356	2.72353	1.15082	0.119823	0	0	0.0995061	0.859207	1.82102	0.604517	0.486713	0.0571159	0.0363324	0.577006	0.823793	0.164824	0.311222	0.402523	0.0789633	0.438765	2.4286	2.19273	0.541774	0.588952	0.700027	0.294823	0.84162	0	0	0.459987	1.92791	1.40181	0.608971	1.10246	1.04105	0.225086	0	0	0.252034	0.734786	0.925096	0.345022	0.0507228	0	0.025902	0.25222	0.0490637	0	0	0	0	0	0.00336343	0.274708	0.763466	1.07847	0.995045	0.530836	0	0.297821	0.430549	0.107849	0.639799	0.639603	0.693386	1.15408	1.86115	2.64019	0.889924	0.580219	0.496957	0.742102
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001027.7.f9bfafa6-e51d-4d9e-b808-d0c14acada5d.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.912627	1.42823	1.46314	0.414643	0	0	0	0	0	0	0	0	0	0	1.4183	2.26105	0.0681221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.20332	0.283327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31739	0	0	0	0	0	0	0	0.0699724	2.47553	0.18396	0	0	0	0	0	0	0	0	0	0	0	1.84463	1.65317	1.8632	2.81743	0.401168	0.330679	1.05032	0	0.443666	3.49033	2.26935	0.0497581	0	0	0	0	0	0	0	0	0	0	0	0	2.39148	2.7594	1.50234	0	0	0	0	0	0	0	0	0	0.87381	2.7594	3.14364	1.92876	0	0	0.454919
