	chr16:74407352-74407451	chr16:74407452-74407501	chr16:74407502-74407561	chr16:74407562-74407611	chr16:74407612-74407651	chr16:74407652-74407681	chr16:74407682-74407801	chr16:74407802-74407951	chr16:74407952-74408001	chr16:74408002-74408101	chr16:74408102-74408141	chr16:74408142-74408251	chr16:74408252-74408291	chr16:74408292-74408401	chr16:74408402-74408551	chr16:74408552-74408591	chr16:74408592-74408701	chr16:74408702-74408731	chr16:74408732-74408851	chr16:74408852-74409001	chr16:74409002-74409061	chr16:74409062-74409151	chr16:74409152-74409231	chr16:74409232-74409301	chr16:74409302-74409451	chr16:74409452-74409511	chr16:74409512-74409571	chr16:74409572-74409601	chr16:74409602-74409641	chr16:74409642-74409751	chr16:74409752-74409901	chr16:74409902-74409931	chr16:74409932-74410001	chr16:74410002-74410051	chr16:74410052-74410121	chr16:74410122-74410151	chr16:74410152-74410201	chr16:74410202-74410301	chr16:74410302-74410351	chr16:74410352-74410501	chr16:74410502-74410551	chr16:74410552-74410651	chr16:74410652-74410731	chr16:74410732-74410801	chr16:74410802-74410881	chr16:74410882-74410951	chr16:74410952-74411031	chr16:74411032-74411101	chr16:74411102-74411181	chr16:74411182-74411251	chr16:74411252-74411341	chr16:74411342-74411371	chr16:74411372-74411401	chr16:74411402-74411491	chr16:74411492-74411551	chr16:74411552-74411651	chr16:74411652-74411701	chr16:74411702-74411831	chr16:74411832-74411851	chr16:74411852-74412001	chr16:74412002-74412071	chr16:74412072-74412151	chr16:74412152-74412301	chr16:74412302-74412378	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.ef220820-5419-4b81-b030-ce292c6089b7.fc.signal	0.0277552	0.210412	0.29229	0.29229	0.22284	0.136341	0	0	0	0	0	0	0	0	0	0	0.104912	0.14608	0.110777	0.117838	0.14608	0.0308391	0.0127869	0.29229	0.373101	0.14608	0.0243467	0	0.116864	0.21121	0.264997	0.150954	0.14608	0.105178	0.0354766	0.277669	0.29229	0.29229	0.0759694	0.150998	0.29229	0.211882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0151771	0.358974
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000221.3.c3b55191-0fbe-42ec-a1e0-0d7c8c410fde.fc.signal	4.39167	1.76329	0.910166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.476065	1.0766	0.805626	0.118533	0	0	0	0.096979	0.338158	0.596114	0.729171	0.984867	1.28897	0.827797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.538776
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.e0246cbf-2d49-4bee-a25f-b1967eaad820.fc.signal	0.352296	1.92309	2.05014	0.987546	0.0818378	0	0	0	0	0.180998	0.19255	0.0192555	0	0	0	0.117938	0.341339	0.259944	0.0481375	0	0	0	0	0	0	0	0	0.134785	0.197364	0.336088	0.318993	0.231062	0.114156	0	0	0.166067	0.905151	1.10605	0.2747	0.543052	0.964496	0.256059	0	0	0	0	0	0	0.116735	1.13843	1.22907	0.275263	0	0.00106978	0.173296	0.174258	0	0.0244402	0.19255	0.139279	0	0	0.0179718	0.19255	0.368932
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004681.3.e25da2b0-3beb-48b5-b4cb-d2ae704a33b2.fc.signal	0	0	0	0	0	0	0	0	0	0.0094625	0.18925	0.18925	0.18925	0.0172045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221632	0.56763	0.496062	0.502152	0.698661	0.65998	0.18925	0.14383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0742442	0.18925	0.169063	0	0	0	0	0.961722
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.c28d3943-9234-4917-b4a0-88d70eac42fc.fc.signal	0.045254	0.170652	0.20558	0.20558	0.118259	0.092565	0	0	0	0.123379	0.20558	0.181298	0.0668525	0	0.024684	0.105418	0.20558	0.185034	0.0591387	0	0	0	0	0	0	0	0	0.0994217	0.141374	0.20558	0.0795125	0	0	0	0.0896264	0.10285	0.170652	0.278587	0.427676	0.609309	0.559271	0.387551	0.339229	0.409692	0.22615	0.0440769	0	0.0469914	0.54998	1.20717	1.11711	0.651078	0.222734	0.00571389	0	0	0	0.148667	0.41116	0.490014	0.23936	0.146477	0	0	0.725523
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000709.3.5c2b1045-c5b9-4ce2-a975-1bba53717c39.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.397221	0.763875	0.885795	1.39566	0.588921	0.113951	0	0	0	0	0	0	0	0	0.0376529	0.671969	0.521204	0.123579	0	0	0	0	0	0.0374301	0.23171	0.585463	0.592526	0.176682	0	0	0.648212
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003842.2.5d7cb2f3-47cf-4b96-8e52-3efecb6dacae.fc.signal	0.342317	1.16588	1.07115	0.607217	0	0	0	0	0	0	0	0	0	0	0	0.10898	0.32291	0.226034	0.00134542	0	0	0	0	0.00461286	0.293847	0.0403625	0	0	0	0	0	0	0	0	0	0.0269083	0.390777	1.1731	0.700339	0.700586	0.125147	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263709	0.306764	0.006458	0	0	0	0	0	0	0	0.112583
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000992.7.269c7bdb-5224-43fa-a5d5-7860eaac019c.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158536	0.278855	0.0176244	0.122392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0807785	0.111621	0	0	0	0	0.480663
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.1ce7f4a0-1e00-4296-ade7-a069012950ee.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5838	0.800598	0.477286	0.526139	0.954583	0.655523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.207926	0.867755	0	0	0	0.359338
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001887.4.59a9b7d0-5484-46d1-b8f0-117dbd401378.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0160829	0.652964	0.84435	0.84435	0.866867	1.69997	1.14833	1.12206	0.5629	0.28145	0.28145	0.0804143	0	0	0	0	0	0	0	0	0	0	0	0	0.123838	0.84435	0.84435	0.718636	0	0	0	0	0.682759
