	chr9:9412252-9412401	chr9:9412402-9412501	chr9:9412502-9412551	chr9:9412552-9412651	chr9:9412652-9412701	chr9:9412702-9412791	chr9:9412792-9412851	chr9:9412852-9412921	chr9:9412922-9413001	chr9:9413002-9413081	chr9:9413082-9413101	chr9:9413102-9413151	chr9:9413152-9413191	chr9:9413192-9413271	chr9:9413272-9413301	chr9:9413302-9413351	chr9:9413352-9413451	chr9:9413452-9413541	chr9:9413542-9413601	chr9:9413602-9413751	chr9:9413752-9413801	chr9:9413802-9413901	chr9:9413902-9413941	chr9:9413942-9413981	chr9:9413982-9414051	chr9:9414052-9414201	chr9:9414202-9414351	chr9:9414352-9414421	chr9:9414422-9414501	chr9:9414502-9414581	chr9:9414582-9414651	chr9:9414652-9414711	chr9:9414712-9414801	chr9:9414802-9414911	chr9:9414912-9414951	chr9:9414952-9415071	chr9:9415072-9415101	chr9:9415102-9415171	chr9:9415172-9415251	chr9:9415252-9415401	chr9:9415402-9415551	chr9:9415552-9415581	chr9:9415582-9415671	chr9:9415672-9415701	chr9:9415702-9415801	chr9:9415802-9415851	chr9:9415852-9415961	chr9:9415962-9416001	chr9:9416002-9416151	chr9:9416152-9416301	chr9:9416302-9416361	chr9:9416362-9416451	chr9:9416452-9416491	chr9:9416492-9416601	chr9:9416602-9416751	chr9:9416752-9416861	chr9:9416862-9416901	chr9:9416902-9417051	chr9:9417052-9417101	chr9:9417102-9417191	chr9:9417192-9417201	chr9:9417202-9417251	chr9:9417252-9417323	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.d82f15eb-8d9c-43cf-9741-0ee88b2ded27.fc.signal	0.415451	1.68267	1.52251	0.924145	0.762025	0.252848	0.259158	0.834456	1.14179	0.456508	0.316158	0	0	0	0	0	1.03659	1.34252	0.144091	0.331227	1.7024	1.92036	1.43206	1.3366	1.07323	0.792796	0.924758	0.132288	0	0.158469	0.466977	0.913617	0.609439	0.863847	0.834926	0.805101	0.490418	0.829294	1.75435	1.54532	1.01843	0.847794	0.877487	0.605949	0.633859	1.03457	0.949147	0.358783	1.27381	0.901708	1.05242	1.29038	0.746543	0.835592	0.926766	1.02597	0.540092	1.02027	0.585231	0.279954	0.231256	0.514778	0.315592	0.392051
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001997.1.9ddbde16-a8c7-4357-85a1-25b734b0a68e.fc.signal	0.598658	0.625556	0.504009	0.774368	1.16818	1.02572	0.731871	0.563876	0.594772	0.448889	0.42812	0.42812	0.239716	0.119902	0.0936953	0.21622	0.185029	0.211668	0.372038	0.804685	0.541084	0.245074	0.205543	0.205991	0.0939316	0.478195	0.866659	0.521406	0.421487	0.532962	0.535469	0.641185	0.419204	0.249485	0.165121	0.283706	0.327201	0.614307	1.00774	0.894377	0.286377	0.480886	0.660093	0.735479	0.481649	0.018086	0.289301	0.45205	0.969462	1.29614	0.780167	0.38975	0.340113	0.486904	0.864663	1.13329	1.05528	0.409412	0.227429	0.335385	0.45205	0.436979	0.457066	0.415094
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.9179d535-0d76-4d04-b0d0-678ad03f04b2.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.341845	0.435937	0.692746	0.38846	0.0310768	0	0	0	0	0	0	0	0	0	0	0	0.362563	1.48319	1.85488	1.41786	0.54384	0.38846	0.38846	0.0647433	0	0	0	0.142435	0.807991	1.16537	1.09121	1.12652	1.16537	0.27451	0	0	0.456438	0.77691	1.06696	0.755722	0.0679805	0	0	0	0	0	0	0.118721
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002005.1.3f273eb1-d109-4260-952a-5ac2e044448b.fc.signal	0.735313	1.32665	0.739581	0.392115	0.503075	0.38829	0.434859	0.177771	0.29395	0.559209	0.341613	0.339836	0.340955	0	0	0.12773	0.91418	0.746536	0.234053	0.268165	0.221445	0.381159	0.565863	0.564017	0.634689	0.477778	0.731057	0.146975	0.318898	0.725599	0.611585	0.318814	0.446328	0.788579	0.59033	1.07516	0.996906	0.549789	0.003426	0	0	0	0.0432748	0.07349	0.167809	0.418063	0.570296	0.497687	0.562209	1.21369	1.23087	0.973449	1.73557	2.05559	0.471146	0.154016	0.0624665	0.217247	0.392876	0.294407	0.23516	0.1944	0.135138	0.388203
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001852.4.51e98f97-6119-4df6-b770-df4f0c759ed4.fc.signal	0.584497	0.367787	0.321439	0.553926	0.902845	1.22187	1.22147	1.21576	0.804642	0.628997	0.337485	0.337973	0.219105	0.133199	0.230776	0.296447	0.630736	0.813842	0.857373	1.27204	1.20789	0.692539	0.591245	0.614388	0.596554	0.864151	0.933733	0.898543	0.921388	0.704232	0.652597	0.70163	0.867866	0.830259	0.599384	0.836235	0.650915	0.615944	0.38344	0.430707	0.394096	0.343461	0.359286	0.350583	0.425382	0.728484	0.772624	0.764328	0.596099	1.09807	1.14598	1.21513	1.18616	0.956205	1.08849	0.884742	0.591287	0.96075	1.38423	1.02953	0.59763	0.472574	0.379406	0.538889
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.eb6b8116-681b-4ebd-8a3a-5c8e0b38a2a8.fc.signal	0.563176	0.45995	0.018398	0.305437	0.877598	1.26772	0.589271	0.30307	0.109266	0.442845	0.753122	1.16256	0.976932	0.717269	0.43121	0.428917	0.61754	0.600572	0.884637	0.789049	0.44609	0.0224985	0	0	0.228919	0.440823	0.0537485	0.272049	0.271398	0.345174	0.37636	0.336604	0.173665	0.246263	0.45995	0.353315	0.47044	0.786348	1.45737	1.0786	0.871466	0.65264	0.27597	0.18588	0.125482	0.0690246	0.185286	0.31846	0.403977	0.875982	0.26167	0	0.354502	1.08702	1.12798	1.29327	1.36713	0.609554	0.616613	0.861201	0.47267	0.0661738	0	0.351351
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.43d53f41-e4a2-4421-b86f-0d0bce6de71d.fc.signal	0.0939988	0.830672	1.23554	1.11402	0.795471	0.487089	0.508972	0.443798	0.79957	0.812171	0.837805	0.862016	0.573935	0.564653	0.483217	0.79835	1.00931	0.745618	0.174352	0.38915	0.393821	0.3312	0.103549	0.0996753	0.0677711	0.128314	0.423531	0.773392	0.663559	0.898072	0.811869	0.700856	0.503355	0.894025	0.97851	0.811951	0.54179	0.221233	0.507556	1.07819	0.925017	0.83351	0.845698	0.909729	0.614105	0.755936	0.654964	0.504519	0.394152	0.681012	0.779407	0.711554	0.781217	0.7235	0.993095	0.47793	0.503211	0.672286	0.834922	0.779102	0.65227	0.649853	0.394678	0.422609
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.41844a41-a9d8-47e3-9699-651cca6131a4.fc.signal	0.685223	0.76037	1.95995	1.75846	0.250281	0.401081	0.741828	0.802506	0.748255	0.672072	0.379799	0.38078	0.333914	0	0	0.135839	0.275454	0.109654	0.56689	0.735682	0.285095	0.01697	0.347909	0.673302	1.5742	1.69558	1.04645	0.393624	0.313943	0.0414861	0.543908	0.70393	0.926847	1.29694	0.940502	0.963296	0.681354	0.558324	0.70246	1.36206	0.774937	0.267745	0.684977	0.510767	0.877318	2.16066	1.64039	0.871576	0.758563	1.05438	0.377157	0.552437	0.909756	0.597629	0.661836	0.322824	0	0.113736	0.170151	0.54113	0.54755	0.54755	0.0494289	0.503683
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.db376d3b-ae63-4e49-80d2-dc3c632957a3.fc.signal	0.737104	0.87755	0.701083	0.42144	0.49549	0.496989	0.899379	1.33059	1.14645	0.881606	0.883847	0.895103	0.902059	0.830315	0.375671	0.29515	0.252264	0	0.184913	0.555635	0.433315	0	0	0.177188	0.439125	0.593608	0.498152	0.139437	0.305032	0.300392	0.512173	0.593466	0.838005	1.43205	1.08094	0.64345	0.187759	0.42121	0.341605	0.636298	0.430771	0.274609	0.023769	0.112772	0.265783	0.2501	0.485468	0.629108	0.560337	0.272781	0.425629	0.650247	0.696401	0.99494	0.677808	0.514074	0.703945	0.306541	0.341375	0.501178	0.68275	0.533174	0.426048	0.354111
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.c8f6239b-cb62-4435-8e19-0a148079f3ba.fc.signal	0.490857	0.353022	0.157799	0.397772	0.601269	1.47438	2.14456	1.5611	0.844582	0.329578	0	0	0	0	0	0	0.152324	0.41258	0.31592	0.294681	0.344609	0.415718	0.48479	0.50745	0.590603	0.868187	1.03486	0.275506	0.694468	1.22273	1.26584	1.37826	1.14384	0.950894	0.799985	0.913013	1.15136	0.945662	0.373717	0.542337	0.875846	1.37314	1.50042	1.40769	0.511706	0.651667	0.803954	0.497977	0.483613	0.626308	0.979397	0.961031	0.712293	1.29683	0.563031	0.79961	0.637948	0.475801	0.368958	0.259102	0.271704	0.162577	0.248919	0.223022
