	chr19:54925105-54925214	chr19:54925215-54925254	chr19:54925255-54925354	chr19:54925355-54925404	chr19:54925405-54925534	chr19:54925535-54925554	chr19:54925555-54925574	chr19:54925575-54925634	chr19:54925635-54925704	chr19:54925705-54925854	chr19:54925855-54925944	chr19:54925945-54926004	chr19:54926005-54926114	chr19:54926115-54926154	chr19:54926155-54926214	chr19:54926215-54926304	chr19:54926305-54926354	chr19:54926355-54926454	chr19:54926455-54926524	chr19:54926525-54926604	chr19:54926605-54926654	chr19:54926655-54926754	chr19:54926755-54926904	chr19:54926905-54926974	chr19:54926975-54927054	chr19:54927055-54927204	chr19:54927205-54927244	chr19:54927245-54927354	chr19:54927355-54927424	chr19:54927425-54927504	chr19:54927505-54927654	chr19:54927655-54927704	chr19:54927705-54927804	chr19:54927805-54927954	chr19:54927955-54928054	chr19:54928055-54928104	chr19:54928105-54928254	chr19:54928255-54928404	chr19:54928405-54928474	chr19:54928475-54928554	chr19:54928555-54928704	chr19:54928705-54928854	chr19:54928855-54928944	chr19:54928945-54929004	chr19:54929005-54929044	chr19:54929045-54929114	chr19:54929115-54929154	chr19:54929155-54929194	chr19:54929195-54929304	chr19:54929305-54929384	chr19:54929385-54929454	chr19:54929455-54929514	chr19:54929515-54929604	chr19:54929605-54929754	chr19:54929755-54929904	chr19:54929905-54930054	chr19:54930055-54930114	chr19:54930115-54930204	chr19:54930205-54930275	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.993ec17f-4277-433d-a284-3906706ac1fe.fc.signal	1.68724	0.483485	0.24064	0.29742	0.452592	1.26271	1.67542	1.67542	1.03863	0.607508	1.26971	2.21642	2.74855	2.36422	0.539738	0.148781	0.359613	1.06222	2.06736	1.07791	0.355712	0	0	0	1.17494	2.3627	1.97049	0.711645	0.21257	1.38236	1.46674	0.308237	0.467769	1.23883	0.868178	0.957247	0.93498	0.81686	0.571958	0.402775	0.423359	1.51448	1.80081	1.21231	0.662445	0.597905	0.523827	0.51501	0.58456	1.14443	0.575317	0.297428	1.26833	1.81001	1.86361	0.637914	0.693544	1.99147	2.46405	0.478088
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001952.2.c1b4ffc0-5671-47c4-baaa-5f1958b2a0b4.fc.signal	1.343	1.45439	1.69666	1.00201	0.699563	0.723401	0.982961	1.40818	1.28299	0.143928	0.547516	1.59586	1.44758	0.581579	0.291847	0.51384	0.590673	0.463646	0.885309	0.817504	0.56363	0.828966	1.15034	0.955866	0.618015	0.368062	0.646859	0.850991	0.908774	0.45527	0.408995	0.964386	0.871234	0.819724	0.663596	0.418602	0.164805	0.64823	0.621547	0.386606	0.854466	0.571829	1.2885	1.94656	1.90957	1.50672	1.21786	1.06588	1.17316	0.870155	0.500065	0.552094	0.455956	0	0.042848	0.239514	0.48846	0.589478	0.507192	0.52381
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.409dbfeb-ff68-4d68-8254-ea0d0437a94c.fc.signal	0.386182	0.912978	1.41315	1.632	1.55633	1.2788	1.33839	1.07462	0.800369	0.349639	0.310585	0.381099	0.332937	0.470108	0.530492	0.591249	0.858256	1.00993	0.93466	0.535102	0.341632	0.446401	0.590286	0.435062	0.539182	0.831531	0.682739	0.276802	0.391653	0.594709	0.67335	0.381439	0.310946	0.45013	0.331589	0.21669	0.27953	0.55706	0.4877	0.564886	1.13932	1.00961	0.672898	0.27615	0.446546	0.820553	1.05654	1.28421	0.750702	0.334523	0.266217	0.323284	0.74895	0.579426	1.06927	0.528098	1.26251	0.736629	0.512631	0.373057
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003836.3.e37d93da-dc33-42a2-aab6-afc4ccdb4a46.fc.signal	0.296882	0.456398	0.483067	0.605155	0.357144	0.456421	0.419329	0.307984	0.348166	0.0370579	0	0.11827	0.303261	0.479113	0.485027	0.407492	0.302834	0.662399	0.844896	1.05426	1.05751	1.41355	0.902955	0.410686	0.48207	0.503162	0.23949	0.340908	0.446167	0.618077	1.28306	2.14339	1.71965	1.07957	1.02913	1.2397	1.15059	1.46047	1.57496	0.858727	1.48191	1.49753	1.13166	0.690022	0.757038	1.11363	1.44432	1.44608	0.991971	0.580589	0.611794	0.664169	0.814519	1.18124	0.623821	0.249171	0.11827	0.166891	0.576721	0.557803
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000332.2.10f5266d-441b-4d93-a883-d970677b92f6.fc.signal	1.57914	2.04983	1.36416	0.778227	0.387901	0.20495	0.04099	0.34492	0.489256	0.833659	0.352377	1.03641	1.30511	1.52323	1.27982	2.61062	2.50401	1.36988	1.13278	0.52684	0.41728	0.41728	0.280969	0.60811	0.646872	1.75529	1.92702	0.624429	0.709465	1.32502	0.957118	0.924425	0.779928	1.40281	0.83238	2.17817	2.9004	1.5649	0.743094	0.938009	1.93785	2.44811	1.28023	2.03274	2.64762	2.44152	1.00163	0.67818	0.626	0.41728	0.0119223	0	0.913508	1.34102	0.823543	0.698363	1.79447	2.11447	1.26046	0.529412
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000974.7.795c5285-fcfe-49fc-86bb-822787a24420.fc.signal	0.55195	0.46377	0.478944	0.443855	0.417638	1.28345	1.22993	1.22891	1.09388	0.50664	0.570187	0.482234	0.120556	1.11747	1.45452	0.380886	0.206603	1.42823	1.74204	1.36998	0	0	0	0.491253	1.27147	0.778023	1.36099	0.46241	0.388899	1.58485	1.6263	1.63896	0.742889	2.27271	1.09046	0.286564	0.301769	1.34897	1.31224	0.900111	1.10786	3.14655	3.40594	0.74431	1.20299	3.03865	2.50299	0.993533	0.0373816	0	0	0.0741302	0.381828	0.258548	1.22774	0.114626	0	0.537928	0.817501	0.250907
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001958.3.8880c654-a0c9-41d0-997c-100c289384a4.fc.signal	1.01887	0.880212	1.03159	1.07501	1.51848	1.46702	1.35552	1.13446	0.64211	0.506186	0.83713	0.670875	0.659319	1.11198	1.5707	0.931453	0.477445	0.561778	0.484701	0.409345	0.330771	0.271452	0.792659	0.385562	0.377001	1.66418	1.69001	1.47983	0.80306	0.779941	0.845229	0.999899	0.76296	0.645888	0.882564	1.15033	1.03433	1.26356	1.0262	0.526463	0.372049	1.20608	1.49845	0.778058	0.964476	1.34886	1.5286	1.18206	0.709194	0.37407	0.358726	0.516372	0.894535	1.15048	0.743257	0.378649	0.459636	0.679353	0.856194	0.453608
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003692.4.40ad2b6a-7c5b-4fe0-8afa-f12886fb0c69.fc.signal	0.819863	0.457349	0.741445	0.751835	0.376845	0.290534	0.31531	0.158031	0.195628	0.572057	0.149548	0.342315	0.531988	0.716172	0.909752	1.09367	0.625548	0.182989	0.301822	0.567434	0.809224	0.700333	0.190476	0.215889	0.0132818	0.47372	0.832008	0.291884	0.578382	1.55218	0.99858	1.41403	0.799087	0.328893	0.235989	0.714893	0.635899	0.293345	0.955007	0.501993	0.551409	1.02252	1.12934	1.09922	0.951755	0.948057	0.742295	0.417618	0.571425	1.1109	0.642858	0.788224	0.621608	0.768237	0.298554	0.634219	0.0669025	0.309512	0.673275	0.637255
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003716.2.82ebcb5f-2b06-40e6-9298-a18d7df57bef.fc.signal	0.828159	1.93186	2.44413	2.73587	2.173	1.6946	1.29077	0.692787	0.0677293	0	0.289783	1.53875	1.97318	1.26261	1.12244	0.929015	1.11004	1.29914	1.76009	1.43112	1.06362	0.389506	0.180629	0.522622	1.30156	1.8571	1.90539	0.927713	0.52135	0.752605	0.867272	0.0609624	0.721536	0.711322	0.0304812	0.677475	1.92685	0.919092	1.12081	1.42439	1.68547	1.32943	1.77826	0.968831	0.698842	1.23955	1.69372	1.43959	1.27179	1.21094	1.32106	1.88564	1.58452	1.01576	0.0502485	0	0.4693	1.49573	1.68602	0.228188
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003821.3.43827613-54ef-409d-9a0a-96bb52b3ce7f.fc.signal	0.896326	0.659067	0.739549	0.935734	0.80745	0.630714	0.62293	0.498327	0.306995	0.0944519	0.0847778	0.804568	0.802667	0.459417	1.05893	1.46556	0.936756	0.488644	0.843481	0.857189	0.740508	0.627626	0.192027	0.211294	0.31138	0.336329	0.245242	0.439944	0.291431	0.525556	0.736354	0.995673	0.828453	0.924019	0.548094	0.780547	0.73457	0.429387	0.876482	0.835096	1.10986	1.26348	1.02311	1.04727	1.17904	1.20249	1.12255	0.849291	0.182934	0.131576	0.157012	0.373667	0.659921	1.05186	0.76116	0.270078	0.303786	0.637426	0.346136	0.730159
