	chr19:54506535-54506684	chr19:54506685-54506834	chr19:54506835-54506904	chr19:54506905-54506984	chr19:54506985-54507024	chr19:54507025-54507134	chr19:54507135-54507284	chr19:54507285-54507354	chr19:54507355-54507434	chr19:54507435-54507584	chr19:54507585-54507734	chr19:54507735-54507884	chr19:54507885-54508034	chr19:54508035-54508184	chr19:54508185-54508334	chr19:54508335-54508484	chr19:54508485-54508634	chr19:54508635-54508744	chr19:54508745-54508784	chr19:54508785-54508834	chr19:54508835-54508854	chr19:54508855-54508934	chr19:54508935-54509084	chr19:54509085-54509204	chr19:54509205-54509234	chr19:54509235-54509334	chr19:54509335-54509384	chr19:54509385-54509534	chr19:54509535-54509574	chr19:54509575-54509634	chr19:54509635-54509684	chr19:54509685-54509744	chr19:54509745-54509834	chr19:54509835-54509914	chr19:54509915-54509984	chr19:54509985-54510034	chr19:54510035-54510134	chr19:54510135-54510184	chr19:54510185-54510234	chr19:54510235-54510284	chr19:54510285-54510364	chr19:54510365-54510434	chr19:54510435-54510504	chr19:54510505-54510584	chr19:54510585-54510734	chr19:54510735-54510884	chr19:54510885-54511034	chr19:54511035-54511184	chr19:54511185-54511334	chr19:54511335-54511484	chr19:54511485-54511585	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000810.3.f937c5a8-f739-4eba-91ed-5c0fce69c73d.fc.signal	0.780448	2.67059	1.78461	0.557948	0	0	0	0	0	0.469717	0.187153	1.07979	2.11477	1.70681	0.32936	0.175911	0	0.219349	0.5614	0.516504	0.08424	0	0	0	0	0	0	0	0	0.1404	0.2808	0.509957	0.25272	0	0	0	0	0.179712	0.527728	0.5614	0.154433	0	0	0.578987	3.0692	1.87334	0.306925	0.147885	1.39986	1.3961	0.130628	0.663636
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001913.1.0691c0e9-6039-4aa9-a294-80d73cee59d2.fc.signal	2.80992	0.77908	0.478433	0	0	0	0	0	0	0.328714	0.88846	1.20674	2.00194	2.19069	1.36825	1.54882	1.35876	0.200812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08247	1.1313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.498805	0.73601	0.451523	0.522255
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001008.4.aa01f6f8-93b0-4f0b-8191-bde89d903aa4.fc.signal	3.5878	3.09584	1.59532	0.920916	0.55833	0.410777	0.587047	0.487812	1.16486	3.35441	2.78517	3.66015	2.14625	2.76784	2.73286	2.75824	4.71204	3.81587	2.22698	0.569878	0	0	0	0	0	0	0.23112	0.208864	0.2568	0.22256	0.652058	1.66063	1.47163	0.749713	0.28979	0.005136	0.005136	0.2568	0.71883	1.10898	0.962701	0.337443	0.260466	0.61932	0.318366	0	0	0.114663	2.32945	2.32029	2.22468	0.474252
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001954.2.c4a67634-cf89-4945-bb82-26e2fddb3f3f.fc.signal	1.89193	1.80739	1.32947	0.503492	0.13035	0.282039	0.855115	0.517694	0.796788	1.57105	2.26188	1.70338	1.5286	1.18263	1.22862	2.47823	3.44619	2.7668	1.59665	0.959303	0.293297	0.0602869	0	0	0	0.0873345	0.247674	0.145125	0.237897	0.319369	0.729981	1.36423	2.23031	2.25982	1.18611	0.328493	0.13035	0.151208	0.683032	1.3216	1.09973	0.122905	0.260708	1.815	2.48718	0.788963	0.499192	0.540524	1.32686	1.20692	2.30378	0.556166
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003803.1.8e45d3eb-43c4-4932-8fdd-020c9df5cc1a.fc.signal	0.812208	0.0174856	0	0	0	0.0867055	0.3974	0.562012	1.14138	1.86601	1.44956	1.55764	3.21576	2.71338	1.65354	0.573839	0.932999	0.645879	0.23844	0.190752	0	0	0	0	0	0	0	0	0.011922	0.381504	0.79629	1.37883	2.061	1.41858	0.286125	0	0	0	0	0	0.381504	0.824214	0.99791	0.953668	0.8424	0.0747112	0	0.216186	0.894872	1.60129	1.43794	0.602679
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000734.3.517f2632-e6c4-42fa-8f96-3f8b0c26dc19.fc.signal	0	0.391959	0.914241	0.0910525	0	0	0	0	0	0	0	0.762766	0.437052	0.530706	0	0	0.512146	0.471724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.645172	1.0406	0.57233	0	0.148657	2.28295	2.18883	1.38088	0.863383	0.807519	0.0173433	0	0	0.642202
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000237.3.206f09d2-76dd-4938-b45e-439de4017881.fc.signal	2.27858	0.435231	0.246118	0.125067	0.175843	0.313202	0.876877	1.4593	1.59794	1.06806	0.642909	0.595926	0.947032	0.933279	0.789947	0.809238	1.19866	1.22795	1.09488	0.609549	0.229935	0.0010585	0	0	0	0	0	0.00742167	0.186659	0.509517	0.698736	0.878209	1.05807	0.859418	0.667187	0.406706	0.142151	0.0866038	0.0861192	0.114891	0.126311	0.303375	0.446889	0.421892	0.195061	0	0.0039076	0.110421	0.591662	1.1277	0.939935	0.46281
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003822.3.92277bf1-d852-4798-9042-40cf7998125a.fc.signal	0.91175	1.02109	0.547717	0.35615	0.442186	0.378786	0.4538	0.261818	0.161008	0.284068	0.688482	0.990779	0.575297	0.254793	0.561845	0.268564	0.303082	0.0647291	0	0	0	0	0	0	0	0.0189872	0.11867	0.106012	0	0	0.0545882	0.344269	0.35615	0.197355	0	0	0	0.109176	0.325248	0.47482	0.534155	0.384938	0.47482	0.654324	0.823813	0.823013	0.481916	0.851522	1.32867	0.889458	0.459673	0.575163
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001965.2.ef4e5ad4-caa2-424f-9bf2-7145353fa420.fc.signal	1.95342	1.68534	2.11173	2.02631	1.49678	0.884914	0.720022	0.837148	1.3525	2.87881	2.8586	2.42553	3.19571	2.16744	0.669567	2.21879	3.0647	1.42387	0.278237	0.09788	0.068516	0	0	0	0	0	0	0.00261013	0.09788	0.309824	0.874607	1.97944	2.1327	1.47112	0.517096	0.27004	0.0313216	0	0	0	0.092986	0.181668	0.494744	1.27303	1.9004	1.00744	0.319596	0.337863	0.788531	1.7068	2.93779	0.782578
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003806.1.047c2416-3a22-4cd4-965c-493225f5ed12.fc.signal	5.18992	2.18576	0.958534	0.494277	0.460193	0.348349	0.552202	1.42237	3.29867	5.42625	3.72275	4.08196	6.91285	5.05476	5.03022	6.75716	4.32293	2.73981	1.52694	0.441793	0.16739	0.0962493	0	0	0	0	0	0	0.0544018	0.253808	0.33465	0.574506	1.35544	1.82612	1.23592	0.706167	0.210878	0.227604	0.16739	0.267746	0.253111	0.279732	0.961003	1.98084	1.78939	0.310142	0.092619	0.63141	0.937817	1.66197	1.93502	1
