	chr9:84858540-84858689	chr9:84858690-84858749	chr9:84858750-84858839	chr9:84858840-84858989	chr9:84858990-84859139	chr9:84859140-84859289	chr9:84859290-84859439	chr9:84859440-84859589	chr9:84859590-84859739	chr9:84859740-84859889	chr9:84859890-84860039	chr9:84860040-84860189	chr9:84860190-84860339	chr9:84860340-84860489	chr9:84860490-84860639	chr9:84860640-84860789	chr9:84860790-84860859	chr9:84860860-84860939	chr9:84860940-84861089	chr9:84861090-84861239	chr9:84861240-84861389	chr9:84861390-84861539	chr9:84861540-84861689	chr9:84861690-84861839	chr9:84861840-84861989	chr9:84861990-84862139	chr9:84862140-84862289	chr9:84862290-84862439	chr9:84862440-84862589	chr9:84862590-84862739	chr9:84862740-84862889	chr9:84862890-84863039	chr9:84863040-84863189	chr9:84863190-84863339	chr9:84863340-84863489	chr9:84863490-84863587	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000242.3.009dbb10-d8f5-4bd5-9bc6-e0cf283ece54.fc.signal	1.15234	1.04013	0.626178	0.31645	0.579952	0.559778	0.0605161	0.0668189	0.3631	0.213067	0	0.0731225	0.242064	0.248368	0.112205	0.369404	0.37823	0.120559	0	0	0.143725	0.37823	0.121031	0.292494	1.16242	1.74116	1.53057	0.41731	0.151288	0.79302	1.84331	1.4272	0.286192	0	0	0	0.653333
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.ef220820-5419-4b81-b030-ce292c6089b7.fc.signal	0.56167	0.383347	0.294596	0.779849	0.570615	0.545975	0.616082	0.770233	0.592763	0.717566	0.466262	0.424736	0.450798	0.446727	0.350606	0.150706	0.361009	0.392942	0.217337	0.265159	0.383731	0.380872	0.450021	0.444702	0.50097	0.415901	0.281196	0.469705	0.578412	0.462719	0.314271	0.361421	0.447417	0.276479	1.02877	0.9574	0.641292
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000221.3.c3b55191-0fbe-42ec-a1e0-0d7c8c410fde.fc.signal	0	0	0	0.701627	1.5941	0.230133	0	0	0	0	0.117873	0.806548	2.48066	1.29295	0	0	0	0	0	0	0	0	0	0	0	0.179617	1.68391	0.662338	1.15628	2.54834	1.34713	0	0	0	0	1.05674	0.699332
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.d82f15eb-8d9c-43cf-9741-0ee88b2ded27.fc.signal	0.725006	0.629271	0.486778	0.213287	0.407706	0.674749	0.559832	0.0774013	0	0	0	0.464177	0.869604	0.263154	0.225806	0.863745	0.380539	0.008575	0.283506	0.988373	0.0457167	0.142919	1.16816	0.583014	1.14386	1.43118	0.141634	0.0442806	0.553128	0.101428	0.592156	0.963754	0.895934	0.567255	0.39767	0.0162314	0.757809
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001997.1.9ddbde16-a8c7-4357-85a1-25b734b0a68e.fc.signal	0.308979	0	0.190453	0.404054	1.17434	0.944284	0.344414	0.709027	0.627787	0.665799	0.747396	0.827243	1.22654	0.673748	0.697276	1.11398	0.792081	0.255219	0.262038	0.636631	0.183902	0.148916	0.246441	0.0383655	0.0413878	0.882522	1.08554	1.05105	0.416556	0.293409	0.678977	0.540767	0.623354	0.952658	0.357158	0.703002	0.641946
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.9865a077-d036-4354-ba4b-3498c98e7bc1.fc.signal	1.66929	1.65208	0.907475	0.232617	1.0455	1.05063	0.270979	0	0.216011	0.711911	0.800086	0.253085	0.392397	0.449927	0.34633	0.159779	0.358746	0.129452	0	0.0549769	0.187944	0.837143	0.489532	0.364298	0.743906	0.691449	1.19379	0.49973	1.05957	0.982865	1.04167	0.823104	0.782228	0.621187	0.350227	1.4966	0.761116
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.9179d535-0d76-4d04-b0d0-678ad03f04b2.fc.signal	0	0	0	1.02049	1.90329	0.510172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19793	1.07397	0.535927	0.0754885	0.492788	1.07508	0.539095	0.600634	0.973373	0.459539	0.567203	0.43219	0.273657	0.5589	0.740788
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001235.5.85b1d8ad-328c-45c6-9e3b-50e5e5e241e1.fc.signal	0.542528	0.132879	0	0.287551	1.04193	0.808869	0.323467	0.128673	0.139635	0.95997	0.866263	0.340108	0.909604	0.681572	1.35572	1.40213	0.282414	0	0.22555	0.0414638	0.116769	0.313503	0.385923	0.818325	1.15305	0.705734	0.990193	0.495421	0.470052	0.551951	0.800583	0.906864	0.493716	0.0190573	0.0009956	0.457883	0.515192
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002005.1.3f273eb1-d109-4260-952a-5ac2e044448b.fc.signal	0.726857	0.132117	0.0513193	0.672391	0.716907	0.51599	0.416191	0.415253	0.427497	0.14047	0.382836	0.973864	0.829866	1.54141	0.928668	0.533389	0.159463	0.121804	0.262878	0.439655	0.645837	0.416853	1.35521	1.2731	0.672175	0.89543	0.506578	0.239538	0.685487	0.402396	1.05895	0.57291	0.578203	0.267416	0.311463	0.302953	0.602327
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003686.3.05f731d1-35d3-4327-ad52-34ab22707910.fc.signal	0.201094	0.23016	0.316409	0.23154	0.137276	0.282549	0.210845	0.81352	0.562915	0.660707	0	0	0.0400367	0.0951345	0.118702	0.461173	0.521329	0.104075	0	0.205861	0.178604	0.225809	0.25474	0.25815	0.517841	0.238903	0.330833	0.6674	0.671867	0.153971	0.278759	0.0302825	0.392459	0.58286	0.0627583	0.0681777	0.344768
