	chr6:3013030-3013119	chr6:3013120-3013179	chr6:3013180-3013329	chr6:3013330-3013479	chr6:3013480-3013629	chr6:3013630-3013779	chr6:3013780-3013929	chr6:3013930-3014079	chr6:3014080-3014229	chr6:3014230-3014379	chr6:3014380-3014529	chr6:3014530-3014679	chr6:3014680-3014829	chr6:3014830-3014979	chr6:3014980-3015129	chr6:3015130-3015279	chr6:3015280-3015429	chr6:3015430-3015579	chr6:3015580-3015729	chr6:3015730-3015879	chr6:3015880-3016029	chr6:3016030-3016179	chr6:3016180-3016329	chr6:3016330-3016479	chr6:3016480-3016629	chr6:3016630-3016779	chr6:3016780-3016929	chr6:3016930-3017079	chr6:3017080-3017229	chr6:3017230-3017379	chr6:3017380-3017529	chr6:3017530-3017679	chr6:3017680-3017829	chr6:3017830-3017979	chr6:3017980-3018129	chr6:3018130-3018143	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001457.1.b29ef53b-7262-43e2-ab26-84dcd5c07165.fc.signal	0	0	0.0698241	0.191518	0	0	0	0.267189	0.219179	0	0	0	0	0	0.185779	0.278038	0	0.120866	0.64775	0.065128	0.251171	0	0	0.959181	0.345288	0	0	0	0	0	0	0	0	0	0	0	0.476147
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001375.1.3bc522e1-a1c6-492a-9fb9-e63c8afd2709.fc.signal	0	0	0.303968	0.286948	0.2107	0.145376	0.541183	0.11779	0.286426	0.190473	0.502838	0.104694	0.00179093	0.16898	0.367938	0.298691	0	0.0765662	0.236619	0	0.212236	0.480536	0	0.0110133	0.329577	0.0770933	0.100833	0.387526	0.704433	0.846959	0.904964	0.826059	0.0322392	0.704868	0.504405	0	0.872222
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000980.8.368c97f7-f82d-4e9f-a521-00182447a421.fc.signal	0	0	0	0.0189923	0.275134	0.0486107	0.377537	0.458324	0.212014	0.349519	1.13112	0.559074	0.0570331	0	0	0	0.122437	0.291574	0.0855374	0.436661	0.381523	0.149747	0	0	0.0194289	0.386665	0.156747	0.138051	0.0535883	0.0983063	0.567675	0.445734	0.157774	0	0	0	0.501113
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003818.1.d9959e98-a5a9-490f-a9f0-358a1a711d27.fc.signal	0	0	0	0.92798	2.66502	0.836992	1.42147	1.99657	2.21408	1.6144	0.788617	0.62191	1.53673	1.07306	0.646278	0.787569	1.07889	0.225407	0.34263	0.729363	1.50834	0.704055	0.343116	0.0492667	0.496679	0.92405	0.771402	0.338338	0.317342	0.278392	0.460493	1.51578	0.795884	0.157559	0.108465	0	0.80167
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.993ec17f-4277-433d-a284-3906706ac1fe.fc.signal	0	0.0965662	0.828043	1.0971	0.206341	0.108157	1.77307	1.03808	0.957838	3.73306	1.22445	0.146909	1.33685	2.24411	0.833628	0.364034	0.735389	0.308997	0.792549	1.02544	0.741185	0.743881	0.821272	0.402797	0.247248	0.257769	0.39987	1.15059	0.407689	0.637136	1.73525	1.10774	0.308326	0.14242	0	0	0.421578
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000174.3.ad699f10-b9f0-4846-a1ea-444cf5fe468b.fc.signal	0	0	0	0	0	0	0.418521	0.295463	0.382911	0.592078	0	0	0.171754	0.515917	0.417284	0.160328	0.963475	0.618183	0	0	0	0	0	0	0	0	0.156884	0.331316	0	0	0	0.188783	0.557301	0.0131152	0	0	0.516447
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003816.1.4569d4d8-c896-418a-b870-e7afcf72b7d3.fc.signal	0.21229	0.109683	0.254748	0.155679	0	0.0409544	0.198919	0	0.241248	0.0484261	0	0	0	0	0.0468855	0.252064	0.773065	0.445552	0.0529608	0.104504	0.291125	0.102013	0	0	0	0.037588	0.177064	0.40262	0.0482528	0	0.233519	0.392029	0.521227	0.228476	0.12943	0	0.667399
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000242.3.009dbb10-d8f5-4bd5-9bc6-e0cf283ece54.fc.signal	0.009677	0.072819	0.144509	0.108035	0.191854	0.100766	0.0851042	0.203146	0.301296	0.349749	0.275187	0.0261685	0	0	0.0969708	0.227214	0.346741	0.361462	0.20056	0.188431	0.243756	0.210492	0.136915	0.0281223	0.0921267	0.0694411	0	0.0455088	0.0967809	0.0417522	0.0693653	0.103207	0.0835565	0.0441329	0	0	0.545551
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000290.2.e8dc7448-dc97-4057-a492-978243fe4033.fc.signal	0	0	0	0.197685	0.652045	0.240043	0.319975	0.28264	0.108019	0.45008	0.0870155	0	0	0	0.438078	0.207037	0	0	0.160409	0.447176	0.0199873	0	0	0	0	0	0	0	0	0.210037	0.435077	0	0.363624	0.269503	0	0	0.484076
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001908.1.4025739e-d017-417d-bd1b-2254ef9d0cdc.fc.signal	0	0	0	0	0	0.0161449	0.353048	0.336232	0.755918	0.498556	0.401836	0.335744	0.247545	0.0562637	0.0123021	0.212749	0.542489	0.168424	0	0.175704	0.774632	0.276981	0.159303	0.190641	0.348563	0.0330481	0	0.216105	0.463563	0.633094	0.486796	0.000650733	0.0663659	0.166016	0.120653	0	0.593011
