	chr4:186283915-186283984	chr4:186283985-186284024	chr4:186284025-186284064	chr4:186284065-186284104	chr4:186284105-186284214	chr4:186284215-186284274	chr4:186284275-186284364	chr4:186284365-186284514	chr4:186284515-186284564	chr4:186284565-186284664	chr4:186284665-186284814	chr4:186284815-186284864	chr4:186284865-186284924	chr4:186284925-186284964	chr4:186284965-186284994	chr4:186284995-186285114	chr4:186285115-186285264	chr4:186285265-186285344	chr4:186285345-186285414	chr4:186285415-186285464	chr4:186285465-186285564	chr4:186285565-186285684	chr4:186285685-186285714	chr4:186285715-186285824	chr4:186285825-186285864	chr4:186285865-186285914	chr4:186285915-186286014	chr4:186286015-186286054	chr4:186286055-186286124	chr4:186286125-186286164	chr4:186286165-186286274	chr4:186286275-186286314	chr4:186286315-186286464	chr4:186286465-186286554	chr4:186286555-186286614	chr4:186286615-186286764	chr4:186286765-186286914	chr4:186286915-186287064	chr4:186287065-186287214	chr4:186287215-186287364	chr4:186287365-186287514	chr4:186287515-186287664	chr4:186287665-186287814	chr4:186287815-186287964	chr4:186287965-186288014	chr4:186288015-186288114	chr4:186288115-186288264	chr4:186288265-186288414	chr4:186288415-186288544	chr4:186288545-186288564	chr4:186288565-186288714	chr4:186288715-186288864	chr4:186288865-186289010	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001878.2.2adb5a51-51a2-4ead-ae64-2462116858bf.fc.signal	0	0	0	0	0	0	0	0.299923	0.58968	0.377395	0	0.541058	0.59944	0.59944	0.564823	0.248733	0.787867	0.324143	0.0511866	0	0	0	0	0	0	0.537749	0.620843	0.625155	0.06199	0	0	0	0.345627	1.36522	1.44903	1.14558	0.279928	0	0.437285	0.754728	0.407853	0	0.0987411	0.277304	0	0	0	0.410435	0.275604	0	0	0.0612453	0.434661	0.772611
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.c28d3943-9234-4917-b4a0-88d70eac42fc.fc.signal	0.66384	0.835265	0.986886	1.24905	1.54949	1.48904	1.33607	1.34371	1.39282	1.38688	1.46938	1.44952	0.997176	0.673376	0.349526	0.518185	0.520647	0.432886	0.334793	0.246107	0.0257736	0.337845	0.842669	0.986086	1.00312	1.13371	1.23533	1.58631	1.41267	1.27442	0.830684	0.481758	0.24195	0.857719	1.09825	1.58175	1.24869	1.50844	2.08611	1.67087	1.99571	1.65443	0.86585	1.2373	1.7336	1.71713	1.70707	0.71765	0.688986	1.36472	1.51234	0.867713	0.300278	0.667969
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003804.1.20346d72-f6d0-41f6-979d-2e29fa33f68f.fc.signal	0.833855	0.917413	0.762036	0.734355	0.861734	0.616493	0.260536	0.315342	0.39203	0.321053	0.091862	0.0936548	0.0855135	0.185374	0.300572	0.315736	0.284815	0.135871	0.339341	0.214255	0.0244778	0.248113	0.229987	0.132926	0.154899	0.15021	0.299912	0.171329	0.111337	0.256105	0.382842	0.281295	0.504167	0.623002	0.799695	0.524417	0.00751241	0.305357	0.132251	0.110878	0.130162	0.0388878	0.300817	0.280809	0.0674912	0.303409	0.12293	0.412168	0.345222	0.48207	0.409423	0.455523	0.51567	0.534275
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001852.4.51e98f97-6119-4df6-b770-df4f0c759ed4.fc.signal	1.42544	1.24902	1.25373	1.3197	1.18603	1.30713	0.914314	0.80372	0.887966	1.0039	1.06016	0.920007	0.967768	1.1595	1.12177	1.20236	0.855892	0.467779	0.24912	0.411003	0.685313	1.07148	1.05576	0.948544	0.842164	0.84403	1.28981	1.37004	1.24657	1.26305	1.32615	1.43146	1.16884	1.29427	1.5541	1.28549	0.662357	0.631595	0.749728	1.096	0.796873	0.631676	1.58689	1.1882	0.573133	0.439272	0.639729	1.12364	1.04301	0.909971	0.767771	1.17078	1.5489	0.574913
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000709.3.5c2b1045-c5b9-4ce2-a975-1bba53717c39.fc.signal	0.680335	1.15337	0.910155	0.94075	0.987123	0.745725	0.443335	0.250276	0.541761	0.50331	0.306021	0.532943	0.393912	0.498186	0.37757	0.253861	0.174557	1.13531	0.748104	0.324398	0.213173	0.727738	0.406514	0.453393	0.594813	0.424247	0.603569	0.402801	0.48764	0.759205	1.65846	2.48839	2.06737	1.67756	1.38853	1.08751	1.19564	2.11307	0.982465	0.332123	0.216264	0.160654	0.532682	0.531497	0.685872	0.616357	0.212496	0.300545	1.30829	0.98478	0.617903	0.358385	1.07921	0.663987
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003809.1.1724086a-5e6f-40e4-8774-8e9b5ce9aa91.fc.signal	0.185179	0	0	0	0	0	0	0	0	0.22884	0.167324	0.266597	0.0651945	0	0	0	0	0	0	0	0	0	0	0.157231	0.256217	0.260402	0.158857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35155	0.150005	0	0	0	0.132787	0.138581	0	0.129237	0.201211	0.384565	0.599595
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001900.1.6f34fcaf-f939-42d9-9208-522a5ad9c032.fc.signal	0.920362	0.615968	0.520469	0.172395	0.353294	0.316921	0.204003	0.24184	0.136028	0.150214	0.285279	0.491474	0.529103	0.585496	0.523758	0.533837	0.608288	0.612025	0.187156	0.0803346	0.00466267	0.243148	0.476787	0.546883	0.767651	0.923694	0.910213	0.811486	0.587681	0.463418	0.336981	0.15638	0.170463	0.265507	0.489766	0.810192	0.639537	0.234446	0.292957	0.338709	0.190773	0.00318658	0.0914007	0.25822	0.21487	0.100557	0.0479919	0.174842	0.365006	0.481595	0.522085	0.724442	0.503923	0.601907
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003811.1.34e1eb06-bd04-44e7-b752-6e248f54239d.fc.signal	0.0450197	0.125599	0.154176	0.156246	0.100288	0	0.0614209	0.223442	0.199377	0.0569128	0.00979967	0.0616186	0.0609888	0.0715573	0.067845	0.149379	0.462947	0.216807	0.111124	0.189647	0.31415	0.34346	0.325288	0.120305	0.0812745	0.188571	0.189851	0.197377	0.127548	0.140639	0.172671	0.0843902	0.0939557	0.0897321	0	0.21124	0.330867	0.216239	0.141978	0.0048848	0	0.120623	0.274129	0.088024	0	0.0783309	0.160744	0.158309	0.260448	0.134625	0.0405101	0	0.0331866	0.647086
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001901.1.7cf8ca14-d3f1-48ac-b2ef-eee0ebdb6853.fc.signal	0.146951	0.130186	0.120908	0.110229	0.279881	0.333767	0.340098	0.303262	0.266403	0.394303	0.319729	0.0436782	0.202441	0.369851	0.425351	0.360803	0.254419	0.304627	0.204325	0.176615	0.171617	0.102548	0.139148	0.293739	0.320282	0.316278	0.170392	0.0604072	0.062091	0.118096	0.289538	0.277289	0.267723	0.359349	0.480831	0.184567	0.217455	0.361688	0.184611	0	0	0.0855495	0.221227	0.171434	0.09932	0.0655512	0.23035	0.418358	0.345124	0.466945	0.378365	0.232785	0.375178	0.574329
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001902.1.6122ce53-36ab-4726-899c-4019d21224b2.fc.signal	0.121344	0.109331	0.113242	0.112231	0.0430853	0	0	0	0	0	0.21924	0.57834	0.671163	0.609474	0.470517	0.198614	0.137592	0.131827	0.225184	0.223156	0.174774	0	0	0	0	0	0	0	0.005048	0.164632	0.504837	0.559321	0.396774	0.110766	0.113169	0.204876	0.13781	0.104082	0.1134	0.027216	0.065772	0.444655	0.545004	0.222237	0	0.13041	0.224532	0.013608	0	0	0.0241025	0.140971	0.133867	0.664774
