	chr7:76510584-76510733	chr7:76510734-76510803	chr7:76510804-76510883	chr7:76510884-76510943	chr7:76510944-76511033	chr7:76511034-76511113	chr7:76511114-76511183	chr7:76511184-76511223	chr7:76511224-76511333	chr7:76511334-76511483	chr7:76511484-76511633	chr7:76511634-76511783	chr7:76511784-76511803	chr7:76511804-76511933	chr7:76511934-76512083	chr7:76512084-76512163	chr7:76512164-76512233	chr7:76512234-76512383	chr7:76512384-76512533	chr7:76512534-76512563	chr7:76512564-76512683	chr7:76512684-76512833	chr7:76512834-76512903	chr7:76512904-76512983	chr7:76512984-76513133	chr7:76513134-76513283	chr7:76513284-76513433	chr7:76513434-76513583	chr7:76513584-76513733	chr7:76513734-76513883	chr7:76513884-76514033	chr7:76514034-76514183	chr7:76514184-76514333	chr7:76514334-76514483	chr7:76514484-76514633	chr7:76514634-76514783	chr7:76514784-76514933	chr7:76514934-76515083	chr7:76515084-76515233	chr7:76515234-76515293	chr7:76515294-76515383	chr7:76515384-76515533	chr7:76515534-76515663	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.993ec17f-4277-433d-a284-3906706ac1fe.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127085	0.989081	0.175103	0.71398	0.58438	0.5222	0.392698	0.749701	1.28651	1.41037	1.22142	1.19248	1.21062	1.32392	0.561011	0	0.159655	0.912127	0.241256	0.882593
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000195.3.5458814b-5fa1-4409-81d6-3110fe5029f7.fc.signal	0.807364	1.23789	0.65152	0.542933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.139611	1.30304	0.871409	0.152981	0.998259	0.914239	0.954679	1.50723	1.4024	1.11012	2.48413	1.5208	0.358949	0	0	0.985278	2.84808	2.15542	1.06893	0.449147	0	0.159664
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000239.3.318c4637-d1c5-4ab4-ab79-239ce2440f41.fc.signal	0.263828	0.149171	0.0703408	0	0	0	0	0	0	0.0338801	0.0939637	0.0383341	0	0	0	0	0	0	0.0130035	0.097692	0.098629	0.101024	0.188291	0.499931	0.796584	0.618702	0.404338	0.342466	0.371635	0.284854	0.422314	0.457737	0.331114	0.31356	0.329203	0.474063	0.520204	0.401501	0.410804	0.297779	0.219588	0.295554	0.445759	0.645669
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003822.3.92277bf1-d852-4798-9042-40cf7998125a.fc.signal	0	0	0	0	0	0	0	0	0	0	0.166138	0.150315	0	0	0	0	0	0	0	0	0.0405456	0.234967	0.105108	0.179488	0.214397	0.00632907	0	0.166929	0.149524	0	0.0482591	0.2231	0.261324	0.254354	0.165916	0.219935	0.0822779	0	0	0	0	0	0	0.505618
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004616.1.bed78e40-f7b3-4ebb-ad62-e7d9c6963ec8.fc.signal	0.645222	0.373058	0.21952	0.228656	0.157323	0.218148	0.10976	0.10976	0.154635	0.308674	0.0197568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.191714	0.178523	0.173421	0.100247	0.321892	0.318928	0.4433	0.488867	0.378076	0.0197568	0	0	0	0	0	0	0	0.142857
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003826.4.87afad01-d436-4b9f-ad87-b00cd4a79273.fc.signal	0.481365	0	0	0	0	0	0	0	0	0.0175093	0.29969	0.0109433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113789	0.21441	0	0.0732811	0.30298	0.351132	0.540406	1.14751	0.481766	0.3452	0.0306274	0.275619	0.0525039	0	0.144087	0.196942	0.0517704	0.381443
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000241.3.952d10ed-db3c-403d-b33a-97f5002e56ff.fc.signal	0.638967	0.547695	0.617756	0.489319	0.321054	0.191157	0.114873	0.118161	0.111002	0.366961	0.525177	0.32433	0.350972	0.278759	0.116211	0.0554061	0.0723959	0.0597835	0.0140255	0	0	0.0259447	0.114257	0.289951	0.433844	0.443567	0.348605	0.187977	0.168516	0.370142	0.341005	0.214306	0.194761	0.258188	0.290129	0.229432	0.364317	0.306043	0.32755	0.342612	0.206024	0.0165145	0	0.170588
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000188.3.aa79dbf5-f75e-4ba3-9aec-59cbc9a2028b.fc.signal	2.43946	0.900956	0.65695	0.186136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128389	0.713324	0.553337	0.233667	1.21631	1.27951	0.917413	2.44822	1.42776	0.245261	0.468624	1.87887	0.691987	0	0.448728	0.904707	1.03862	0.142339	0	0.989799	0.373955	0.444444
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000953.7.b00cf993-6f93-4003-a85a-97af1e0480be.fc.signal	0.657841	0.889868	0.918713	0.52417	0	0	0	0	0.905117	0.5333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26066	0.74095	0.955373	2.12704	0.612436	1.34627	0.472571	0.323471	1.19369	1.39223	0.0595624	0.880824	0.657773	0.831304	0.514139	0.292914	0.374463	0.713646	0.333333
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001050.8.8c536fb3-0ded-452e-bfa9-602b72d66c00.fc.signal	0.669271	1.08897	0.0916331	0	0	0	0	0	0	0	0	0	0	0.139094	0.237839	0	0	0	0	0	0	0	0.251337	0.711326	0.736391	1.03147	1.40134	0.603588	1.69242	0.564662	1.79428	1.14989	0.700252	1.89582	0.429906	0.661299	0.648239	1.4144	0.889291	0.578626	0.466662	0.53223	0	0.122568
