	chr1:151168019-151168068	chr1:151168069-151168168	chr1:151168169-151168198	chr1:151168199-151168318	chr1:151168319-151168388	chr1:151168389-151168438	chr1:151168439-151168468	chr1:151168469-151168618	chr1:151168619-151168648	chr1:151168649-151168678	chr1:151168679-151168768	chr1:151168769-151168918	chr1:151168919-151168988	chr1:151168989-151169068	chr1:151169069-151169128	chr1:151169129-151169198	chr1:151169199-151169218	chr1:151169219-151169368	chr1:151169369-151169448	chr1:151169449-151169518	chr1:151169519-151169668	chr1:151169669-151169718	chr1:151169719-151169818	chr1:151169819-151169898	chr1:151169899-151169968	chr1:151169969-151170118	chr1:151170119-151170268	chr1:151170269-151170418	chr1:151170419-151170488	chr1:151170489-151170568	chr1:151170569-151170648	chr1:151170649-151170718	chr1:151170719-151170808	chr1:151170809-151170868	chr1:151170869-151171018	chr1:151171019-151171168	chr1:151171169-151171238	chr1:151171239-151171318	chr1:151171319-151171428	chr1:151171429-151171468	chr1:151171469-151171598	chr1:151171599-151171618	chr1:151171619-151171668	chr1:151171669-151171728	chr1:151171729-151171768	chr1:151171769-151171858	chr1:151171859-151171918	chr1:151171919-151171988	chr1:151171989-151172068	chr1:151172069-151172158	chr1:151172159-151172218	chr1:151172219-151172368	chr1:151172369-151172388	chr1:151172389-151172518	chr1:151172519-151172578	chr1:151172579-151172668	chr1:151172669-151172748	chr1:151172749-151172818	chr1:151172819-151172878	chr1:151172879-151172968	chr1:151172969-151172998	chr1:151172999-151173118	chr1:151173119-151173163	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.ef220820-5419-4b81-b030-ce292c6089b7.fc.signal	0.29229	0.254275	0.0827787	0	0	0	0	0	0	0	0	0	0	0	0.102256	0.14608	0.14608	0.136341	0.14608	0.240072	0.137318	0.36533	0.574345	0.451217	0.166967	0.472277	0.430316	0.179575	0.29229	0.398198	0.259357	0.128617	0.00973867	0.255811	0.340926	0.201548	0.192302	0.472574	0.569945	0.756266	0.609273	0.43837	0.184084	0.058432	0	0.0389547	0.14608	0.14608	0.153391	0.290431	0.635045	0.441238	0.0731875	0.104663	0.251102	0.212687	0.040172	0	0	0	0	0	0.087648	0.917431
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003806.1.047c2416-3a22-4cd4-965c-493225f5ed12.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00446373	0.16739	0.121956	0	0	0.0512097	0.326344	0.338228	0.284363	0.536226	0.308134	0.240887	0.145436	0	0	0	0	0.077149	0.165598	0.24971	0.205543	0.238754	0.292406	0.25261	0.02471	0	0	0	0	0	0	0	0	0	0	0	0.0464338	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000864.3.dbe74410-ef9b-4890-bc90-855bf41773d5.fc.signal	0	0.848548	1.11249	0.171868	0	0	0	0	0	0	0	0.342973	0.55476	0.649167	0.86293	0.505432	0	0	0	0	0	0	0	0	0	0	0.31154	0.158248	0	0	0	0.210109	0.456868	0.340377	0.739734	0.162996	0	0	0	0	0.314196	0.57529	0.437218	0.009588	0.100674	0.536086	0.892659	0.507644	0.0252866	0	0	0	0	0.515546	0.925252	1.06743	1.43442	0.715	0.417083	0.405896	0.258876	0.62323	0.657727	0.967393
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000775.1.45140bd1-90fe-4a64-8e67-977bea385e45.fc.signal	0.213431	0.140635	0.2231	0.233334	0.128263	0.117494	0.149788	0.21561	0.11881	0.0673257	0	0.144521	0.34973	0.383021	0.202587	0.113796	0	0	0	0	0	0	0	0	0	0.0622269	0.0687155	0	0	0	0.110846	0.22719	0.215185	0.0185917	0	0.321173	0.508569	0.46276	0.261613	0.297752	0.184026	0.13944	0.0871832	0.102899	0.145413	0.221995	0.249118	0.210349	0.128351	0	0	0	0	0.129167	0.26867	0.238817	0.16288	0.243281	0.261834	0.0718878	0.0761203	0.240682	0.274646	0.951645
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.e0246cbf-2d49-4bee-a25f-b1967eaad820.fc.signal	0.138942	0.182978	0.256265	0.148316	0.0529754	0	0.121949	0.15836	0	0	0	0	0.079771	0.186582	0.248326	0.192124	0.19255	0.0166877	0	0	0	0	0	0	0	0	0.0508264	0.0972876	0.0941976	0.0976204	0.000647625	0	0	0	0.0013398	0.126339	0.00197371	0	0.216449	0.535549	0.273405	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0414507	0.249522	0.329851	0.244957	0.0890513	0	0	0	0	0.345622
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000229.3.85a03a8e-2650-44c0-bf53-1db912cf1fd2.fc.signal	0	0.0272617	0.259254	0.247816	0.221338	0.0370588	0.221833	0.415596	0.5104	0.463833	0.182716	0.162328	0.173668	0.151138	0.129794	0.272026	0.265116	0.259496	0.0861426	0	0	0	0.0381352	0.153755	0.214042	0.368689	0.538008	0.508498	0.429191	0.305198	0.0773518	0.0632811	0	0	0.0676085	0.358609	0.408551	0.188546	0.317841	0.493206	0.670836	0.63575	0.702106	0.426993	0.269251	0.0908247	0.0932612	0.100169	0.176084	0.175363	0.240502	0.300515	0.358216	0.317861	0.325553	0.291433	0.192689	0.130381	0	0	0	0	0	0.266667
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003842.2.5d7cb2f3-47cf-4b96-8e52-3efecb6dacae.fc.signal	0.28416	0.122702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0944321	0.238234	0	0	0	0	0	0	0	0	0	0.110224	0.213846	0.0752603	0	0	0	0	0.0306956	0.132488	0.188507	0.175087	0.204196	0.221049	0.2512	0.197666	0.0607239	0.29912	0.245931	0.0280797	0	0	0.0368407	0.105672	0.0936782	0.0903015	0.0573126	0	0	0	0	0	0	0	0.421277
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001918.1.f4eb1507-9e72-4fad-bc11-1462cce349d2.fc.signal	0.458708	0.544386	0.405995	0.318216	0.185033	0.0123752	0	0	0.02275	0.3807	0.748186	0.55826	0.0130629	0	0	0	0	0	0	0	0	0.0595392	0.701947	1.01564	0.450447	0.205707	0.0109092	0.317817	0.613229	0.61823	0.662205	0.186568	0.243306	0.393059	0.595193	0.814828	0.79212	0.569031	0.469585	0.442097	0.377434	0.377084	0.298138	0.421742	0.564256	0.583014	0.396964	0.165641	0	0	0	0	0	0	0.144756	0.620899	0.859975	0.499743	0.011737	0	0	0.397213	0.46963	0.534884
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001921.1.0999ab49-22be-4f40-a74d-5a4868d07690.fc.signal	0.366821	0.29533	0.208747	0.103178	0.006161	0	0	0	0	0	0	0	0	0	0	0	0	0.0350045	0.108577	0.187844	0.188451	0.137526	0.0941474	0.28351	0.382775	0.453424	0.289997	0.0382829	0	0	0	0	0	0	0.0567537	0.0702384	0.0553119	0.0265205	0	0	0	0	0	0.087387	0.107591	0.111862	0.073677	0	0.0663306	0.110732	0.111793	0.0298037	0.044196	0.0660458	0.139127	0.204067	0.15668	0.0621769	0	0	0	0	0	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000784.3.f2286a0c-dba6-4a30-897c-ba6f1fff3167.fc.signal	0.0448668	0	0.106342	0.341238	0.0439957	0	0	0	0	0.536752	0.636628	0.01308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55056	0.352072	0.218662	0.448155	0.354825	0.0464016	0.241149	0.330008	0.0123064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.971466
