	chr11:45920464-45920613	chr11:45920614-45920763	chr11:45920764-45920913	chr11:45920914-45921063	chr11:45921064-45921213	chr11:45921214-45921363	chr11:45921364-45921513	chr11:45921514-45921663	chr11:45921664-45921813	chr11:45921814-45921963	chr11:45921964-45922113	chr11:45922114-45922263	chr11:45922264-45922413	chr11:45922414-45922563	chr11:45922564-45922713	chr11:45922714-45922863	chr11:45922864-45923013	chr11:45923014-45923163	chr11:45923164-45923313	chr11:45923314-45923463	chr11:45923464-45923613	chr11:45923614-45923703	chr11:45923704-45923763	chr11:45923764-45923823	chr11:45923824-45923913	chr11:45923914-45923983	chr11:45923984-45924063	chr11:45924064-45924213	chr11:45924214-45924363	chr11:45924364-45924513	chr11:45924514-45924663	chr11:45924664-45924813	chr11:45924814-45924963	chr11:45924964-45925113	chr11:45925114-45925263	chr11:45925264-45925413	chr11:45925414-45925558	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.993ec17f-4277-433d-a284-3906706ac1fe.fc.signal	0.325364	0.50868	0.369261	0.23343	0.462825	0.150002	0.181666	0.28995	0	0	0.137986	0.402013	0.4557	0.180488	0.146285	0.325143	0.214244	0.259145	0.21144	0.0874231	0.241597	0.297121	0.563736	0.766805	0.227944	0.401732	0.596971	1.31398	1.04703	0.206467	0.768339	1.0198	1.98036	0.837407	0.210275	0.200172	0.169669	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000242.3.009dbb10-d8f5-4bd5-9bc6-e0cf283ece54.fc.signal	0.18644	0.169884	0.183297	0.263429	0.184868	0.161834	0.267342	0.287563	0.350248	0.252839	0.281888	0.4623	0.57435	0.679186	0.63572	0.63067	0.635548	0.597627	0.491741	0.531498	0.590098	0.337064	0.142074	0.039569	0.0537157	0.0279357	0.0710597	0.183574	0.285067	0.445682	0.497636	0.307302	0.322739	0.608779	0.437055	0.271938	0.138241	0.602933
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000290.2.e8dc7448-dc97-4057-a492-978243fe4033.fc.signal	0.372066	0.273049	0	0	0	0.315056	0.263542	0	0	0.0330059	0.449535	0.162029	0	0	0	0.363065	0.252627	0	0.447079	0.168068	0	0	0	0	0	0	0	0	0	0	0.132023	0.45008	0.108019	0.447356	0.122783	0	0	0.55
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001913.1.0691c0e9-6039-4aa9-a294-80d73cee59d2.fc.signal	0.603301	0.0142512	0.53756	0.688521	0	0	0.177585	0.455258	0.338541	0.665159	0.570136	0.346779	1.37779	0.836103	0.736319	0.655586	0.988228	0	0.0095008	0.956753	1.22101	0.467123	0	0	0	0	0	0.750603	0.831357	1.27803	0.228019	0.380057	0.783891	0	0	0	0	0.644578
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001008.4.aa01f6f8-93b0-4f0b-8191-bde89d903aa4.fc.signal	0.481784	0.446383	1.02155	0.904854	0.753356	1.07123	1.39525	1.17405	0.844711	0.965848	1.22419	1.2604	0.937042	1.95039	1.90525	2.41105	2.24573	2.39245	3.10786	1.81829	1.4608	1.39197	0.575616	0.0530228	0	0	0.0161402	0.130503	0.0654551	0.734375	1.50321	1.55102	0.512166	0.611974	0.44362	0.762296	0.131474	0.72488
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001954.2.c4a67634-cf89-4945-bb82-26e2fddb3f3f.fc.signal	1.39951	1.3945	0.529994	0.199006	0.1486	0.06083	0.965162	1.56637	0.589468	1.1626	0.864662	0.724767	0.323279	0.06952	0.193792	0.234965	0.650899	0.153815	0.48311	1.12554	1.18909	0.706784	0.0065175	0	0	0	0.224859	0.561393	0.953525	1.13214	1.46505	0.0477965	0.265921	1.12877	1.24491	0.580627	0.666037	0.456769
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000239.3.318c4637-d1c5-4ab4-ab79-239ce2440f41.fc.signal	0.171614	0.327333	0.300515	0.295948	0.163889	0.0522027	0.00406507	0	0.0454707	0.0630884	0.041539	0.0188817	0.0128242	0.0542703	0.0723863	0.0725961	0.0303122	0.0255635	0.0531677	0.0603325	0.0500593	0.0211889	0	0	0	0	0	0	0.0282605	0.0813945	0.0422585	0.00275893	0	0.011763	0.0940374	0.147002	0.120732	0.730945
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000227.3.782837e5-53f4-4f13-8ca3-175155d9e819.fc.signal	0.0610689	0.152704	0.156635	0.109453	0.17008	0.0493458	0.0789081	0.0773857	0.0613768	0.123034	0.0787177	0	0.0082428	0.0628505	0.147853	0.0763985	0	0	0.0165428	0.184094	0.247484	0.0911727	0.0419458	0	0	0	0	0	0	0	0	0	0	0	0	0.0379697	0.0990037	0.663333
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001959.2.50a44db1-655c-4546-8036-e7b247f25f5a.fc.signal	0.388779	0.0726119	0	0.145246	0.331489	0.186837	0.589106	0.202768	0.0624889	0	0	0.191586	0.0710394	0.533078	0.0839673	0	0	0.272932	0.215775	0.162531	0.268771	0.00618422	0	0	0	0	0	0.23518	0.25117	0.337938	0.597762	0.388161	0.288317	0.727182	0.402661	0.303259	0.0986001	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001965.2.ef4e5ad4-caa2-424f-9bf2-7145353fa420.fc.signal	1.18666	1.34091	0.772207	0.264334	0.550634	1.15441	0.904181	0.980758	1.0352	0.723532	0.967626	1.51573	0.655481	0.217851	0.317675	0.437644	1.19353	0.821118	0.991997	2.15355	1.73093	0.767433	0.171197	0	0	0.0419486	0.221365	0.654173	0.982871	1.58876	2.33619	1.66767	0.653046	0.986578	1.49557	1.34598	1.12788	0.39488
