	chr17:34624084-34624143	chr17:34624144-34624233	chr17:34624234-34624293	chr17:34624294-34624343	chr17:34624344-34624383	chr17:34624384-34624473	chr17:34624474-34624533	chr17:34624534-34624603	chr17:34624604-34624683	chr17:34624684-34624763	chr17:34624764-34624833	chr17:34624834-34624983	chr17:34624984-34625133	chr17:34625134-34625283	chr17:34625284-34625433	chr17:34625434-34625583	chr17:34625584-34625733	chr17:34625734-34625883	chr17:34625884-34626033	chr17:34626034-34626183	chr17:34626184-34626333	chr17:34626334-34626483	chr17:34626484-34626633	chr17:34626634-34626783	chr17:34626784-34626933	chr17:34626934-34627083	chr17:34627084-34627233	chr17:34627234-34627323	chr17:34627324-34627383	chr17:34627384-34627463	chr17:34627464-34627533	chr17:34627534-34627683	chr17:34627684-34627763	chr17:34627764-34627833	chr17:34627834-34627983	chr17:34627984-34628133	chr17:34628134-34628283	chr17:34628284-34628433	chr17:34628434-34628583	chr17:34628584-34628733	chr17:34628734-34628883	chr17:34628884-34629033	chr17:34629034-34629183	chr17:34629184-34629333	chr17:34629334-34629355	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.ef220820-5419-4b81-b030-ce292c6089b7.fc.signal	0.141135	0.0708321	0.415139	1.27945	1.79089	1.84922	1.06551	0.972951	0.853067	0.520464	0.308958	0.510076	0.394685	0.491721	0.581684	0.364029	0.251208	0.186214	0.348763	0.754054	0.457884	0.173373	0.219188	0.260124	0.162631	0.60469	0.82808	0.886403	0.947353	1.37079	1.22161	0.501323	0.373806	0.618569	0.499774	0.996354	0.812394	0.505354	0.128076	0.262418	0.0656917	0.112134	0.626687	0.620309	0.871063	0.803625
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000221.3.c3b55191-0fbe-42ec-a1e0-0d7c8c410fde.fc.signal	0.533276	0.336166	0.33176	0.265408	0	0	0	0.244829	1.21487	1.45754	1.64603	0.72417	0.707354	1.17432	0.81683	0.294698	1.12608	2.00255	4.51578	3.98087	2.82596	2.38686	4.43247	4.24591	2.64077	2.06768	1.15064	0.581958	0	0	0.028836	0.441567	0.528508	0.261174	0	0	0	0	0.132926	0.686842	0.953709	1.38057	0.991726	1.28428	1.05397	0.835013
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.d82f15eb-8d9c-43cf-9741-0ee88b2ded27.fc.signal	1.5917	1.11134	2.12707	2.44114	2.08736	1.36148	0.992572	0.489096	0.893948	0.848547	0.0886846	0	0.365464	1.80222	1.51058	3.67741	1.39685	1.47005	3.35296	3.93077	0.381708	1.83155	1.0033	1.34259	1.90578	3.20454	3.22044	4.32607	1.7261	0.942526	0.39767	0.71035	1.00951	0.571206	1.87742	0.568787	0.779543	0.860296	1.53824	1.24156	1.61898	2.05275	0.882649	1.01523	0.759063	0.68932
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.9865a077-d036-4354-ba4b-3498c98e7bc1.fc.signal	0.143381	0.0519004	0.068314	0.106967	0.255279	0.35284	0.548971	0.671847	0.438405	0.120643	0.129887	0.161788	0.21809	0.231344	0.301816	0.110538	0.311023	0.224113	0.162431	0.211086	0.215389	0.126345	0.1538	0.126892	0.0868551	0.495582	0.412727	0.114674	0.0611827	0.125052	0.126634	0.0280588	0.173551	0.264392	0.357309	0.436954	0.315785	0.204065	0.303899	0.183321	0.159421	0.173099	0.138014	0.22054	0.247942	0.802416
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.9179d535-0d76-4d04-b0d0-678ad03f04b2.fc.signal	0.781706	0.416411	0	0	0	0.0226217	0.290255	0.603959	0.695894	0.659545	0.327224	0.196682	0.121379	0	0	0.14465	0.784549	0.499334	1.17425	2.71173	2.70013	2.11104	1.77963	0.93876	0.16586	0.334624	0.277531	0.130589	0	0	0	0	0	0	0	0	0.0655381	0.295682	0.917614	0.600042	0.8776	0.858143	0.377437	0.464527	0.565842	0.708009
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000709.3.5c2b1045-c5b9-4ce2-a975-1bba53717c39.fc.signal	0.63335	0.633351	0.532943	0.472695	0.932643	1.36196	1.63441	1.11311	0.655112	0.910335	0.69183	0.942301	1.08442	2.19183	0.610558	0.868153	0.731853	0.348948	0.570014	0	0	0	0	0	0.146752	1.36247	1.63281	2.06982	1.99264	1.18753	1.11222	1.40418	0.743783	0.0395291	0.707673	1.38391	0.967015	0.654976	1.64817	1.25898	1.27906	1.13804	0.611904	1.31105	0.968418	0.821429
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.eb6b8116-681b-4ebd-8a3a-5c8e0b38a2a8.fc.signal	0.438663	1.0096	1.28782	1.32543	0.770775	0.706358	0.723399	0.791003	0.693486	0.786875	1.1051	0.953175	0.967297	1.55494	1.12086	1.43678	1.7991	2.87348	3.25474	0.970457	1.88414	3.17283	1.16264	0.372892	3.18873	2.97568	3.75916	2.78612	1.63347	1.21283	1.4048	1.0587	0.933448	1.20621	1.02368	1.86491	2.14252	1.9609	2.69677	2.46075	3.5856	2.90501	4.19367	4.32348	1.70995	0.569767
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.8266b146-518b-415f-b011-597d6aa5064e.fc.signal	0.290243	0.651743	0.781201	0.76489	0.739207	0.683782	0.582407	0.51849	0.526168	0.596591	0.549202	0.16	0.106317	0.460988	0.733742	0.377205	1.15271	0.763014	0.753686	0.64103	0.377785	0.821091	0.402743	0.547406	0.41813	0.979304	1.15725	0.41112	0.736265	0.870292	0.544138	0.625037	0.678252	0.232111	0.388742	0.887657	0.733275	0.754951	1.63078	0.74099	0.795063	1.08446	1.06984	1.03445	1.34822	0.791086
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.43d53f41-e4a2-4421-b86f-0d0bce6de71d.fc.signal	0.959322	0.574121	1.02541	1.48793	1.75433	2.25641	2.36914	2.09485	1.73957	0.931585	0.435754	0.47332	0.837014	0.495388	0.55984	1.02217	1.98923	1.43698	0.995936	0.958358	0.43964	0.44232	0.336431	0	0.469127	0.912787	0.959727	1.17291	1.00866	0.80422	0.537102	0.931574	1.596	1.99057	1.89004	1.36462	1.21579	1.08574	1.68362	1.53618	1.4987	1.23332	0.832365	1.44906	1.40751	0.609929
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000974.7.795c5285-fcfe-49fc-86bb-822787a24420.fc.signal	0.577108	0.30217	0.830599	1.2044	0.853096	0.357496	0.452802	0.328071	0.372237	0.729108	0.597875	0.607471	0.726929	0.514761	0.346938	1.12904	1.04958	0.797465	0.495809	1.2191	1.28668	2.48939	1.58947	1.51556	1.45183	2.4449	1.53812	0.424396	1.22003	1.33096	0.522152	0.938349	0.310928	0.515249	1.19354	1.23158	1.01893	1.44358	1.13497	2.43112	1.07109	0.431428	1.04313	0.797112	0.459532	0.396694
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.41844a41-a9d8-47e3-9699-651cca6131a4.fc.signal	1.64737	0.350223	0.459672	0.996091	1.53249	1.80061	1.49413	1.98632	2.58594	1.80539	1.28067	1.06761	2.30884	2.32113	1.04273	1.42482	0.956511	0.654043	2.79041	2.06623	0.388379	1.12519	1.2719	0.63337	0.805898	1.87655	1.56556	0.806252	0.443185	0.808062	0.348354	0.405186	0.788222	0.992973	0.902427	0.49646	1.70732	0.77626	1.1194	1.48875	2.11172	3.9637	2.13375	2.44715	2.68176	0.508772
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.db376d3b-ae63-4e49-80d2-dc3c632957a3.fc.signal	0.705509	1.10835	0.632872	0.607326	0.942473	1.83506	2.64102	2.25723	1.42431	0.44411	0.629229	0.650876	1.03094	1.53614	2.64413	1.17646	1.36414	0.96665	0.300239	0.00230953	0.39724	0.655569	0.74136	0.679003	1.73439	2.40111	2.20361	2.40822	1.79581	1.46859	0.546923	0.799895	0.801167	0.786204	1.48237	1.55351	1.7874	2.04746	2.24235	1.79599	1.90638	2.71061	2.36379	1.21385	1.09722	0.708075
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.c8f6239b-cb62-4435-8e19-0a148079f3ba.fc.signal	0.394492	0.259379	0.123344	0.512617	0.557542	0.311451	0.0551013	0.215565	0.343713	0.126033	0.0347556	0.531256	0.309073	0.0548629	0.425813	0.158725	0.377121	0.446789	0.533102	0.236323	0.00931573	0.0232881	0.314255	0.128063	0.21652	0.705375	0.533598	1.18328	0.502766	0.306248	0.420277	0.339008	0.381319	0.302887	0.0993767	0.182612	0.342568	0.306775	0.831268	0.699905	0.365031	0.428769	0.449704	0.491206	0.14618	0.659484
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.fb569507-616e-4ddb-bce1-2cdd793c15be.fc.signal	0.179567	0.431181	0.613507	0.625302	0.74559	0.54818	0.2113	0.593952	1.23751	0.877535	0.338909	0.778346	0.494688	0.600594	0.779598	1.53777	2.26783	0.878523	0.661447	1.15497	0.465988	0.666625	0.633411	0.317297	0.255562	0.70345	1.1057	1.09916	1.27185	1.46814	1.12285	0.660856	0.364524	0.210876	0.688668	1.47556	1.04594	0.633653	0.705048	0.301167	0.761523	0.702125	0.794962	0.686478	0.932612	0.87642
