	chr4:75554041-75554120	chr4:75554121-75554150	chr4:75554151-75554190	chr4:75554191-75554340	chr4:75554341-75554490	chr4:75554491-75554640	chr4:75554641-75554760	chr4:75554761-75554790	chr4:75554791-75554940	chr4:75554941-75555090	chr4:75555091-75555140	chr4:75555141-75555240	chr4:75555241-75555300	chr4:75555301-75555390	chr4:75555391-75555480	chr4:75555481-75555540	chr4:75555541-75555690	chr4:75555691-75555840	chr4:75555841-75555990	chr4:75555991-75556140	chr4:75556141-75556190	chr4:75556191-75556270	chr4:75556271-75556290	chr4:75556291-75556340	chr4:75556341-75556440	chr4:75556441-75556590	chr4:75556591-75556740	chr4:75556741-75556890	chr4:75556891-75557010	chr4:75557011-75557040	chr4:75557041-75557080	chr4:75557081-75557130	chr4:75557131-75557190	chr4:75557191-75557340	chr4:75557341-75557420	chr4:75557421-75557490	chr4:75557491-75557640	chr4:75557641-75557730	chr4:75557731-75557790	chr4:75557791-75557870	chr4:75557871-75557940	chr4:75557941-75557980	chr4:75557981-75558090	chr4:75558091-75558240	chr4:75558241-75558270	chr4:75558271-75558390	chr4:75558391-75558490	chr4:75558491-75558540	chr4:75558541-75558640	chr4:75558641-75558690	chr4:75558691-75558840	chr4:75558841-75558950	chr4:75558951-75558990	chr4:75558991-75559084	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001954.2.c4a67634-cf89-4945-bb82-26e2fddb3f3f.fc.signal	0.630772	0.773076	0.602888	0.368718	0.952374	0.694308	0.827128	0.563916	0.561531	0.911688	0.491445	0.379739	0.417694	0.565161	0.33093	0.0803825	0.258817	0.54403	1.10905	0.880012	0.637992	0.655031	0.977629	1.05415	1.02513	0.686531	0.592106	0.354317	0.880904	1.03833	0.938497	0.782122	0.547488	0.203416	0.391064	0.450438	0.0391469	0.219902	0.797281	1.25342	1.10334	0.93243	0.600916	0.735255	0.433929	0.244045	0.334949	0.567247	0.836857	1.48368	1.60835	0.993785	0.72319	0.587981	0.456522
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001965.2.ef4e5ad4-caa2-424f-9bf2-7145353fa420.fc.signal	0.458203	0.184943	0.26616	0.32881	0.584076	0.572598	0.365542	0.42521	0.668089	0.801062	0.764759	1.01957	1.25353	1.08933	0.786662	0.389132	0.598837	0.501182	0.882391	0.796246	0.39526	0.406007	0.475838	0.52585	0.772587	0.586765	0.485453	0.306736	0.285774	0.415092	0.434393	0.400078	0.244376	0.613785	0.924515	0.846945	1.18245	1.67942	1.71528	1.25416	1.06863	0.888871	1.2945	1.10098	0.744785	0.660801	0.454726	0.424591	0.48409	0.985713	1.27772	0.857161	0.470548	0.325306	0.54881
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001952.2.c1b4ffc0-5671-47c4-baaa-5f1958b2a0b4.fc.signal	0.129345	0.0401747	0.166709	0.440741	0.277202	0.414551	0.73254	0.575898	0.222749	0.319711	0.255698	0.244099	0.116838	0	0.0411116	0.157661	0.419278	0.402182	0.784527	0.284581	0.449948	0.411041	0.457978	0.308753	0.150761	0.099935	0.145245	0.0913203	0.336973	1.00307	1.20884	1.38974	0.86866	1.16703	1.08023	0.846423	1.26574	0.51828	0.79338	0.413834	0.160299	0.160314	0.327316	1.06355	0.585281	0.237314	0.330514	0.272199	0.65568	0.724484	0.453843	0.314126	0.5773	0.688019	0.561644
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.409dbfeb-ff68-4d68-8254-ea0d0437a94c.fc.signal	0.137084	0.141507	0.243672	0.390944	0.207483	0.136254	0.576283	0.612696	0.260692	0.443443	0.457695	0.286355	0.0589192	0.0999666	0.065279	0.0120727	0.218197	0.267822	0.142709	0.10987	0.393557	0.546505	0.54457	0.414473	0.19197	0.347011	0.170155	0.295206	0.430398	0.72864	0.655277	0.766929	0.656698	0.982753	0.576488	0.366248	0.343361	0.278595	0.506704	0.60129	0.534962	0.501466	0.682921	0.694382	0.639887	0.36125	0.760683	0.879424	0.680495	0.519671	0.362405	0.521952	0.380949	0.446126	0.643885
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001852.4.51e98f97-6119-4df6-b770-df4f0c759ed4.fc.signal	0.347216	0.768365	0.990808	1.15613	0.752819	0.640306	0.985382	0.855841	1.34142	0.80615	0.549494	1.11194	1.18128	1.21978	1.05347	1.00456	1.00104	0.854433	0.684883	0.692239	1.06878	1.24482	1.29484	1.22848	1.31015	1.35919	1.45423	1.31928	1.16213	1.1789	1.04399	1.0751	0.9949	1.44906	1.16776	0.636459	0.504637	0.644259	0.736627	0.761158	0.633412	0.550292	0.409339	0.486632	0.403165	0.721443	0.798861	0.44776	0.481646	0.753715	1.13117	1.00894	1.03223	1.17602	0.391304
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001957.2.e6bec3c5-fcb0-48f1-bb2d-dd0add2596dc.fc.signal	0.75563	0.751694	0.705451	0.635485	0.179064	0.26703	0.349577	0.366158	0.427811	0.578855	0.500117	0.88474	0.908986	0.56268	0.278198	0.19581	0.305446	0.29471	0.330447	0.265397	0.127134	0.512247	0.935238	1.14813	1.12486	0.688796	0.741125	1.14373	0.669096	1.11804	1.11911	0.990726	0.87079	1.14523	0.974575	0.511336	0.65065	0.409463	0.173112	0.163332	0.351505	0.569978	0.549034	0.608967	0.566679	0.691172	0.826825	0.452524	0.190488	0.471665	0.905665	0.64417	0.64488	0.515665	0.394737
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000974.7.795c5285-fcfe-49fc-86bb-822787a24420.fc.signal	0.377213	0.752177	1.04927	0.515466	0.750462	0.0339355	1.17444	0.641977	0	0	0	0.0608428	1.10165	1.9709	1.24222	1.72676	1.10013	0.599357	0.321701	0	0.478495	1.43689	1.25268	1.03438	0.511668	0.119781	0.102453	0.508937	0.714368	1.31366	1.46298	0.988076	0.452441	0	0	0	0.0419639	0.578336	1.81337	1.57819	0.222746	0.200392	0.47605	0.942268	0.422466	0.101851	0.574044	0.0465792	0	0	0.0465792	0.967436	0.61925	0.87529	0.156448
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.ac3d233b-983d-44f1-b32e-ea45048d4db5.fc.signal	1.25097	1.40403	1.42137	1.26061	0.733106	0.66011	1.15518	1.4146	1.01323	0.440348	0.242338	0.556224	0.906443	1.06348	0.753051	0.703409	1.09566	0.993431	0.690708	0.493463	0.557085	1.27602	1.78897	1.62515	1.94583	1.66769	2.10326	1.94557	1.22323	0.897406	0.698205	0.736565	0.530071	0.888823	1.05902	0.628501	0.368826	0.990817	1.46309	1.35752	0.676884	0.773791	1.18346	1.53311	1.59991	1.69984	1.97208	1.713	0.787802	0.261338	0.320488	0.559762	0.646086	0.915584	0.469034
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001958.3.8880c654-a0c9-41d0-997c-100c289384a4.fc.signal	1.12642	1.23675	1.21229	0.606012	0.171735	0.0609755	0.209583	0.0363163	0.219831	0.738819	0.675005	0.280135	0.663902	0.74853	0.527804	0.28195	0.0022362	0.193167	0.149678	0.0702729	0.113518	0.281384	0.574182	0.616781	0.540047	0.351591	0.208067	0.36069	0.972041	0.938204	0.716746	0.783795	1.16194	1.10993	0.860491	1.10549	1.12156	0.704884	0.661163	1.00855	0.78428	0.756151	0.642191	0.714458	0.526525	0.314768	0.16158	0.202862	0.325496	0.267408	0.100804	0.140182	0.267179	0.29966	0.609262
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004900.1.67d0b7ff-4124-4e95-8c9b-1a369432b72d.fc.signal	0.376296	0.42775	0.834107	1.37561	1.78161	2.4726	0.727417	0	0	0.300431	0.79286	0.509447	0	0.581393	0.588787	0.326131	0.612183	0.478574	0.842608	2.25972	1.62017	1.03484	1.27883	1.08282	1.40426	1.28915	0.816081	0.659222	2.5297	4.2238	3.96741	2.92619	1.8565	2.36259	2.72395	1.81561	0.602438	0.401091	0.567398	0.846842	1.3067	1.5891	1.36036	1.41077	1.19711	0.965688	1.20594	0.896376	0.742361	1.31441	1.78607	1.22354	0.055677	0.213875	0.504902
