	chr3:149473323-149473402	chr3:149473403-149473472	chr3:149473473-149473522	chr3:149473523-149473622	chr3:149473623-149473662	chr3:149473663-149473772	chr3:149473773-149473922	chr3:149473923-149474072	chr3:149474073-149474222	chr3:149474223-149474372	chr3:149474373-149474432	chr3:149474433-149474522	chr3:149474523-149474562	chr3:149474563-149474672	chr3:149474673-149474822	chr3:149474823-149474972	chr3:149474973-149475122	chr3:149475123-149475272	chr3:149475273-149475422	chr3:149475423-149475572	chr3:149475573-149475722	chr3:149475723-149475872	chr3:149475873-149476022	chr3:149476023-149476172	chr3:149476173-149476322	chr3:149476323-149476472	chr3:149476473-149476592	chr3:149476593-149476622	chr3:149476623-149476772	chr3:149476773-149476832	chr3:149476833-149476922	chr3:149476923-149477072	chr3:149477073-149477102	chr3:149477103-149477222	chr3:149477223-149477372	chr3:149477373-149477522	chr3:149477523-149477672	chr3:149477673-149477822	chr3:149477823-149477922	chr3:149477923-149477972	chr3:149477973-149478082	chr3:149478083-149478122	chr3:149478123-149478202	chr3:149478203-149478272	chr3:149478273-149478412	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.4e9958ba-8dfc-4908-9654-b8c3286ec999.fc.signal	0.212046	0.506276	1.06288	1.20919	0.381827	0.0241061	0	0	0	0.497355	0.814505	0.301455	0.33786	1.64273	1.11695	1.40371	0.779415	0.668684	0.27198	0.0631917	0.17767	0.0629418	0.990654	0.343334	0.514904	0.671177	0.409067	0.396166	0.435967	0.285524	0.303623	0	0.402899	0.706113	0.873584	0.821591	1.11452	0	0	0	0.253103	0.51558	0.457614	0	0	0.682339
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003803.1.8e45d3eb-43c4-4932-8fdd-020c9df5cc1a.fc.signal	1.32925	1.27444	1.01515	1.95945	1.21621	1.21132	0.694387	0.251007	0.304587	0.5541	0.41002	0.572948	0.49502	0.329056	0.611879	0.873762	0.792251	1.29775	0.74035	0.526374	0.925691	1.83804	2.35537	1.11848	0.824721	0.711947	0.652452	0.472117	0.290397	0	0	0.578952	1.16664	0.671284	0.487668	0.647119	0.794584	0.227927	0	0	0	0	0	0.381504	0.91619	0.653101
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000953.7.b00cf993-6f93-4003-a85a-97af1e0480be.fc.signal	1.5431	0.393732	0	0.6617	0.767116	0.831386	0.699129	0.357722	0	0.482851	0.417267	0.0831787	0.460899	0.841577	0.657479	0.571341	1.08446	0.398184	1.32482	1.03326	1.19366	1.342	0.0420833	0	0.216778	2.06168	0.923256	0	0	0	0.726818	0.928303	0.739204	0.446303	0	0	0	0	0	0	0	0	0	0	0	0.387387
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001878.2.2adb5a51-51a2-4ead-ae64-2462116858bf.fc.signal	0	0	0	0	0	0	0	0	0	0.217615	0.56663	0.452044	0.0849945	0.566764	0.402577	1.00569	0.589303	0.298915	0.189098	0.359185	0.323215	0.0579669	0	0	0.0762707	0.132671	0	0	0	0	0	0.673764	1.06911	0.58085	0.00306227	0	0.27266	0.420668	0	0	0	0	0	0	0	0.626281
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003686.3.05f731d1-35d3-4327-ad52-34ab22707910.fc.signal	0.931112	0.438714	0.321486	0.316713	0.802278	0.91346	0.376483	0.331304	0.209871	0.0022068	0.304935	0.304369	0.007696	0	0	0	0	0.266166	0.525799	0.00912053	0	0.0954305	0.140765	0.295378	0.15302	0	0	0	0	0	0	0	0	0	0	0.0302579	0.296534	0.23166	0.265537	0	0.161468	0.42945	0.351612	0	0.332822	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003402.2.0fdc34e0-537d-401e-add6-faec819eca23.fc.signal	0.900197	0.452549	0.200324	0.179629	0.128453	0.280015	0.187406	0.0854503	0.206417	0.44068	0.499924	0.328457	0.778013	1.08799	0.965589	0.640662	0.786091	0.521048	1.60263	2.06832	1.58274	1.0844	0.62225	1.70795	1.42736	0.610417	1.02108	0.622704	0.381451	0.463404	0.992452	0.676431	0.239773	0.674046	0.721611	1.15555	1.52689	0.537994	0.257621	0.192882	0.249731	0.228466	0.158026	0	0.622782	0.205298
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003804.1.20346d72-f6d0-41f6-979d-2e29fa33f68f.fc.signal	0.227434	0.13158	0.172295	0.152124	0.0919952	0.0731456	0.0444972	0.120171	0.241252	0.0361385	0	0	0	0.0483337	0.038691	0.455731	0.177873	0.174239	0.373247	0.122971	0.520197	0.314743	0.201684	0.167082	0.144085	0.0271494	0.0889863	0.17765	0.117722	0	0.105236	0.134954	0.204671	0.154814	0.140434	0.0469316	0	0.129243	0.0714884	0	0.103031	0.209656	0.0791795	0.0395994	0.189733	0.364226
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000938.7.c3ad0c1d-7484-4ce6-b047-2ee6f2376f26.fc.signal	0.824418	0.195784	1.12086	0.800863	0	0	0	0.751869	0	0	0	1.53881	2.17847	0.706353	0.884748	0	0	0	0	0.95736	1.52891	0.300783	0	0.627811	1.9415	0.166416	3.14422	0.945291	0	0	0.48946	4.21286	2.28429	0.0897343	0	0	0	0	0	0	0	1.0804	1.30958	0.0374166	0.40072	0.367003
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001852.4.51e98f97-6119-4df6-b770-df4f0c759ed4.fc.signal	0.703882	0.657185	0.644489	0.580333	0.490992	0.3882	0.257295	0.693592	1.17453	0.763055	0.612658	0.556423	0.481613	0.576365	0.797673	1.16476	1.06138	0.611411	0.287571	0.581186	0.66105	0.60037	0.327381	0.638012	0.619724	0.66912	0.39554	0.300816	0.284147	0.174951	0.293006	0.658077	0.8185	0.787987	0.904138	0.663478	0.4618	0.581165	0.461004	0.511226	0.672335	0.827454	0.593603	0.573427	0.522351	0.725963
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003809.1.1724086a-5e6f-40e4-8774-8e9b5ce9aa91.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.430165
