	chr18:670576-670725	chr18:670726-670875	chr18:670876-671025	chr18:671026-671175	chr18:671176-671325	chr18:671326-671475	chr18:671476-671625	chr18:671626-671775	chr18:671776-671925	chr18:671926-672075	chr18:672076-672225	chr18:672226-672275	chr18:672276-672375	chr18:672376-672525	chr18:672526-672675	chr18:672676-672825	chr18:672826-672975	chr18:672976-673125	chr18:673126-673275	chr18:673276-673425	chr18:673426-673575	chr18:673576-673725	chr18:673726-673875	chr18:673876-674025	chr18:674026-674175	chr18:674176-674325	chr18:674326-674475	chr18:674476-674625	chr18:674626-674775	chr18:674776-674925	chr18:674926-675075	chr18:675076-675225	chr18:675226-675375	chr18:675376-675525	chr18:675526-675675	chr18:675676-675825	chr18:675826-675975	chr18:675976-676125	chr18:676126-676275	chr18:676276-676425	chr18:676426-676575	chr18:676576-676661	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000242.3.009dbb10-d8f5-4bd5-9bc6-e0cf283ece54.fc.signal	0	0.0390202	0.109107	0.0340668	0	0	0	0.0604255	0.339099	0.192791	0	0	0.260976	0.37823	0.0907735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113488	0.447062	0.35002	0.102871	0.233656	0.0993929	0.0890221	0.286492	0.275118	0.0797804	0	0.700565
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.4e9958ba-8dfc-4908-9654-b8c3286ec999.fc.signal	0.865991	0.744063	0.550203	0.356526	0.459433	0.233726	0.248177	1.09808	0.102738	0	0.116168	0.577487	0.614325	0.553949	0	0	0.143739	0.231019	0.148118	0.245446	0	0	0.928093	0.820118	0	0.276737	0.474631	0.267297	0	0	0	0.509726	0.811795	0.325012	0.567304	0.642187	0.140223	0.386507	0.523194	0.0367405	0	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000943.7.b97e43e6-4dfc-4f07-88bb-76ebefe1ddac.fc.signal	0.503867	0.784842	0.340097	0.251726	0.120724	0.430424	0.369143	0.297192	0.322828	0	0.294841	0.560196	0.915137	1.02065	0.477079	0.572134	0.575848	0.986907	0.490128	0.102568	0.358573	0.120992	0.31668	0.336756	0.136386	0	0.353687	0.0974727	0.0383205	0.239537	0.752924	0.77507	0.553433	0.669616	0.334617	0.454447	0.349649	0.318011	1.0634	0.539676	1.39811	0.275462	0.485149
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003803.1.8e45d3eb-43c4-4932-8fdd-020c9df5cc1a.fc.signal	0	0.380208	0.230492	0.0302024	0.47688	0.500569	0.840459	1.0331	0.375145	0.589737	0.504965	0.307747	0.47266	0.360438	0.194416	0.326405	0.311421	0.194535	0	0.138836	0.327932	0	0	0	0	0	0	0.0347699	0.489175	0.57082	0.42039	0.44943	0.299566	0.0780349	0	0	0.099227	0.875424	1.04356	1.13558	0.28858	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000315.2.cbd9af2b-c3c4-4f68-a646-ded8b3575bf4.fc.signal	0	0	0.739226	0.971803	0.283996	0.358583	0.613137	0.40783	0	0	0.0738837	0.399236	0.649986	0.482692	0	0.193738	0.175922	0	0.31179	0.853216	0.438217	0.456392	0.0977968	0	0	0	0.295052	0.244018	0	0	0.203145	0.314723	0	0	0.350256	0.282442	0	0	0	0	0	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000237.3.206f09d2-76dd-4938-b45e-439de4017881.fc.signal	0.591874	0.523158	0.253336	0.0240309	0	0.0184513	0.171019	0.526437	0.582422	0.356525	0.124009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221141	0.772677	1.04765	0.386377	0.0398073	0.468446	1.41391	1.24677	0.499091	0.265453	0.460915	0.327484	0.940731	1.44489	0.788411	0.197864	0.274194
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003822.3.92277bf1-d852-4798-9042-40cf7998125a.fc.signal	0.302326	0.0995957	0.00298313	0.276978	0.230263	0.215188	0.152512	0.186135	0.00819287	0.103607	0.133381	0.21794	0.315098	0.183117	0.0061062	0	0.100598	0.140702	0.263198	0.178601	0.19217	0.124208	0	0	0.0371279	0.228955	0.047468	0.169303	0.192074	0.29854	0.447821	0.247147	0.182257	0.246728	0.251182	0.144268	0.0853603	0.0081132	0.211204	0.27328	0.160972	0.0232044	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003404.1.4a84d1a8-94ea-4ca8-9f07-6c2b2d20f0f2.fc.signal	2.09748	1.0468	0.927398	0.429372	0	0.419728	0.380547	0.335536	0.161084	0.0223547	0.361459	0.173139	0.420231	1.08926	0.594937	1.17153	0.836992	1.24139	0.886182	1.08805	1.08761	0.149869	0.228744	0.42056	0.507078	0.0951141	0.076812	0.998644	0.386835	0.553557	0.801294	1.60957	2.02116	1.11589	0.0438399	0	0.398105	0.671052	0.513767	1.38172	0.422163	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004616.1.bed78e40-f7b3-4ebb-ad62-e7d9c6963ec8.fc.signal	0.30938	0.197473	0.333622	1.16206	0.837875	0.78575	0.352174	0.233559	0.285446	0.377188	0.188722	0.0734854	0.204329	0.314284	0.541345	0.972803	0.467312	0.186339	0.414011	0.380729	0.716769	0.593296	0.286777	0.689392	0.727506	0.997113	0.774711	0.760813	0.60369	0.0149044	0.13197	0.642419	1.14414	0.873486	0.588704	0.304301	0.241418	0.589737	0.633609	0.53832	0.462056	0.445953	0.374312
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003806.1.047c2416-3a22-4cd4-965c-493225f5ed12.fc.signal	0.0624159	0.100367	0.228761	0.516754	0.347966	0.171883	0.0416416	0	0	0.0194497	0.187157	0.444051	0.437455	0.116531	0.290261	0.263605	0.145047	0.304498	0.223902	0.163117	0.383297	0.422275	0	0	0	0.0421825	0.372743	0.35221	0	0.124307	0.0694486	0.0996699	0.326422	0.0346891	0	0.0346237	0.323547	0.598943	0.22826	0.773774	0.888416	0.312519	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003826.4.87afad01-d436-4b9f-ad87-b00cd4a79273.fc.signal	0.0077574	0.181638	0.363222	0.066132	0.344298	0.437676	0.202553	0.0860485	0.362292	0.485419	0.376431	0.596473	0.421399	0.0464137	0.115609	0.0510969	0	0	0.0784327	0.282885	0.387407	0.0436589	0	0.376535	0.267676	0.290227	0	0.407202	0.467154	0.0413883	0.005222	0.624375	0.410407	0.0879542	0.114082	0.132734	0	0	0.183143	0.119113	0	0	0.892157
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000194.3.1917ab06-c482-4280-95d3-df299df1fb8d.fc.signal	0.580587	1.13806	0.384677	0	0	0	0.630468	2.16004	0.416657	0	0	0	0.402952	1.32496	1.82013	0.520822	0	0.143989	0.755436	0.484261	0.0982014	0	0	0	0.198398	0.77649	0.023806	0	0	0.249362	1.15682	0.11308	0	0	0	0	0.148023	0.763465	0.0848516	0	0	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001235.5.85b1d8ad-328c-45c6-9e3b-50e5e5e241e1.fc.signal	1.09695	2.05154	0.452932	0	0	0.11716	0.721605	0.726565	0.280311	0.0789533	0	0	0.65969	1.09463	0.530254	0.413025	0.0009956	0.415766	0.122429	0.0135431	0	0	0.0480513	0.215382	0	0	0	0.0786414	0.482683	0.159572	0	0.288348	0.961972	0.586775	0.0980945	0.292499	1.26345	0.235361	0.174486	0.477412	0.293058	0.160557	0.209091
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001952.2.c1b4ffc0-5671-47c4-baaa-5f1958b2a0b4.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116389	0.124053	0.235268	0.291918	0.116478	0.194733	0	0	0	0	0.118391	0.0443894	0.183737	0.0184355	0	0	0.454545
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000241.3.952d10ed-db3c-403d-b33a-97f5002e56ff.fc.signal	0.270719	0.234783	0.111542	0.0420207	0.00103947	0.118204	0.290127	0.160208	0.0439021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.107269	0.900626	0.908756	0.216407	0	0.566215	0.793071	0.10793	0	0	0	0	0	0	0	0	0.15873
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000188.3.aa79dbf5-f75e-4ba3-9aec-59cbc9a2028b.fc.signal	0.223506	0	0	0.0319544	0.304842	0	0.414095	0.495296	0.0679037	0.424828	0.260083	0.59915	0.700313	0.455353	0	0.30956	0.221685	0	0	0	0.0175187	0.639431	0	0.255459	0.790208	0.19232	0	0	0	0	0.0918689	0.482012	0	0.943802	0.129815	0	0	0	0.0319547	0.594169	0	0	0.971698
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001017.4.ee61f45f-7dde-4017-8f76-95a89e2d408d.fc.signal	0.76959	0.913929	0.27318	0.256125	0.366118	0.156656	0.825781	0.858187	0.127617	0.206881	0	0.0061902	0.40326	0.685984	0.358657	0.92645	0.46655	0.35802	0.318348	0.356827	0.625288	0.344703	0.527854	0.281193	0.256527	0.316465	0.602204	0.62402	0.719587	0.838597	0.547509	0.209981	0.446561	0.253802	0.388708	0.515003	0.443232	0.437093	0.672996	1.12538	0.791789	0.513118	0.361905
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000014.2.9c3ec4b2-7073-4306-8028-2374ba66f5d2.fc.signal	0	0	0.186347	0.675445	0	0	0	0	0	0	0	0	0	0	0	0.10911	1.39753	1.09104	0.368897	1.09623	1.04429	0.348114	0	0.319851	0.201869	0	0	0	0.214331	0.374382	0.450742	0.60622	0.286293	0.0797888	0	0	0	0	0	0	0.628684	0.489366	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.e0246cbf-2d49-4bee-a25f-b1967eaad820.fc.signal	0.336683	0.412177	0.0261014	0.0649643	0.221416	0.383459	0.190625	0	0	0.0926615	0.181194	0.132149	0.10803	0	0	0.136174	0.09692	0.255961	0.0851115	0.338889	0.0115536	0	0	0.122016	0.216975	0.0642538	0.0679955	0	0	0.282745	0.267752	0.134848	0.131062	0.115593	0.143251	0	0.155967	0.194018	0.334799	0.194219	0.161838	0.174752	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003835.4.223aa04f-e316-48e4-abf6-e6d88a4e9390.fc.signal	0	0	0	0	0	0	0	0	0	0.20257	0.21086	0.566192	0.647486	0.0520813	0.243031	0.416439	0	0.00702133	0.228152	0.0630892	0	0	0	0	0.073099	0.252275	0	0	0	0	0	0	0	0	0	0	0	0.117391	0.158387	0.145211	0.143475	0.187648	1
