	chr6:31718453-31718602	chr6:31718603-31718752	chr6:31718753-31718902	chr6:31718903-31719052	chr6:31719053-31719202	chr6:31719203-31719352	chr6:31719353-31719412	chr6:31719413-31719502	chr6:31719503-31719652	chr6:31719653-31719802	chr6:31719803-31719892	chr6:31719893-31719952	chr6:31719953-31720042	chr6:31720043-31720102	chr6:31720103-31720162	chr6:31720163-31720252	chr6:31720253-31720402	chr6:31720403-31720552	chr6:31720553-31720702	chr6:31720703-31720852	chr6:31720853-31720982	chr6:31720983-31721002	chr6:31721003-31721102	chr6:31721103-31721152	chr6:31721153-31721302	chr6:31721303-31721452	chr6:31721453-31721602	chr6:31721603-31721752	chr6:31721753-31721832	chr6:31721833-31721902	chr6:31721903-31721942	chr6:31721943-31722052	chr6:31722053-31722202	chr6:31722203-31722352	chr6:31722353-31722502	chr6:31722503-31722572	chr6:31722573-31722652	chr6:31722653-31722742	chr6:31722743-31722802	chr6:31722803-31722922	chr6:31722923-31722952	chr6:31722953-31723102	chr6:31723103-31723252	chr6:31723253-31723322	chr6:31723323-31723402	chr6:31723403-31723552	chr6:31723553-31723563	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000227.3.782837e5-53f4-4f13-8ca3-175155d9e819.fc.signal	0.0644339	0	0	0	0	0.0207409	0.112101	0.157547	0.0757517	0	0.0633206	0.230661	0.406662	0.360847	0.206332	0.0620893	0	0	0	0	0	0	0	0.04536	0.081	0.06156	0.125429	0.224995	0.142619	0.0874449	0	0.0508439	0.143387	0.0965899	0.0230257	0	0.0497864	0.137288	0.314467	0.271409	0.163936	0.122826	0.150799	0.110993	0.194193	0.246133	0.10662	0.848101
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001965.2.ef4e5ad4-caa2-424f-9bf2-7145353fa420.fc.signal	0.31503	0	0.0905389	0.127174	0.171837	0.122685	0.014682	0	0.12166	0.302313	0.129173	0.148417	0.614138	0.588275	0.583704	0.126757	0.0313216	0.0756635	0.353045	0.114145	0.2702	0.39139	0.407002	0.277849	0.439882	0.495692	0.66786	1.04028	1.08346	1.19355	1.41608	1.25655	1.03582	0.803795	0.742017	0.919693	0.644372	0.560894	0.575591	0.34466	0.345303	0.724354	0.696576	0.142566	0.664023	1.29007	0.983126	0.200916
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003826.4.87afad01-d436-4b9f-ad87-b00cd4a79273.fc.signal	0.311115	0.137787	0.211234	0.321695	0.281561	0.295273	0.405928	0.22609	0.006566	0.085358	0.231556	0.305156	0.416023	0.77528	0.891502	0.443259	0.310884	0.0975326	0.431842	0.269329	0.481577	0.760541	0.8311	0.689221	0.87731	1.09501	0.172868	0.528363	0.67811	0.335619	0.172348	0.13147	0.107464	0.055811	0	0	0	0	0	0	0	0.480279	0.176126	0	0	0	0	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001235.5.85b1d8ad-328c-45c6-9e3b-50e5e5e241e1.fc.signal	0.232292	0.249526	0.565274	0.426596	0.441834	0.382553	0.660996	0.530807	0.20021	0.348131	0.297982	0.153175	0.596805	0.952415	0.499287	0.646496	0.98145	0.256426	0.126867	0.224563	0.333204	0.222659	0.409136	0.368404	0.507594	0.246942	0.230504	0.243358	0.385345	0.699711	0.670013	0.736727	0.43323	0.649762	1.27277	0.548383	0.38903	0.180124	0.299059	0.176232	0.186162	0.700177	0.667355	0.159342	0.229863	0.529971	0.633664	0.495413
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003835.4.223aa04f-e316-48e4-abf6-e6d88a4e9390.fc.signal	0.566603	0.365707	0.173454	0.165529	0.0340093	0.262177	0.0396608	0	0.107387	0.258704	0.00203389	0.351253	0.346292	0.527111	0.534079	0.368997	0.245015	0.34168	0.378057	0.142775	0	0	0.0452346	0.348411	0.212332	0	0.386873	0.34539	0	0.240574	0.36609	0.212998	0.0397746	0.18074	0	0	0.0251691	0.36609	0.332532	0.70328	1.09845	0.637078	0.0451511	0	0	0.169622	0.36609	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.6941f4c2-9444-41d7-82bb-38a8112f3f75.fc.signal	0.377989	0.662811	0.804076	0.658256	0.773827	0.677988	0.405661	0.3109	0.234065	0.396857	0.598562	0.592969	0.345365	0.217014	0.246751	0.331576	0.521422	0.633015	0.489575	0.309871	0.175554	0.063997	0.220337	0.290705	0.330802	0.269491	0.29143	0.312111	0.445717	0.618978	0.62007	0.552443	0.238243	0.219619	0.367412	0.325545	0.321669	0.174869	0.242853	0.347512	0.700204	0.832088	0.836139	0.365415	0.164708	0.0160229	0.07753	0.231405
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003838.5.b61c4709-ddec-4f74-8351-f61eb4c7615d.fc.signal	0.68945	0.535899	0.482953	0.273127	0.296099	0.133493	0.134282	0.17856	0.511545	0.733138	0.560754	0.25987	0.400505	0.344227	0.163593	0.0535423	0.263734	0.501792	0.431216	0.643131	0.586758	0.401456	0.333213	0.332588	0.282801	0.254188	0.20144	0.354991	0.408352	0.0179131	0	0	0	0.653673	0.435784	0	0.34278	0.300658	0	0	0.0302683	0.284517	0.142167	0.204959	0.23609	0.428874	0.40157	0.0418535
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000974.7.795c5285-fcfe-49fc-86bb-822787a24420.fc.signal	0.096061	0.459866	0.611738	0.646601	0.832294	0.476888	0.73987	1.09243	1.3105	0.0837095	0.388996	0.439573	0.745743	1.71703	1.26769	0.518874	0.466439	0.315859	0.0370999	0.378509	1.16544	1.87654	1.88114	0.537869	0.856545	0.726816	0.786039	1.2203	0.38031	1.04781	0.841654	0.76133	0.886954	0.747757	0.625114	0.718258	0.255364	0.188391	0.644594	0.911578	0.468014	0.292859	0	0.0268991	0.766733	0.847534	0.70496	0.111235
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.1ce7f4a0-1e00-4296-ade7-a069012950ee.fc.signal	0.538587	0.495153	1.21005	0	1.07844	1.42627	0.463881	0	0	0.129899	0.442596	0.392334	0.957571	0.757645	0.448082	0.216794	0.390534	0.45574	0.345116	0.577464	0.380246	0.612	0.69507	0.434971	0.690258	1.05471	0.123545	0.0364943	0.215004	0.382028	0.298784	0.15796	0.577698	0	0.152116	0.544036	0.121471	0	0.478051	0.603537	0.543383	0.621466	0.660011	2.45345	1.15239	0.987871	0.680365	0.137143
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003833.4.78bd51d0-e8cc-413f-86cc-b957d9057e5e.fc.signal	1.10137	0.796137	1.05304	0.357921	0.351659	0.267667	0.15094	0.125783	0.537337	0.581612	0.365167	0.189827	0.344231	0.412012	0.429995	0.783344	1.00993	0.391385	0.49608	0.837204	1.15062	0.875442	0.493565	0.150556	0.351299	0.869507	0.79801	0.639451	0.348686	0.296513	0.331094	0.507682	0.976656	1.04551	0.30252	0.15094	0.143393	0.132492	0.261629	0.350456	0.464739	0.472771	0.0845264	0	0	0	0	1
