	chr15:43257552-43257651	chr15:43257652-43257701	chr15:43257702-43257741	chr15:43257742-43257851	chr15:43257852-43257951	chr15:43257952-43258001	chr15:43258002-43258151	chr15:43258152-43258241	chr15:43258242-43258301	chr15:43258302-43258351	chr15:43258352-43258411	chr15:43258412-43258451	chr15:43258452-43258601	chr15:43258602-43258751	chr15:43258752-43258901	chr15:43258902-43258941	chr15:43258942-43259051	chr15:43259052-43259201	chr15:43259202-43259281	chr15:43259282-43259351	chr15:43259352-43259501	chr15:43259502-43259651	chr15:43259652-43259731	chr15:43259732-43259801	chr15:43259802-43259951	chr15:43259952-43260101	chr15:43260102-43260171	chr15:43260172-43260251	chr15:43260252-43260401	chr15:43260402-43260461	chr15:43260462-43260551	chr15:43260552-43260701	chr15:43260702-43260771	chr15:43260772-43260851	chr15:43260852-43260941	chr15:43260942-43261001	chr15:43261002-43261121	chr15:43261122-43261151	chr15:43261152-43261301	chr15:43261302-43261361	chr15:43261362-43261451	chr15:43261452-43261511	chr15:43261512-43261601	chr15:43261602-43261751	chr15:43261752-43261901	chr15:43261902-43262011	chr15:43262012-43262051	chr15:43262052-43262131	chr15:43262132-43262201	chr15:43262202-43262241	chr15:43262242-43262351	chr15:43262352-43262441	chr15:43262442-43262501	chr15:43262502-43262651	chr15:43262652-43262797	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.993ec17f-4277-433d-a284-3906706ac1fe.fc.signal	0.639464	0.081116	0	0	0	0	0	0	0.219418	0.559697	0.56524	1.38493	2.29276	2.82197	2.17933	2.86029	1.37157	1.2309	1.7605	0.403289	0.198703	0.768049	0.10482	0.164161	0.431168	0.917773	0.901805	0.556244	1.31773	1.71792	1.07829	0.265509	0.658066	0.887503	0.510761	0.284155	0.403592	0.46352	0.256218	0.426656	0.861468	0.988024	1.60812	1.3046	0.434085	0.808493	0.701009	0.956203	1.74212	2.26549	2.02475	0.83237	0.708167	0.285486	0.0833384	0.162162
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000227.3.782837e5-53f4-4f13-8ca3-175155d9e819.fc.signal	0.137742	0	0.0657048	0.438971	0.498342	0.337651	0.217342	0.315902	0.196234	0.17165	0.197265	0.346024	0.388927	0.345813	0.28634	0.146217	0.106288	0.107349	0.114578	0.00958414	0.231747	0.519318	0.38048	0.211383	0.203708	0.239306	0.172255	0.203385	0.314201	0.365397	0.347428	0.474226	0.437946	0.263049	0.316195	0.494672	0.302705	0.224737	0.238562	0.455296	0.679266	0.854804	1.60623	1.47351	0.573979	1.04396	1.59395	1.3446	1.33519	1.18019	0.589858	0.754185	0.643041	0.635944	0.565296	0.676856
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000221.3.c3b55191-0fbe-42ec-a1e0-0d7c8c410fde.fc.signal	0	0	0	0	0	0.473762	0.748638	0.343361	0	0	0	0.144622	0.252097	0.457535	0.530285	0.567638	1.18792	1.18612	0.113863	0	0	0	0.727436	1.00336	1.59183	1.67265	1.82683	1.57412	0.99072	0.774804	0.658014	0.378221	0	0.314158	0.404913	0.553531	0.414453	0.323964	0.14972	0.292749	0.391913	0.50063	0.0742762	0	0	0.0614435	0.51114	0.527142	0.954439	0.735728	0.468542	0.704232	2.91293	3.70244	2.17497	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004681.3.e25da2b0-3beb-48b5-b4cb-d2ae704a33b2.fc.signal	0.355724	0	0	0.319942	0.56763	0.768134	0.548704	0.332192	0.715774	0.77189	1.31543	1.77516	1.68134	0.890948	0.632019	0.607348	0.465724	0.404288	0.689426	0.899403	0.508582	0.369639	0.51533	0.850346	0.914523	1.13401	0.714071	0.272352	0.577388	0.553301	0.922219	1.18813	1.14053	0.770979	0.376317	0.309026	0.211314	0.37837	0.431387	0.8703	1.24869	1.24674	0.961502	0.723799	1.00095	0.799908	0.880073	0.371318	0.276697	0.168205	0.423264	0.902246	1.0264	1.16104	0.897341	0.974138
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001892.4.902ae139-ccdf-4a1c-a16a-ec321c33c554.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0.275198	1.7489	1.15486	1.57826	1.28583	0.833604	0.867444	0.871626	0.785377	0.280278	0.580571	1.72844	1.85281	1.08886	0.837171	0	0	0.540399	0.757107	2.29624	2.19575	0.74378	0.120566	1.64718	1.80061	0.365323	0	0	0	0	0	1.02894	2.15471	1.57651	0.314524	0	0.480767	0.686033	1.20715	1.19966	0.940407	0.884369	1.25461	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000343.2.5a78c0ce-4eae-417e-ab07-38cf2f39807a.fc.signal	0	0	0	0	0	0	0.369829	0.786277	0.488207	0.358483	0.936322	1.51296	1.00463	0.536117	0.790088	0.545719	0.533662	0.658463	0.700338	0.51577	0.156357	0.840951	0.878666	0.904489	1.17362	1.18953	1.54604	1.05121	0.577729	0.436639	0.259182	0.494191	0.71398	0.756389	0.642627	0.328231	0.158763	0.16054	0.262334	0.31721	0.700221	0.712333	0.562059	0.528757	0.554028	0.470687	0.371542	0.586877	1.09638	1.23875	0.91911	0.293703	0.0793672	0.0361206	0.268605	0.145161
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000224.3.2f10d695-5b3b-470a-a2e2-55996404a85c.fc.signal	0	0	0	0	0.259898	0.29893	0.246781	0	0.024975	0.11764	0.343805	0.693969	0.853685	0.849838	1.0042	1.13936	1.28761	1.00738	0.355763	0.337046	0	0	0	0	0.0296163	0.208038	0.178394	0.0709718	0.000499533	0.162943	0.266876	0.489765	0.720422	0.830774	0.736771	0.407422	0.345642	1.33445	1.78391	1.72868	1.07281	0.947929	1.77771	2.08596	0.872104	0.65334	1.17753	1.17636	1.15153	0.740107	0.550653	0.746348	1.07534	1.28154	1.63868	0.850932
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.1ce7f4a0-1e00-4296-ade7-a069012950ee.fc.signal	0.977844	0.289076	0	0	0	0	0.0509439	0.69606	0.346008	0	0.645228	0.72221	0.435912	1.05818	0.932103	0.626176	1.07617	0.707805	0	0	0	0	0	0.665633	1.55659	1.49563	0.924968	0.18805	0.50735	0.21811	0.664135	0.632885	1.58997	1.41624	0.567099	0.622229	0.373147	0	0	0	0	0.762579	2.19412	4.04556	2.22323	0.0760405	0	0.334662	0.349026	0	0	0.267799	1.13027	0.781253	0	0.432056
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000223.3.87bd77ec-3829-4467-a200-aa2df0091de8.fc.signal	0	0	0	0.00577	0.113095	0.127964	0.0992608	0.0385573	0.162427	0.416332	0.675793	0.747763	0.671593	0.309691	0.290169	0.340244	0.54403	0.768408	0.668921	0.359178	0.0820821	0	0.0189115	0.218428	0.467264	0.562552	0.499138	0.394616	0.261414	0.308791	0.376196	0.318617	0.25153	0.270218	0.260799	0.194022	0.0817379	0.125134	0.259812	0.308851	0.359998	0.336995	0.377457	0.274331	0.247778	0.368193	0.887457	0.898903	0.854821	0.765107	0.31551	0.504889	0.7114	0.415481	0.0740925	0.751953
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000225.3.dc192ce6-d2cc-4825-bd44-c239ac36948f.fc.signal	0.422927	0.405156	0.408494	0.332398	0.279431	0.282091	0.0132814	0.06441	0.293524	0.180972	0.22633	0.401655	0.858519	0.477855	0.276063	0.367672	0.638913	0.682352	0.18432	0.0804776	0.116851	0.682737	0.688172	0.692408	0.666324	1.01667	1.065	1.35193	1.1686	0.422342	0.571506	1.0504	0.894464	0.604753	0.94426	1.09544	1.10128	1.10631	0.9883	0.55426	0.74178	1.22659	1.80931	1.28051	1.08868	1.16173	1.44474	1.3261	1.33509	0.966043	0.744029	0.420259	0.811379	0.937381	0.510019	0.808696
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000051.3.b5dcae1f-81a5-4254-851d-508582dc78ce.fc.signal	0.256602	0.373492	0.347695	0	0	0	0	0.211096	0.23219	0.733304	0.469733	0.4336	0.351936	1.59228	0.666719	0.555201	0.446677	0.0985517	0.206067	0.230256	0.100162	0.34233	0.0676212	0	0.433162	0.585029	0.402551	0.193494	1.16964	1.46503	0.604189	1.43087	0.512882	0	0	0.076106	0.404849	0.388849	0.0117972	0.473686	0.913122	1.58881	1.50502	1.67601	0.915551	0.888709	0.719773	0.396376	0.886295	1.29638	1.1659	0.78194	0.912864	0.36713	0.234162	0.0310559
