	chr5:179835385-179835444	chr5:179835445-179835534	chr5:179835535-179835684	chr5:179835685-179835834	chr5:179835835-179835984	chr5:179835985-179836034	chr5:179836035-179836134	chr5:179836135-179836284	chr5:179836285-179836434	chr5:179836435-179836584	chr5:179836585-179836734	chr5:179836735-179836884	chr5:179836885-179837034	chr5:179837035-179837184	chr5:179837185-179837334	chr5:179837335-179837484	chr5:179837485-179837634	chr5:179837635-179837784	chr5:179837785-179837934	chr5:179837935-179838084	chr5:179838085-179838234	chr5:179838235-179838384	chr5:179838385-179838534	chr5:179838535-179838684	chr5:179838685-179838834	chr5:179838835-179838984	chr5:179838985-179839134	chr5:179839135-179839284	chr5:179839285-179839434	chr5:179839435-179839584	chr5:179839585-179839734	chr5:179839735-179839884	chr5:179839885-179840034	chr5:179840035-179840184	chr5:179840185-179840334	chr5:179840335-179840484	chr5:179840485-179840634	chr5:179840635-179840784	chr5:179840785-179840934	chr5:179840935-179841084	chr5:179841085-179841234	chr5:179841235-179841384	chr5:179841385-179841534	chr5:179841535-179841684	chr5:179841685-179841834	chr5:179841835-179841984	chr5:179841985-179842134	chr5:179842135-179842284	chr5:179842285-179842434	chr5:179842435-179842584	chr5:179842585-179842734	chr5:179842735-179842884	chr5:179842885-179843034	chr5:179843035-179843184	chr5:179843185-179843334	chr5:179843335-179843372	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001457.1.b29ef53b-7262-43e2-ab26-84dcd5c07165.fc.signal	0	0	0	0	0	0	0.402808	0.383627	0	0	0	0	0	0	0	0.194894	0.161773	0.351218	0.506714	0.360194	0.390594	0.0187866	0	0.0805616	1.11268	0.111252	0	0	0.492685	0.0511415	0	0	0.325495	0.398409	0.75196	0.928481	0.709749	0.454435	0.732064	0	0	0	0.441529	0.485786	0.397478	0.200393	0.548586	0.31841	0.437334	0	0	0	0.0882341	0.413802	0.163627	0.510224	0.466321
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001375.1.3bc522e1-a1c6-492a-9fb9-e63c8afd2709.fc.signal	0	0	0	0	0	0	0	0.178829	0.288624	0.132253	0.240909	0.177199	0.0330039	0	0.0243575	0.271014	0.477974	0.519824	0.539649	0.656386	0.561255	0.507233	0.039648	0	0	0	0	0.019824	0.588104	0.229075	0.337841	0.392686	0	0.235685	0.843611	0.176211	0	0	0.110133	0.374452	0.3304	0.290752	0.196223	0.331441	0.633554	0.231369	0.47445	0.284655	0.237591	0	0.26432	0.154187	0	0.167403	0.856857	0.908337	0.69589
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000980.8.368c97f7-f82d-4e9f-a521-00182447a421.fc.signal	0	0	0	0	0	0	0	0	0.198036	0.608051	0.198698	0	0.194235	0.426002	0.269344	0.176889	0.439117	0.200622	0	0	0.19544	0.644456	0.151799	0	0.107972	0.458735	0.0303467	0.197761	0.227855	0	0	0	0	0	0	0	0	0.100704	0.258435	0	0	0.270149	0.24685	0	0.118527	0.665088	0.253355	0	0	0	0	0	0	0	0	0	0.216312
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003818.1.d9959e98-a5a9-490f-a9f0-358a1a711d27.fc.signal	0	0	0	0	0	0	0.270101	0.552039	0.0197907	1.01106	1.26042	1.26437	0.223591	0	0	0.136618	0.179097	0.366327	0.248496	0	0.0831059	0.59358	0.0751915	0.162283	0.213739	0.191969	0.184053	0.15434	0.575135	0.0205935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182408	0.290076	0.245404	0	0	0	0.503268
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.993ec17f-4277-433d-a284-3906706ac1fe.fc.signal	0	0	0.48241	0.120169	0	0	0	0	0	0	0	0	0.671973	0.42883	0.355507	0	0.091683	0.497544	0.31585	0.149954	0.499313	0.295622	0.0140463	0.465156	0.0667063	0	0	0	0	0	0.120205	0.284241	0.211261	0	0.106349	0.225319	0	0.011552	0.407237	0.429045	0.123608	0	0.330811	0.11266	0	0	0	0.136994	0.224738	0	0	0.137957	0.346112	0	0	0	0.201863
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003816.1.4569d4d8-c896-418a-b870-e7afcf72b7d3.fc.signal	0	0.0471756	0.205214	0.499589	0.0877465	0	0	0.114637	0.235182	0.202503	0.169971	0.440058	0.0381399	0	0	0	0.0289009	0.214064	0.0211018	0.0655281	0.265102	0	0.00538487	0.201495	0.051055	0	0.125959	0.198137	0.0839653	0	0.152849	0.467038	0.200968	0	0	0	0.336606	0.366547	0.0611885	0	0	0	0.007274	0.240617	0.169845	0.0568061	0.296301	0.648482	0.384049	0	0	0.281638	0.42458	0.133035	0.390934	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000242.3.009dbb10-d8f5-4bd5-9bc6-e0cf283ece54.fc.signal	0	0	0	0	0	0	0.0317832	0.0921271	0.17008	0.154952	0.0881162	0.101	0.167921	0.1925	0.0872844	0.0232719	0.0542861	0.0363253	0.0842871	0.114022	0.0616949	0.122086	0.151826	0.167677	0.216549	0.150051	0.102791	0.0519953	0.0898379	0.0845053	0.0776397	0.107597	0.164574	0.0464151	0	0	0.0363535	0.105489	0.1066	0.090929	0.182607	0.225019	0.141306	0.122919	0.123006	0.13184	0.072293	0.0600885	0.0380991	0.0727781	0.0554311	0.0988659	0.0583569	0	0	0.0319763	0.821538
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000290.2.e8dc7448-dc97-4057-a492-978243fe4033.fc.signal	0	0	0	0	0.156028	0.45008	0.90016	0.384068	0	0	0	0	0	0.205584	0.379406	0	0	0	0	0	0	0	0	0	0	0	0	0.189034	0.442997	0.00491133	0	0	0	0	0	0	0	0.107071	0.494328	0.226697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.874704
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001908.1.4025739e-d017-417d-bd1b-2254ef9d0cdc.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100485	0.204743	0.112333	0.0377913	0.107519	0.0364008	0	0.0391361	0.260371	0.0391361	0.206229	0.199655	0.0923803	0	0	0.161256	0.184432	0.292199	0.195106	0.0947359	0.193008	0.647826	0.303439	0.251354	0.0528867	0	0	0	0	0.751724
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001546.1.9b1c722f-92a9-4c08-873d-1b0b5f7b7e5c.fc.signal	0	0	0	0.702803	0.15674	0	0	0	0	0	0	0.841111	0.793872	0	0	0	0	0.249946	0.393958	0.333853	0.007615	0	0	0	0	0	0	0	0.22084	0.415778	0	0	0	0	0	0	0	0.15915	0.327755	0	0	0.449319	0.560516	0.576858	0.593708	0.525838	0	0	0	0	0	0	0	0	0	0	0.284848
