	chr16:31459695-31459844	chr16:31459845-31459994	chr16:31459995-31460144	chr16:31460145-31460294	chr16:31460295-31460444	chr16:31460445-31460594	chr16:31460595-31460744	chr16:31460745-31460894	chr16:31460895-31461044	chr16:31461045-31461194	chr16:31461195-31461344	chr16:31461345-31461494	chr16:31461495-31461644	chr16:31461645-31461794	chr16:31461795-31461944	chr16:31461945-31462094	chr16:31462095-31462244	chr16:31462245-31462394	chr16:31462395-31462544	chr16:31462545-31462694	chr16:31462695-31462844	chr16:31462845-31462994	chr16:31462995-31463144	chr16:31463145-31463294	chr16:31463295-31463444	chr16:31463445-31463594	chr16:31463595-31463744	chr16:31463745-31463894	chr16:31463895-31464044	chr16:31464045-31464194	chr16:31464195-31464344	chr16:31464345-31464494	chr16:31464495-31464644	chr16:31464645-31464794	chr16:31464795-31464944	chr16:31464945-31465094	chr16:31465095-31465244	chr16:31465245-31465272	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001457.1.b29ef53b-7262-43e2-ab26-84dcd5c07165.fc.signal	0	0.243859	0.376575	0.306171	0.259477	0	0	0	0.103848	0.44031	0.342778	0.260373	0	0.0876717	0.27658	0	0	0.0250488	0.403331	0.160731	0.370641	0	0.225347	0.509773	0.89078	0.0915884	0.186823	0.868173	0.420448	0	0	0.156096	0.773457	0.585845	0.354751	0	0.238479	0.496367	0.705882
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001375.1.3bc522e1-a1c6-492a-9fb9-e63c8afd2709.fc.signal	0.136565	0.281941	0	0	0.40969	0.847765	0.266768	0	0.0933958	0.625773	0.516798	0.28209	0.0125375	0.27109	0.536839	0.813213	0.365229	0.0543086	0.262412	0.0017674	0	0.244107	0.167403	0	0	0.013216	0.3304	0.197194	0.847483	0.258555	0	0.0514926	0.671226	0.504711	0.513216	0.45141	0.0561792	0	0.861314
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000980.8.368c97f7-f82d-4e9f-a521-00182447a421.fc.signal	0	0	0	0	0.0549927	0.241054	0.117426	0.613264	0.132295	0	0.392843	0.416571	0	0.294639	0.511434	0.552967	0.354268	0.465583	0.245516	0.128759	0.272559	0.144143	0	0	0	0	0	0	0	0	0	0.189601	0.542409	1.04035	0.420959	0.309044	0.183211	0	0.391204
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003818.1.d9959e98-a5a9-490f-a9f0-358a1a711d27.fc.signal	0	0.331257	0.350903	0.396464	0.299716	0.205184	0	0	0	0	0	0.189985	0.504564	1.09422	1.02432	0.26099	0.930637	1.09419	0.0197907	0	1.46188	1.83958	0.354274	0	0.0868977	0.536541	0.444151	0.269784	0	0.296085	0.79154	0.829286	1.28216	0.67273	1.42357	0.170188	0.975466	1.18715	0.298077
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.993ec17f-4277-433d-a284-3906706ac1fe.fc.signal	0	0	0	0	0	0	0	0	0	0	0.0396557	0.248752	0.0081116	0.252867	0.41549	0.464075	0.048117	0.630342	0.748214	0.827038	0.156131	0.570647	0.429028	0.490332	0.0650547	0	0	0	0.172359	0.470989	0.312746	1.32947	2.24186	0.264324	0	0.71309	0.729935	0.59422	0.808664
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003816.1.4569d4d8-c896-418a-b870-e7afcf72b7d3.fc.signal	0	0.184156	0.540746	0.497775	0.608479	0.126297	0	0	0	0.164457	0.0917763	0.0872999	0.253268	0.0257472	0	0.170989	0.195437	0	0.283155	0.454478	0.151823	0.218961	0	0	0	0	0	0.00738353	0.591127	0.114742	0	0	0	0	0.314159	1.15509	0.113864	0	0.523686
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000242.3.009dbb10-d8f5-4bd5-9bc6-e0cf283ece54.fc.signal	0.0445282	0.0642077	0.0334584	0	0	0	0	0	0	0.00554293	0.0884801	0.107117	0.0110022	0.0092048	0.0511833	0.0884788	0.0964945	0.0695	0.0851441	0.130256	0.22186	0.214857	0.0731569	0.242972	0.147657	0.0609333	0.0379661	0	0.0896731	0.34197	0.367632	0.165342	0.0624188	0.161639	0.119113	0.0807823	0.0821987	0.078005	0.58042
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000290.2.e8dc7448-dc97-4057-a492-978243fe4033.fc.signal	0	0	0	0.109527	0.150849	0	0.198381	0.22216	0	0.119715	0.327233	0.018418	0	0	0	0.241347	0.39307	0	0	0	0	0	0	0	0.145408	0.324392	0.0150027	0	0	0	0.238684	0.390629	0.549098	0.678121	0.0630112	0	0	0	0.747573
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001908.1.4025739e-d017-417d-bd1b-2254ef9d0cdc.fc.signal	0	0	0	0	0	0	0	0	0	0	0.0244105	0.237823	0.0204238	0	0	0.0806633	0.364729	0.141877	0.726742	0.45281	0.120711	0.358104	0.356474	0.212588	0.0720074	0	0.00576593	0.259638	0.337385	0.0389851	0	0	0	0.047598	0.29405	0.257029	0.0143859	0	0.522534
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.4e9958ba-8dfc-4908-9654-b8c3286ec999.fc.signal	0.543702	0.250446	0.206062	0.284072	0.0159737	0	0.314266	0.0685287	0.133791	1.31582	0.657373	1.22918	1.39179	0	0.105424	0.621383	0.748859	0.0164398	0.430989	0.725225	0.493456	0.0287532	0.84836	0.0510066	0	0	0.55893	0.323042	0.340044	0.595077	0	0	0	0	0	0	0	0	0.721992
