	chr1:93267847-93267996	chr1:93267997-93268076	chr1:93268077-93268146	chr1:93268147-93268296	chr1:93268297-93268446	chr1:93268447-93268506	chr1:93268507-93268596	chr1:93268597-93268616	chr1:93268617-93268746	chr1:93268747-93268896	chr1:93268897-93268976	chr1:93268977-93269046	chr1:93269047-93269196	chr1:93269197-93269346	chr1:93269347-93269496	chr1:93269497-93269646	chr1:93269647-93269796	chr1:93269797-93269946	chr1:93269947-93270096	chr1:93270097-93270246	chr1:93270247-93270396	chr1:93270397-93270546	chr1:93270547-93270696	chr1:93270697-93270846	chr1:93270847-93270996	chr1:93270997-93271146	chr1:93271147-93271296	chr1:93271297-93271446	chr1:93271447-93271596	chr1:93271597-93271746	chr1:93271747-93271896	chr1:93271897-93272046	chr1:93272047-93272196	chr1:93272197-93272346	chr1:93272347-93272496	chr1:93272497-93272646	chr1:93272647-93272796	chr1:93272797-93272946	chr1:93272947-93273096	chr1:93273097-93273246	chr1:93273247-93273314	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001375.1.3bc522e1-a1c6-492a-9fb9-e63c8afd2709.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0241793	0.429405	0.104352	0	0	0	0	0	0.33583	0.302142	0.151846	0.262382	0.148747	0	0	0	0	0.0794631	0.203046	0	0	0	0	0	0	0	0.724085
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003818.1.d9959e98-a5a9-490f-a9f0-358a1a711d27.fc.signal	0.580638	0.784964	0.513038	0	0	0	0	0	0	0	0	0	0	0	0	0.0894785	0.43375	0.0531575	0.320069	0.200415	0	0	0	0.337214	0.205986	0.186352	0.41453	0	0.200766	0.414924	0.10533	0.00197907	0.347652	0.363625	0.023732	0	0	0.197384	0.648706	0.154367	0.113505	0.598592
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.993ec17f-4277-433d-a284-3906706ac1fe.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31799	2.38999	0.024335	0.434838	0.349664	0	0	0	0	0.0468659	0.408925	0	0	0	0	0.137898	1.1415	0.627601	0.569324	0.650016	0.349664	0.593321	0.52093
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003816.1.4569d4d8-c896-418a-b870-e7afcf72b7d3.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.257579	0.335363	0.17113	0.18103	0.107613	0.130735	0.378003	0.142942	0.130869	0	0.0108509	0.257884	0.118873	0.151263	0.283737	0.595138	0.816489	0.788172	0.519786	0.123438	0.126366	0.383331	0.716069	0.464207	0.108976	0	0.425191
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000242.3.009dbb10-d8f5-4bd5-9bc6-e0cf283ece54.fc.signal	0.75646	0.73282	0.151291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.247109	0.370665	0.0252147	0	0	0	0.0264754	0.275326	0.66055
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000290.2.e8dc7448-dc97-4057-a492-978243fe4033.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126022	1.02018	0.78914	0.216473	0.290636	0.66491	1.13799	1.01515	1.1023	0.0110506	0.205805	0.63168	0.65223	0.0407777	0.289275	0.0707949	0.138848	0.159176	0	0	0.0146856	0.446372	0.85742	0.12082	0	0	0	0	0.572727
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001908.1.4025739e-d017-417d-bd1b-2254ef9d0cdc.fc.signal	0.0465403	0.15866	0.15186	0.104716	0	0	0	0	0	0	0	0	0	0	0.105351	0.341451	0.141848	0.353327	0.136227	0.310195	0.222132	0.0858647	0	0	0	0.039024	0.439992	0.253542	0.0542337	0	0.0201855	0.214595	0.0163471	0	0	0.0132891	0.143129	0.382463	0.64076	0.030551	0	0.442029
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001546.1.9b1c722f-92a9-4c08-873d-1b0b5f7b7e5c.fc.signal	1.0366	1.27995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.242164	0.955514	0.272621	0	0.364394	0.317736	0	0	0.372691	0.0566556	0	0.0153581	1.21287	0.179733	0	0.0806302	0.60043	0	0	1.19296	0.34861	0	0.697248
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.4e9958ba-8dfc-4908-9654-b8c3286ec999.fc.signal	0	0	0	0	0.499766	0.85011	0.0377827	0	0	0	0	0	0	0	0	0	0.360942	0.257173	0	0	0	0	0	0	0.208082	0.676215	0	0	0.552882	0.347604	0	0.349003	0.0752361	0.0143768	0.439034	0.0307518	0	0	0	0	0	0.733645
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000810.3.f937c5a8-f739-4eba-91ed-5c0fce69c73d.fc.signal	0.77247	0.14387	0	0.290115	0.215261	0	0	0	0	0	0	0.100286	0.465996	0.752309	0.250769	0.175917	1.06471	0.627915	0.0737802	0	0	0.32269	0.564713	0.442776	1.05433	0.930083	0.423977	0.836619	0.306034	0.152421	0	0.179016	0.598635	0.665645	0.218377	0.382629	0.3012	0	0	0	0	0.584906
