	chr11:74699092-74699151	chr11:74699152-74699241	chr11:74699242-74699311	chr11:74699312-74699391	chr11:74699392-74699451	chr11:74699452-74699541	chr11:74699542-74699691	chr11:74699692-74699841	chr11:74699842-74699991	chr11:74699992-74700141	chr11:74700142-74700201	chr11:74700202-74700291	chr11:74700292-74700441	chr11:74700442-74700591	chr11:74700592-74700661	chr11:74700662-74700741	chr11:74700742-74700781	chr11:74700782-74700891	chr11:74700892-74701041	chr11:74701042-74701191	chr11:74701192-74701341	chr11:74701342-74701491	chr11:74701492-74701641	chr11:74701642-74701791	chr11:74701792-74701941	chr11:74701942-74702091	chr11:74702092-74702191	chr11:74702192-74702241	chr11:74702242-74702321	chr11:74702322-74702391	chr11:74702392-74702541	chr11:74702542-74702641	chr11:74702642-74702691	chr11:74702692-74702841	chr11:74702842-74702961	chr11:74702962-74702991	chr11:74702992-74703141	chr11:74703142-74703181	chr11:74703182-74703291	chr11:74703292-74703351	chr11:74703352-74703441	chr11:74703442-74703471	chr11:74703472-74703591	chr11:74703592-74703741	chr11:74703742-74703891	chr11:74703892-74704041	chr11:74704042-74704146	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.d0662727-3cb8-42a6-9eb8-875cfded9c1e.fc.signal	0.65676	0.675819	0.251271	0.692473	0.961609	0.378115	0.0220207	0	0.0912585	0.232704	0.0297595	0	0.0565613	0.274867	0.0683466	0	0	0.146402	0.283871	0.0192358	0.129767	0.269331	0.209214	0.231954	0.631478	0.0747019	0.365477	0.233506	0.0203431	0.180444	0.30922	0.72244	0.718029	0.466576	0.0306743	0	0.002822	0.157752	0.167256	0.0177275	0	0	0	0.0672889	0.114887	0.108989	0.0437869	0.138122
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000223.3.c621361d-dad0-4fef-8483-b87bec22a86a.fc.signal	0.20738	0.191393	0.141646	0.133248	0.096315	0.152571	0.159232	0.111483	0.0794335	0.179101	0.366968	0.49213	0.474087	0.267521	0.0899926	0.0465539	0.100634	0.130155	0.0873068	0.109026	0.218498	0.148875	0.369502	0.24855	0	0.00571053	0.0362418	0.0326102	0.0599525	0.0979516	0.197491	0.240723	0.243724	0.274183	0.29666	0.268626	0.223309	0.127046	0.0689054	0.001047	0.0106624	0.082849	0.145839	0.168102	0.0913491	0.170879	0.135689	0.34375
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004608.1.5ec97f16-e54d-4318-8ca6-fd123c69fcf5.fc.signal	0.509004	0.557722	0.498585	1.01244	0.817278	0.159612	0.597544	1.04324	0.991082	1.06697	0.0402455	0	0.323794	2.18084	0.634331	0.0101366	0	0.209402	0.207306	0.787048	0.501782	0.499349	0.191223	0.25851	0.220549	0	0	0	0.158727	0.792292	0.948074	1.18283	0.90904	0.492997	0.528208	0.321183	0.0770201	0.320197	0.469091	0.532016	1.15392	1.23868	0.741435	0.403874	0.243622	0.701335	0.576748	0.337363
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.b0b3e62c-a424-40a0-81dc-b67047b2608e.fc.signal	0.0639952	0.188276	0.205553	0.408986	0.690642	1.31609	1.13645	0.362414	0.387814	0.741629	0.255287	0.028904	0.385071	1.07902	0.356677	0.348459	0.590587	0.87313	0.566738	0.544421	0.46601	0.748168	1.18783	1.26921	0.699568	0.454485	0.176234	0.207447	0.176945	0	0	0	0	0.394031	0.643832	0.259678	0.382909	0.586041	0.715067	0.519408	0.614694	0.400497	1.09537	0.750468	0.519689	1.06125	1.10031	0.306931
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001025.7.383d7143-d994-47de-83fc-160182b0cccd.fc.signal	1.51726	0.954258	0.905774	1.90604	1.74468	0.0783872	0	0.206752	0.47941	0	0	0	0.227006	0.496212	0	0	0	0.322792	0.729495	1.62359	0	0.674725	0.738001	0.118904	0	0.51297	0.405543	0	0.0819206	1.06413	1.42117	0.302474	1.23675	1.2527	0.276123	0	0.704953	0	0	0.263172	1.63204	1.75873	0.152703	0.679999	0.0379227	0	0.419616	0.728595
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.9815b17b-4b2f-4371-98fe-9b674b10f52b.fc.signal	0.339307	0.38419	0.406249	0.475316	0.434164	0.149392	0	0	0.0919458	0.758836	0.86995	0.608487	0.710194	0.276677	0.464243	0.463202	0.452531	0.242436	0.233738	0.227546	0.496865	0.756809	0.689869	0.924003	0.816511	0.661251	0.343287	0.0903916	0.149332	0.454432	0.279454	0.0615209	0.161962	0.221479	0.0370386	0.15948	0.324307	0.586719	0.550447	0.46416	0.294028	0.206857	0.225813	0.64072	0.380789	0.195783	0.188488	0.567943
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004606.2.ed49a991-84af-4e39-816c-484a056fbaeb.fc.signal	3.70111	3.00229	1.29723	1.01782	1.44281	1.06488	0.735533	0.692674	0.599491	0.939497	0.396816	0.554131	0.676435	0.757941	0.119103	0	0	0.622138	1.02317	0.843796	1.69601	0.987039	0.0441252	0.585106	0.471763	1.88693	1.06246	0.719604	0.092884	0.369769	0.924964	0.539352	1.17276	0.842284	1.22294	0.790781	0.473009	0	0	0	0	0	0.00273058	0.353269	0.345622	0.314996	0	0.413163
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001009.4.1b8093dd-892d-4d82-93cb-a5798c1caf6d.fc.signal	0.793285	0.757167	0.288773	0.164107	0.27786	0.490884	0.629352	0.187554	0.380062	1.29902	0.65809	0.50034	0.772135	0.775246	0.125034	0	0	0	0.126425	0.789121	0.943777	1.01609	0.732766	0.854313	0.495978	0.541621	0.575166	0.41679	0.153689	0.372129	0.696138	0.593926	0.466804	0.628288	1.15073	1.3929	1.36949	1.47822	0.717108	0.41726	0.0964651	0.258711	0.320565	0.161597	0.450721	0.358166	0.134959	0.338583
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.cb3f1a65-14b1-4058-aef5-bc7db4396fc3.fc.signal	0.287253	0.268896	0.127941	0.172508	0.217465	0.0556549	0.0145428	0.114126	0.134845	0.0915011	0.419355	0.3872	0.0299572	0.349276	0.120565	0.196857	0.201671	0.170811	0.106427	0.266293	0.32459	0.367502	0.428517	0.307961	0.472116	0.26035	0.788418	1.23697	0.984316	1.42522	0.879991	0.747074	1.38596	1.24388	0.749065	1.07709	0.743195	0.347207	0.198403	0	0	0	0	0.0523531	0.148538	0.1747	0.0341698	0.264865
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004603.3.aa33cda4-5f7e-468f-8713-d439ef935bb1.fc.signal	0.38624	0.263749	0.568753	0.689925	0.373135	0.143334	0.690403	0.641459	0.428692	0.567868	0.211339	0.428493	0.340671	0.383757	0.406451	0.278107	0.119341	0.103208	0.0467151	0	0.0294952	0.584827	1.04765	0.574314	0.499521	0.653072	0.912054	0.444501	0.156034	0.734915	0.699146	0.752167	0.583174	0.339726	0.807343	0.6772	0.342896	0.47404	0.486923	0.291108	0.0472789	0.194665	0.434982	0.2075	0.467396	0.425117	0.479506	0.455696
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000228.3.4a4a3e76-3b28-4e5b-88f0-29c203f107d8.fc.signal	0.275116	0.253133	0.283069	0.153924	0.181328	0.307545	0.550465	0.451116	0.371811	0.320052	0.21941	0.272937	0.769482	0.695249	0.146898	0	0	0	0	0	0.0608819	0.396185	0.270829	0	0.244163	0.439964	0.154697	0	0.129646	0.268478	0.291828	0.125959	0.136865	0.345352	0.341509	0.194486	0.122403	0.154686	0.255393	0.223135	0.150035	0.166725	0.0290998	0	0	0	0	0.550314
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.8143faf4-bd87-4c0f-98f7-a0083493be0c.fc.signal	0.253457	0.113098	0.116114	0.1101	0.216975	0.233021	0.300007	0.0899113	0	0	0	0	0	0.175211	0.260859	0.410412	0.402293	0.241337	0.0988041	0.276921	0.592267	0.326132	0.56289	0.329342	0	0.298009	0.57675	0.397527	0.228704	0	0	0	0	0.306333	0.560005	0.490376	0.251097	0.237524	0.230084	0.172513	0.176969	0.195459	0.168741	0.112106	0.175312	0.127466	0.0252488	0.343434
