	chr15:88853021-88853170	chr15:88853171-88853290	chr15:88853291-88853320	chr15:88853321-88853470	chr15:88853471-88853620	chr15:88853621-88853770	chr15:88853771-88853870	chr15:88853871-88853920	chr15:88853921-88854070	chr15:88854071-88854220	chr15:88854221-88854370	chr15:88854371-88854440	chr15:88854441-88854520	chr15:88854521-88854630	chr15:88854631-88854670	chr15:88854671-88854790	chr15:88854791-88854820	chr15:88854821-88854880	chr15:88854881-88854970	chr15:88854971-88855120	chr15:88855121-88855270	chr15:88855271-88855370	chr15:88855371-88855420	chr15:88855421-88855570	chr15:88855571-88855640	chr15:88855641-88855670	chr15:88855671-88855720	chr15:88855721-88855870	chr15:88855871-88856020	chr15:88856021-88856170	chr15:88856171-88856320	chr15:88856321-88856470	chr15:88856471-88856620	chr15:88856621-88856700	chr15:88856701-88856730	chr15:88856731-88856770	chr15:88856771-88856840	chr15:88856841-88856920	chr15:88856921-88857010	chr15:88857011-88857070	chr15:88857071-88857220	chr15:88857221-88857370	chr15:88857371-88857490	chr15:88857491-88857520	chr15:88857521-88857630	chr15:88857631-88857670	chr15:88857671-88857820	chr15:88857821-88857910	chr15:88857911-88857970	chr15:88857971-88858079	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.a6a9e168-f700-4b04-bb33-9eedccb77991.fc.signal	0.604165	1.01364	0.212991	0.35916	0.624547	0.63583	0.671448	1.39627	1.98884	0.344502	0.354488	0.641422	0.491802	1.05758	1.0591	0.922249	0.459281	0.109088	0	0	0.125923	0.704089	0.320504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.562715	0.957985	0.981532	0.400414	0.676933	0.663627	1.24129	0.647742	0.327349	0.128585	0.205985	0.622831	0.483136	0.606481
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.0d6e9ac4-1ee5-4f7e-8d0d-48a48250ff2d.fc.signal	0.23335	0.364266	0.174328	0.00528213	0.411775	1.05329	1.12768	0.673712	0.322685	0.581923	0.552325	0.0815331	0.0655652	0.475924	0.52542	0.201482	0.297102	0.521188	0.409027	0.0454092	0.222454	0.50441	0.215488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0135945	0.371954	0.473067	0.161328	0	0.0489409	0.546332	0.838976	0.509639	0.403446
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000250.2.b7b102bf-d880-40c6-aa7d-dceb11c67807.fc.signal	0	0	0	0	0	0	0	0.495482	0.668185	0	0	0.481144	3.1776	3.57857	0.822005	0.213856	0	0	0	0.203163	0.568185	0.427575	0.656815	0.272666	0	0	0	0	0	0	0	0	0	0	0.427712	0.80196	0.80196	0.591445	0	0.093562	0.80196	0.149699	0.434395	0.80196	0.656149	0	0	0	0	0	0.439921
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.2aab058a-2f5b-45b4-aeba-aa0a2d209eb3.fc.signal	0.00113993	0.088893	0.380946	0.450404	0.0941057	0	0	0	0	0.531103	0.25238	0	0	0	0	0	0	0	0	0.386259	1.0545	0.189436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.050596	0.4564	0.684727	0.695442	0.496686	0.133622	0	0	0	0	0	0	0	0.390244
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001952.2.a99a5a16-aeda-4bbd-b32c-e69190f2f046.fc.signal	0.44406	0.548844	0.6243	0.390118	0	0.0508733	0.782617	1.07015	1.03514	0.158972	0	0.176706	1.51852	1.68974	0.333018	0.301303	0.63432	0.63432	0.197346	0.351026	0.892334	0.355242	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38063	0.63432	0.594684	0.0422973	0.041235	0.597978	0.348937	0.166546	0.264358	0.283763	0.300498	0	0	0.115786	1.07964	0.490964
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000974.7.af2fffce-696b-421a-8732-73b351c68c67.fc.signal	0.556078	0.774833	0.38663	0.37838	0.388509	0	0.141812	1.96088	1.15733	0.218251	2.08299	1.34757	1.40074	1.16502	0.429059	0.376782	0.212139	1.31378	3.28721	1.13585	2.67523	2.49318	0.739703	0.142893	0	0	0	0	0	0	0	0	0	0	0	0	0.434538	1.23493	1.80544	0.565716	0.663684	1.24743	0.897294	2.75464	4.63417	2.34434	2.87393	2.34022	0.812562	0.342924	0.506831
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.d0662727-3cb8-42a6-9eb8-875cfded9c1e.fc.signal	0.692473	0.377359	0	0	0.343529	0.657711	0.504912	0.744472	0.562624	0.228406	0	0	0.14524	0.206312	0	0.201622	0.215116	0.0605942	0	0	0.354112	0.395253	0.0175668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141986	0.291018	0.186315	0	0.275213	0.513992	0.102473	0.00805817	0.5
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.47bafce5-cf92-4589-82d6-1f8a597d67d2.fc.signal	0.334889	0.313928	0.227739	0.322722	0.331334	0.0612379	0.0043931	0.183091	0.210504	0.104013	0.328313	0.462795	0.225996	0.0650202	0	0.010585	0.0645157	0.188349	0.330533	0.176497	0.132267	0.104028	0.119255	0.0267244	0	0	0	0	0	0	0	0	0	0	0	0	0.0114989	0.164595	0.242114	0.417097	0.699271	0.343596	0.586133	0.861638	0.998045	0.815797	0.449543	0.449416	0.45544	0.163466	0.450502
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.cb3f1a65-14b1-4058-aef5-bc7db4396fc3.fc.signal	0.781044	0.630092	0	0.432296	0.755605	0.555823	0	0	0.474442	0.58618	0.211065	0.0107293	0.412807	0.511019	0.21904	0.427047	0.780894	0.786287	0.567085	0.539369	0.338933	0.506585	0.78329	0.254309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227108	0.586733	1.39076	0.604234	0.522606	0.470047	0.179824	0.191438	0.392704	0.540843	0.460208
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001958.3.6c69236e-c3b7-44e9-b4df-92ecc399b775.fc.signal	0.28949	0.49912	0.24956	0.0316109	0	0.244569	0.49912	0.454199	0.0366021	0	0	0	0	0	0	0	0	0	0	0.0116461	0.886879	0.866067	0.16471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141417	0.49912	0.470837	0.0099824	0.323376	0.465999	0.39783	0.319889	0.390188	0.515765	0.565701	1.0079	0.503742
