	chr9:9412252-9412301	chr9:9412302-9412321	chr9:9412322-9412371	chr9:9412372-9412401	chr9:9412402-9412491	chr9:9412492-9412551	chr9:9412552-9412661	chr9:9412662-9412701	chr9:9412702-9412851	chr9:9412852-9412871	chr9:9412872-9412901	chr9:9412902-9413001	chr9:9413002-9413081	chr9:9413082-9413151	chr9:9413152-9413211	chr9:9413212-9413241	chr9:9413242-9413291	chr9:9413292-9413301	chr9:9413302-9413341	chr9:9413342-9413451	chr9:9413452-9413601	chr9:9413602-9413651	chr9:9413652-9413751	chr9:9413752-9413781	chr9:9413782-9413861	chr9:9413862-9413881	chr9:9413882-9413901	chr9:9413902-9414051	chr9:9414052-9414081	chr9:9414082-9414121	chr9:9414122-9414201	chr9:9414202-9414351	chr9:9414352-9414421	chr9:9414422-9414501	chr9:9414502-9414551	chr9:9414552-9414651	chr9:9414652-9414701	chr9:9414702-9414801	chr9:9414802-9414951	chr9:9414952-9415101	chr9:9415102-9415141	chr9:9415142-9415181	chr9:9415182-9415251	chr9:9415252-9415301	chr9:9415302-9415401	chr9:9415402-9415471	chr9:9415472-9415551	chr9:9415552-9415591	chr9:9415592-9415671	chr9:9415672-9415701	chr9:9415702-9415811	chr9:9415812-9415851	chr9:9415852-9415891	chr9:9415892-9416001	chr9:9416002-9416101	chr9:9416102-9416151	chr9:9416152-9416301	chr9:9416302-9416451	chr9:9416452-9416491	chr9:9416492-9416541	chr9:9416542-9416601	chr9:9416602-9416751	chr9:9416752-9416901	chr9:9416902-9416991	chr9:9416992-9417051	chr9:9417052-9417201	chr9:9417202-9417323	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.12487572-adf6-40c8-9745-66a141c14768.fc.signal	0.405713	0.56349	0.581994	0.533339	0.69566	0.69605	0.126626	0	0.597299	1.12698	1.46516	0.633946	0.204269	0	0	0	0	0	0	0.398035	0.594878	0.670686	0.663643	0.201978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4492	2.43465	3.41702	2.78281	2.24917	0.394052	0	0	0.362528	0.496168	0.516062	0.211087	0.110992	0	0	0.58231	0.938329	0.406022	0	0	0	0.300241	1.2391	1.44404	0.821446	1.10614	0.887532	0.773647	0.533215	0.351351
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.2aab058a-2f5b-45b4-aeba-aa0a2d209eb3.fc.signal	0	0	0.0376178	0.199433	0.185021	0.204223	0.0199414	0.0940187	1.04809	1.55421	1.62676	1.25892	0.683866	0.115436	0	0	0	0	0	0	0.211668	0.297252	0.405352	0.29209	0.279545	0	0	0	0	0	0	0	0	0.090883	0.280315	0.281255	0.134618	0.366189	0.925924	0.484672	0.560172	0.564239	0.523952	0.879291	0.877322	0.641112	0	0	0	0	0.0133668	0.403359	0.625887	1.02428	1.10589	1.03027	0.402394	0.334689	0.272023	0.657006	0.620412	0.283639	0	0	0	0.207864	0.453147	0.223022
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.e56e7efe-813c-4380-b8af-078cacdb962a.fc.signal	0.705289	0.234043	0.34658	0.677209	0.747044	0.667589	0.0741568	0	0.1215	0.59754	0.59754	0.670518	0.0368901	0	0	0	0	0	0	0.41098	0.414638	0.23703	0.233805	0.726065	0.642424	0.24898	0.19919	0.0491335	0	0	0	0	0	0	0	0.263027	0.41098	0.255261	0.257018	0.0439195	0.59754	0.547756	1.3363	1.22518	0.925225	0.593272	0.157835	0	0.313372	0.41098	0.250913	0	0.427404	0.633329	0.57235	0.332418	0.197857	0.352838	0.401505	0.36082	0	0.253628	0.209708	0.232377	0.424003	1.07158	0.878568	0.359799
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.afbe02e8-50de-460a-8edc-cfae9d057ff1.fc.signal	0.82074	0.819687	0.446372	0.40011	0.415338	0.706569	0.758253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0425664	0.669514	0.66075	0.0965032	0.66075	1.25556	0.958223	0.160671	0.80682	0.8082	0.0759472	0.662488	0.633216	0.154172	1.51377	1.17167	0.0330375	0	0.739433	1.09034	0.66075	0.254861	0	0	0.65823	0.540278	0	0	0.770607	0.82565	0.0412825	0	0	0.14036	0.82565	0.401816	0	0.49539	0.528897	0.41846	0.459029	0.106184	0.115015	0.33038	0.140958	0	0.503683
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.7114bd47-4fa8-4cc2-a314-a8f63b9a798b.fc.signal	0	0	0	0	0.409148	0.472119	0.15737	0	0	0	0.317299	0.590578	0.436637	0	0	0	0	0	0	0.319671	0.435966	0	0.33329	0.524301	0.282915	0	0	0.525331	1.56972	1.60984	1.23861	0.642402	0.923177	1.07049	0.877226	0.574685	0.534524	0	0.00229287	0.381697	0.687558	0.518316	0.536002	0.363198	0	0	0	0	0.23171	1.20367	1.12602	0.475975	0	0.0215733	1.0308	1.10088	0.194859	0	0	0	0	0	0	0	0.045859	0.454493	0.0694788	0.354111
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002058.1.74e68fe6-66c5-49bf-a809-80390106feb5.fc.signal	0	0	0	0	1.22465	1.51313	0.577741	0.225097	0.698251	0.569986	0.818426	0.819175	0.434388	0	0	0	0	0	0.537869	0.5296	0.095328	0	0	0	0	0	0.174324	0.864044	0.864925	0.5296	0.12578	0.174324	0.532542	0.3972	0	0	0.0370748	0.32179	0.18123	0.289024	0.435957	0.284676	0.895274	1.124	1.21665	0.869125	0.484748	0.101689	0	0	0	0	0	0.33806	1.67206	1.42979	0.0917899	0.263423	0.58108	0.58108	0.164639	0.588826	1.2976	1.49775	1.16201	0.127089	0	0.372576
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.7418f6bc-6e40-4cd9-9c59-6013c4a60b00.fc.signal	0.106752	0	0.022687	0.219255	0.613321	1.19411	1.13964	0.856114	0.334022	0.17441	0.19068	0.332238	0.694823	0.604993	0.283796	0.142355	0.26646	0.26381	0.26381	0.230852	0.191531	0.273343	0.150489	0.371987	0.307756	0.303396	0.29642	0.351842	0.60044	0.572918	0.643328	0.389614	0.579926	0.716687	1.06249	0.688045	0.264515	0.680808	0.551216	0.210773	0.321391	0.46496	0.500679	0.544835	0.610975	0.400046	0.199844	0.247755	0.429144	0.517914	0.763768	0.87189	1.21627	1.3068	0.723301	0.494104	0.481823	1.33329	1.34528	0.925317	0.148227	0.35745	0.33779	0.615912	1.21187	1.60111	1.6804	0.422609
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.c5ef21e4-195e-4160-bc6c-4a5cf2e91a44.fc.signal	0	0.189596	1.65824	2.16629	3.03971	1.32827	0.329321	0.74447	0.370807	0	0	0.183852	0.909106	1.13926	0.653655	0	0	0	0	0	0.398969	0.72553	0.0770914	0	0	0.0376875	1.16831	1.99221	0.942096	0.759576	1.24049	0.276511	0	0	0	0.0582912	0.655556	0.992577	1.08767	0.994445	1.55382	0.582683	0	0	0	0	0	0	0	0.087436	0.465683	1.05354	0.60298	0.320267	0.267273	0.927414	0.835916	0.762791	1.19243	0.928118	1.20859	1.19627	0.0714656	0	0.00728633	0.394442	0.762841	0.392051
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001997.1.f0f49cb4-faa4-493d-95f6-28ba67fd8f5a.fc.signal	0.50394	0.50249	0.504831	0	0	0	0.502354	0.897402	0.577607	0.0244185	0	0	0	0	0	0	0.0425632	0.53204	0.558648	0.871358	0.144433	0	0	0	0	0	0	0.341505	0.470658	0.538582	0.0183139	0	0	0.265682	0.436178	0.392717	0.777786	0.659561	0.358946	0.0766702	0.43648	0.474551	0.505609	0.389363	0.521396	0.567123	0.0271325	0	0	0.0800603	0.576533	0.393159	0.584502	0.365257	0.160514	0.217061	0.50435	0.187527	0.304667	0.402438	0.065116	0.549731	0.285054	0.891435	1.03224	0.669595	0.356551	0.415094
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003837.4.e64e21a4-069f-4200-928f-507f2bd71d2a.fc.signal	1.48095	0.97725	0.518021	0.505628	0.7482	1.83249	2.03049	0.50733	0.00329973	0	0	0	0	0	0	0	0	0	0	0	0.802292	0.914263	0.677542	0.489996	0.426677	0.336804	0.41259	1.22449	1.12293	1.25253	0.845004	0.27666	0.400081	0.72724	0.616838	0.737768	1.17054	0.71649	1.36214	0.570992	0.301045	0.781782	1.33162	1.70253	0.775527	0.356904	0.00407237	0	0.40881	0.768389	0.641423	0.351592	0.449618	0.58599	0.529534	0.0968462	0	0	0.048863	0.543497	0.507584	0.127964	0	0.0901449	1.64874	0.999029	0	1
