	chr11:40931135-40931284	chr11:40931285-40931434	chr11:40931435-40931474	chr11:40931475-40931584	chr11:40931585-40931734	chr11:40931735-40931884	chr11:40931885-40931924	chr11:40931925-40932034	chr11:40932035-40932184	chr11:40932185-40932334	chr11:40932335-40932484	chr11:40932485-40932554	chr11:40932555-40932634	chr11:40932635-40932714	chr11:40932715-40932784	chr11:40932785-40932934	chr11:40932935-40933084	chr11:40933085-40933234	chr11:40933235-40933384	chr11:40933385-40933534	chr11:40933535-40933684	chr11:40933685-40933834	chr11:40933835-40933984	chr11:40933985-40934044	chr11:40934045-40934134	chr11:40934135-40934214	chr11:40934215-40934284	chr11:40934285-40934434	chr11:40934435-40934584	chr11:40934585-40934734	chr11:40934735-40934884	chr11:40934885-40935034	chr11:40935035-40935184	chr11:40935185-40935254	chr11:40935255-40935334	chr11:40935335-40935484	chr11:40935485-40935524	chr11:40935525-40935634	chr11:40935635-40935784	chr11:40935785-40935934	chr11:40935935-40935994	chr11:40935995-40936014	chr11:40936015-40936054	chr11:40936055-40936084	chr11:40936085-40936223	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.a6a9e168-f700-4b04-bb33-9eedccb77991.fc.signal	0.953557	0.0767851	0	0	0	0	0	0	0.252637	2.06442	1.07138	1.21581	0.905298	1.58022	1.36459	0.62524	0.359003	0.308792	0.329771	0.425037	0.556671	0.3744	0.246913	0.0582517	0.275099	0.350629	0.482616	0.346687	0.529592	1.18813	0.252078	0.769022	0.137152	0.339338	0.633803	1.73776	1.04944	0.463752	0.55145	0.446795	0.308982	0.245994	0	0	0.15845	0.674277
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.12487572-adf6-40c8-9745-66a141c14768.fc.signal	0.610016	0.443369	0.56349	0.169047	0	0	0	0	0.228755	0.716716	1.34452	0.87258	0	0	0.488358	0.865282	0.496937	0	0.664386	0.143353	0	0.154024	0.49976	0	0	0.262962	1.18245	0.641967	0	0.0667861	0.583618	0.0525924	0	0	0	0.42093	1.12698	0.928946	0.0285944	0	0	0	0	0.579717	0.53006	0.46875
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.2aab058a-2f5b-45b4-aeba-aa0a2d209eb3.fc.signal	0.0506437	0.855549	0.907261	0.347652	0.154101	0	0	0	0.296458	0.652408	0.572626	0.421474	0.452035	0.207108	0.183716	0.186387	0	0	0	0.0923306	0.10319	0.482277	0.353228	0.263116	0.470163	0.564424	0.489582	0.451586	0.800314	0.969833	0.837841	0.111185	0.391758	0.352702	0.451678	0.242631	0	0	0.0870298	0.171733	0.186008	0.201194	0.104474	0	0	0.708075
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.e56e7efe-813c-4380-b8af-078cacdb962a.fc.signal	0.12815	0.173271	0	0	0	0	0.110661	0.394519	0.158912	0.257613	0.324187	0	0	0.220902	1.23294	1.37268	0.400021	0.230149	0.731544	0.0246588	0.561075	1.6659	0.160529	0.36887	0.400686	0.27175	0.287452	0.240617	0.602822	0.371043	0.572261	0.501396	0.286892	0.256089	0.107882	0.41098	0.0924705	0.180307	0.364507	0.298068	0.39203	0.184941	0	0	0	0.382838
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.afbe02e8-50de-460a-8edc-cfae9d057ff1.fc.signal	0.33329	0.248475	0	0.0512335	0.620847	0.122608	1.22252	0.953751	0	0	0	0	0	0	0	0	0	0	0.379301	0.593517	0.277428	0	0	0	0	0.265141	0.878857	0.546238	0.457486	0.897884	0.0912747	0	1.07212	0.657619	0.677246	0.132265	0.782706	0.546433	0	0.397386	0.639373	0	0	0	0	0.462838
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.7114bd47-4fa8-4cc2-a314-a8f63b9a798b.fc.signal	0.367998	0.486022	0.620568	0.566701	0.648415	0.294839	0.646873	0.911604	0.34304	0.170533	0.750569	0	0	0	0	0	0	0.536384	0.0765027	0	0	0	0	0	0	0	0	0	0	0	0.0156179	0.604603	0.0842576	0	0	0	0	0	0.0810765	0.860955	0.623453	0	0	0	0	0.255639
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.d0662727-3cb8-42a6-9eb8-875cfded9c1e.fc.signal	0.61636	0.342781	0.524174	0.650938	0.782268	0.867007	0.99932	0.595596	1.18941	0.572974	1.16385	1.18829	0.637229	0.376303	0.649149	1.02813	0.412023	0.995343	0.636744	0.363039	0.251359	0.246037	0.15256	0.490184	0.606949	0.477382	0.309009	0.593591	0.364974	0.517183	0.145263	0.353765	0.566309	0.319814	0.0016245	0	0.014817	0.212188	0.0934355	0.330358	0.365749	0.165998	0.0170947	0.274546	0.354421	0.552472
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002058.1.74e68fe6-66c5-49bf-a809-80390106feb5.fc.signal	0.183589	0.39368	0.29128	0	0	0	0	0.0168522	0.44487	0.063651	0.413088	0.440582	0	0	0	0	0.465176	0.0547295	0	0.273386	0.0835637	0	0.373271	0.50442	0.0224187	0	0.336811	0.591262	0.359355	0.281773	0.350992	0.159394	0	0.067256	0.353764	0.387319	0.369545	0.202183	0.149308	0.160657	0	0	0	0	0	0.502008
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.47bafce5-cf92-4589-82d6-1f8a597d67d2.fc.signal	0.25124	0.0334987	0	0	0	0	0	0	0	0	0	0	0.150744	0.398812	1.16626	1.02483	0.0468981	0.594511	1.17223	0.142345	0	0	0	0	0	0.241818	0.358854	0.708365	0.26795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.654135
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.b0b3e62c-a424-40a0-81dc-b67047b2608e.fc.signal	3.16328	1.20356	0.202956	0.329088	1.77117	0.721071	0.628015	0.95301	0.665363	0.67154	1.60761	1.47001	0.646943	0.0929783	0	0.231412	0.67232	0.832725	2.27927	1.76186	1.44883	1.05114	1.34103	1.06412	2.24535	2.04171	1.35586	1.29995	1.34644	1.31512	0.720833	0.427135	0.0714764	0.214208	0.463405	0.754275	0.415348	0.173191	0.0762233	0	0	0	0	0.0785847	0.295951	0.561446
