	chr6:25859296-25859445	chr6:25859446-25859505	chr6:25859506-25859595	chr6:25859596-25859745	chr6:25859746-25859895	chr6:25859896-25860045	chr6:25860046-25860195	chr6:25860196-25860345	chr6:25860346-25860495	chr6:25860496-25860645	chr6:25860646-25860745	chr6:25860746-25860795	chr6:25860796-25860945	chr6:25860946-25861095	chr6:25861096-25861245	chr6:25861246-25861295	chr6:25861296-25861395	chr6:25861396-25861545	chr6:25861546-25861695	chr6:25861696-25861845	chr6:25861846-25861995	chr6:25861996-25862145	chr6:25862146-25862295	chr6:25862296-25862445	chr6:25862446-25862595	chr6:25862596-25862745	chr6:25862746-25862845	chr6:25862846-25862895	chr6:25862896-25862965	chr6:25862966-25863045	chr6:25863046-25863105	chr6:25863106-25863195	chr6:25863196-25863345	chr6:25863346-25863495	chr6:25863496-25863645	chr6:25863646-25863795	chr6:25863796-25863945	chr6:25863946-25864015	chr6:25864016-25864095	chr6:25864096-25864245	chr6:25864246-25864395	chr6:25864396-25864529	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003814.1.10334cc2-577d-467e-a601-b7232b684380.fc.signal	0.180996	0.0647533	0	0	0.0365931	0.373177	0.494045	0.425809	0.158417	0.0775579	0.290024	0.32628	0.379019	0.389755	0.721525	0.551873	0.0804839	0.155722	0.390442	0.174397	0.212774	0.170768	0.242958	0.176331	0.325517	0.392229	0.582877	0.433905	0.510934	0.749813	1.64738	2.40982	2.94918	2.18003	1.5662	1.9512	1.55393	0.610152	0.006385	0.237291	0.883862	0.177059	0.368836
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000709.3.2e9e766f-a8f0-4144-be3d-bffc3ef3aedd.fc.signal	1.17807	1.45879	2.22734	1.49555	1.41239	0.48629	0	0	0	0	0.288295	1.67033	2.75966	3.45758	1.90451	0.928623	0.352856	1.78889	1.11534	0.306627	0.351495	1.73299	0.191746	0.502673	0	1.07338	0.0801935	1.36021	2.16991	1.44807	0.232432	1.01244	1.25249	1.97997	1.41784	0.322566	2.95644	2.08579	0.402159	0	1.38634	1.28777	0.65687
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003813.1.eaaac0a3-b084-49f5-8ed4-a37c494e32ee.fc.signal	0	0	0	0.113545	0.311919	0.458875	0.918925	0.579281	0.00359033	0	0.020521	0.438677	0.441392	0.631272	1.61398	1.04207	0.322049	0.163767	0.0754269	0.398395	0.663599	0.955206	0.67113	0.326355	0.47367	0.282111	0.152416	0.422286	0.440474	1.2324	1.3872	2.40225	3.36313	4.24315	3.65211	3.60669	1.80959	0.45161	0.245338	0.324741	0.231436	0.357372	0.540541
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.e9a22a10-4147-4184-8f97-9e6f19793d99.fc.signal	0.726008	0.724182	1.1736	1.26506	0.895318	0.43273	0.172432	0.713026	0.605953	0.433457	0.410346	0.203416	0.438059	0.369921	0.247073	0.0261052	0.711593	0.450673	0.416003	0.261095	0.667406	0.446871	0.626377	0.973114	0.442202	0.149689	0	0	0.199896	0.341125	0.427902	0.476291	0.663093	0.75881	0.819928	1.3044	1.88631	1.98959	2.76802	3.39662	3.09677	2.25373	0.168274
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003819.1.efaf5424-48a2-426f-8f4e-0fdd590e949e.fc.signal	0	0	0	0	0	0	0.0399849	0.130838	0.027444	0	0	0	0	0	0	0.210086	0.413605	0.65733	0.491609	0.18198	0.286946	0.366565	0.422873	0.182128	0.142709	0.151383	0.248381	0.693367	0.93259	1.64054	2.27855	2.57503	2.51373	2.10477	1.25509	1.57051	1.40849	1.38972	1.09141	0.530569	0.326673	0.196459	0.45
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001901.1.f49f8858-2472-44f2-b550-626e1e1b869d.fc.signal	0.307247	0.526994	0.587317	0.334281	0	0.42033	0.601466	0.24164	0.581013	0.748483	0.492222	0.239452	0.312012	0.355767	0.0637	0	0.0394353	0.0866975	0.0792287	0.334124	0.407787	0.448914	0.336715	0.382549	0.548948	0.289527	0.206683	0.117115	0.143662	0.372285	0.947733	1.41412	1.80354	2.3356	1.38316	1.13892	0.314653	0.00463271	0	0.0208772	0.652773	0.749515	0.272059
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003817.1.938c2b4b-daef-44d7-a2de-46b7f4271c13.fc.signal	0.176063	0	0.0789057	0.199144	0.0644391	0	0.131049	0.248468	0.213228	0.162718	0.263634	0.244241	0.136611	0	0	0	0.0614588	0.170646	0.105063	0	0.222217	0.511378	0.327923	0.201483	0.300846	0.160909	0	0	0.244429	1.1578	1.80523	2.96727	2.64694	1.73628	2.59219	1.99752	1.1299	0.919218	0.567261	0.82103	0.926629	0.459577	0.495939
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001900.1.5c07f984-971d-485b-aaa7-9eb650115736.fc.signal	0.1417	0.0889672	0.187231	0.600359	0.535761	0.486691	0.440484	0.674804	0.386868	0.167886	0.458061	0.564589	0.539287	0.645839	0.913706	0.653727	0.49775	0.709504	1.0372	1.02317	1.38945	1.38531	0.393639	0.11568	0.410443	0.239749	0	0	0	0.02539	0.643533	1.3894	1.79144	1.1375	1.06432	0.570669	0.421733	0.123828	0.0243075	0.190969	0.316876	0.316819	0.349246
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.4a8b4799-6afb-49ea-a6ae-19a731abd44c.fc.signal	0.484978	0.510218	0.359276	0.179558	0.245497	0.190769	0.19274	0.442193	0.577993	0.648056	0.641528	0.99545	0.987114	0.938497	0.342738	0.281449	0.281576	0.550425	0.649118	0.479333	0.779717	0.317762	0.436422	1.23861	1.01493	0.498925	0.167801	0.540584	0.783218	1.80828	2.97522	3.82258	2.78232	2.4293	1.8797	2.09478	1.77738	1.0995	0.645485	0.763205	0.517104	0.0357873	0.495402
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003804.1.b908a70c-a0dd-4409-9203-84ba65c7adc1.fc.signal	0.350104	0.557152	0.60527	0.259322	0	0.0445517	0.122234	0.0393691	0.213655	0.404798	0.477269	0.568899	0.705833	0.651399	0.134718	0.343158	0.262651	0.593743	0.8383	0.357035	0.162347	0.0740929	0.386204	0.37662	0.0340449	0.00918233	0.196336	0.308082	0.427741	1.00725	2.2294	3.1791	3.10002	3.71039	3.18766	2.85062	2.1079	1.66652	1.12576	0.356392	0.403706	0.39498	0.453988
