	chr2:73077151-73077300	chr2:73077301-73077450	chr2:73077451-73077600	chr2:73077601-73077750	chr2:73077751-73077900	chr2:73077901-73078050	chr2:73078051-73078200	chr2:73078201-73078350	chr2:73078351-73078500	chr2:73078501-73078650	chr2:73078651-73078800	chr2:73078801-73078950	chr2:73078951-73079100	chr2:73079101-73079250	chr2:73079251-73079400	chr2:73079401-73079550	chr2:73079551-73079700	chr2:73079701-73079850	chr2:73079851-73080000	chr2:73080001-73080150	chr2:73080151-73080300	chr2:73080301-73080450	chr2:73080451-73080600	chr2:73080601-73080750	chr2:73080751-73080900	chr2:73080901-73081050	chr2:73081051-73081200	chr2:73081201-73081350	chr2:73081351-73081500	chr2:73081501-73081650	chr2:73081651-73081800	chr2:73081801-73081950	chr2:73081951-73082100	chr2:73082101-73082250	chr2:73082251-73082400	chr2:73082401-73082550	chr2:73082551-73082700	chr2:73082701-73082850	chr2:73082851-73083000	chr2:73083001-73083150	chr2:73083151-73083300	chr2:73083301-73083450	chr2:73083451-73083600	chr2:73083601-73083750	chr2:73083751-73083900	chr2:73083901-73084050	chr2:73084051-73084163	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.a6a9e168-f700-4b04-bb33-9eedccb77991.fc.signal	0.727833	0.512971	0.876274	0.878871	1.18317	1.34518	1.96849	1.28181	1.46775	1.15894	1.43093	0.457506	0.0661268	0.69684	0.36122	0.0203504	0.0558703	0.717266	0.529163	1.38605	1.35841	0.668905	1.74977	0.696921	1.08094	0.341043	0.916004	0.297765	0.179912	0.42859	0.481127	0.0153125	0.354326	1.13506	0.666324	0.312008	0.710775	0.385016	0.117691	0.220541	0.247136	0.480797	0.745123	0.928928	0.538264	0.386227	0.117926	0.29011
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.12487572-adf6-40c8-9745-66a141c14768.fc.signal	0.928536	0.26484	0.550146	0.140246	0.160638	1.27609	0.514716	0.423168	0.278541	0.45579	1.26524	2.61505	2.6106	1.5872	3.26944	1.64214	5.50525	3.21568	2.83547	3.91131	3.51072	2.61828	2.95768	2.58089	2.23903	3.42848	2.93299	3.05426	1.09397	2.06833	1.7357	0.791192	0.567742	1.31672	1.08414	0.592401	0.264846	0.783157	1.40169	2.03481	1.16925	0.886304	0.33543	1.03248	1.23417	1.22461	1.13233	0.322812
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.0d6e9ac4-1ee5-4f7e-8d0d-48a48250ff2d.fc.signal	1.55747	1.24781	0.432653	1.37845	1.15081	0.315287	0.43786	0	0.0052558	0.371344	0.254002	0	0.2935	0.665322	0.302141	0.781404	0.562031	0.49811	0.533598	0.973399	1.44791	0.69434	0.604818	0.389808	0.379575	0.0519418	0.288984	0.404595	0.50441	0.896841	0.924954	0.603404	0.700107	0.217879	0.910962	0.49172	0.90564	0.668579	1.18039	0.315995	0.210513	0.408096	0.444897	0.879298	0.597261	0.506187	1.09513	0.736784
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000709.3.2e9e766f-a8f0-4144-be3d-bffc3ef3aedd.fc.signal	0.0553878	0.208768	2.58709	5.14737	5.66867	8.12087	0.183205	1.95135	0.690214	1.86187	0.779686	0	2.02181	0.734029	0.0681696	1.17166	0.0809514	0	0.930586	1.28549	1.16414	0.864588	0.0201123	0	0	0	0	1.68293	2.21553	0.063909	0	0	1.03771	0.238593	0	0	0	0.971608	0.0590043	0	0	1.43582	1.20574	0	0.457014	0.781518	0	0.480916
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000250.2.b7b102bf-d880-40c6-aa7d-dceb11c67807.fc.signal	0.858045	0.128732	0.588159	0.181529	0	0.564779	1.02891	0.32362	0.277874	0.22804	0	0	0	0	0	0	0.026732	0.946286	0.962322	0.358209	0.673646	0	0	0	0.441313	0.1622	0.033102	0.519924	0.443411	0	0	0	0	0	0	0	0	0	0	0.171085	1.47483	0.315435	0	0	0	0.724194	0.318879	0.67402
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003401.1.342281be-4e86-4e27-9e01-e85aacc54324.fc.signal	0.737216	0.410555	0.490719	0.106487	0.231675	0.510249	0.231697	0.710898	0.650426	0.168665	0.720865	0.949475	0.579781	0.754042	0.353927	0.523711	0.901543	0.536062	0.320707	0.359835	0.982809	0.569982	0.527641	0.923866	1.03459	1.306	0.874681	0.139451	0.509291	0.284454	0.813863	1.53558	0.642866	0	0	0.0882224	0.852715	0.967295	0.732149	0.55754	0.581506	0.791674	0.144637	0.124145	0.285336	0.0821499	0	0.26703
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.2aab058a-2f5b-45b4-aeba-aa0a2d209eb3.fc.signal	0.107434	0.490971	0.416447	0.162551	0	0.280003	0.55814	0.322473	0.34135	0.0998874	0	0	0	0.0257194	0.481709	0.224347	0	0	0	0.0901331	0.837435	0.567904	0	0	0	0	0.0679258	0.568744	0.121828	0.0915489	0.48468	0.471308	0.291113	0.15405	0	0	0	0	0	0	0.190917	0.201051	0.262239	0.245089	0.771987	0.498254	0.0799268	0.298851
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.e9a22a10-4147-4184-8f97-9e6f19793d99.fc.signal	0.648681	1.1436	1.32949	0.908731	0.90204	1.55423	1.31967	0.81729	2.14117	1.71354	1.87377	2.45776	2.73861	3.23925	2.78026	1.71661	2.74886	2.28462	2.48576	3.49399	4.19985	1.33081	4.70274	5.78493	4.48699	6.52114	8.53251	10.425	5.64702	2.96141	1.79125	3.60277	1.86211	1.22564	0.990812	1.8001	2.53893	2.68239	3.11501	1.90865	2.44214	3.78694	3.27262	3.33202	2.79063	4.41869	5.15018	0.452489
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.705d0a23-5da9-44fc-b8a6-299bfe826407.fc.signal	0.853478	0.664797	0.620306	0.0175727	0.0384322	1.25152	1.1713	0.0766018	1.08495	1.17028	1.7057	0.675825	2.09199	1.20825	0.932887	0.949463	1.41046	0.533346	0.0693202	0.704925	0.806595	0.824796	0.763256	0.140528	0.0901927	0.570953	0.302978	1.36632	0.198174	0.357897	0.686491	0.156589	0.247709	0.480658	0.715759	0.818286	1.31292	0.486456	1.03432	1.36028	0.745071	1.13775	0.579321	0.948753	0.46603	0.544015	0.542952	0.315789
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001914.1.10de6d23-02d2-4d71-9c7c-c7a23a9dea76.fc.signal	2.07502	0.604883	0	0.234693	0.482192	2.10422	1.72241	1.63569	0.417949	0.610131	0.202422	0.975323	0.75495	1.32185	1.23053	0.481629	1.20816	2.15896	0.319083	0	0	0.581166	1.95168	1.56131	0.73141	0.625826	0.377954	2.44118	0.0898467	0	0.436837	0.470916	0.70638	1.37235	0.803804	0.967504	1.53961	1.60159	0.70118	2.03661	1.94494	0.297421	1.50813	0.244373	0.0552879	1.48874	0.229931	0.166337
