	chr1:28735158-28735307	chr1:28735308-28735457	chr1:28735458-28735607	chr1:28735608-28735757	chr1:28735758-28735907	chr1:28735908-28736057	chr1:28736058-28736137	chr1:28736138-28736207	chr1:28736208-28736357	chr1:28736358-28736507	chr1:28736508-28736657	chr1:28736658-28736717	chr1:28736718-28736807	chr1:28736808-28736897	chr1:28736898-28736957	chr1:28736958-28737107	chr1:28737108-28737257	chr1:28737258-28737407	chr1:28737408-28737557	chr1:28737558-28737707	chr1:28737708-28737857	chr1:28737858-28738007	chr1:28738008-28738157	chr1:28738158-28738307	chr1:28738308-28738457	chr1:28738458-28738607	chr1:28738608-28738757	chr1:28738758-28738907	chr1:28738908-28739057	chr1:28739058-28739207	chr1:28739208-28739357	chr1:28739358-28739507	chr1:28739508-28739657	chr1:28739658-28739807	chr1:28739808-28739957	chr1:28739958-28740107	chr1:28740108-28740182	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000076.3.8c8cf71c-e370-472d-89ef-87dbd2cde25f.fc.signal	0.23794	0.19861	0.598238	0.83337	0.616294	2.44417	3.29623	3.83604	8.004	15.4131	14.6019	7.02379	2.53989	0.977286	2.42528	7.48555	12.9203	10.7836	32.3378	26.543	13.4497	24.0286	17.786	3.04252	3.44449	3.13309	1.0264	1.81508	1.80452	0.476775	1.48798	1.02925	0.581074	0.765763	1.10429	0.53332	0.700103	0.319196
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.a6a9e168-f700-4b04-bb33-9eedccb77991.fc.signal	1.19789	1.54885	1.67094	1.61499	2.53563	4.0896	6.08959	8.76344	9.67214	14.6697	17.1023	6.31544	4.00102	5.87537	6.68251	13.8965	7.85114	10.5292	13.1285	8.26315	7.16445	11.1167	12.3194	7.43913	5.74275	3.79746	2.56934	3.77453	3.2554	2.49241	1.55397	0.883488	1.304	1.19787	3.90394	2.55019	1.13941	0.663236
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001447.1.0bde8c3f-07de-437f-8926-bbf417d01abf.fc.signal	0.464511	0.376031	0.966242	1.84281	0.71311	1.69976	1.3678	1.72639	14.5006	43.2082	47.9149	31.2402	11.3575	6.9989	32.2061	86.1438	117.099	139.392	122.435	80.5187	44.0996	31.865	15.5133	7.74595	2.59538	1.61043	2.11872	1.27155	0.13402	1.30245	1.50526	0.624375	0.850028	0.150523	0.352861	0.591533	0.602997	0.354995
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000014.2.2ffc3bfd-a8b5-4bc3-8298-0f71a6dfa4b0.fc.signal	0	0	0.528747	0.8928	0.052008	0.181705	0.543379	1.16367	2.12605	3.01802	4.72102	2.8178	1.90127	3.50581	2.71348	4.89142	6.23435	7.72724	8.27987	3.62722	4.84137	3.04105	1.79937	0.768714	0.562411	1.29858	0.639915	1.18516	0.203921	0.675311	0.706718	0.54985	0.334148	0.606293	0	0	0	0.432128
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000159.3.2e817463-50da-4748-b0f1-6026956a5007.fc.signal	0	0	0	0	0	0	1.21403	2.32782	9.61572	32.0701	42.5558	44.2163	26.7315	17.9139	32.2451	61.1691	87.1068	87.5316	83.9016	68.3132	43.0836	38.5681	14.3983	4.97126	3.85752	1.66443	0	0.472797	5.45482	2.65569	0.115759	0	1.16642	2.18155	3.61786	2.42245	0.935729	0.397906
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000279.2.c8dc6fda-b050-49b5-ab4a-886e58f3d031.fc.signal	0	0.541359	0.206232	1.38581	2.03651	1.59499	3.36384	7.47577	21.8723	62.3728	71.6263	34.2047	8.78964	7.38055	27.2113	82.4471	119.364	127.381	77.8662	101.3	73.0373	41.7728	23.488	9.90403	9.05564	6.05736	3.53585	3.19312	2.73227	3.06938	1.0774	0.335093	0.522174	0.473002	0.526556	0.41649	0	0.369318
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001549.1.b1238445-4a00-452e-8684-dd41797bdbb3.fc.signal	0	0	0.372577	0.359781	0	1.81555	2.95433	3.76963	23.2199	46.0733	66.3041	50.7568	20.3391	12.7406	27.0253	65.183	93.6845	117.499	96.1767	79.8399	71.1449	56.0884	40.0743	18.414	12.4262	11.9807	6.96355	3.95547	1.48145	2.80087	2.23689	1.74872	3.83404	1.62881	0.217229	0	0	0.27349
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000831.3.27a27ea1-2b00-4c14-813e-8060e6e66b8d.fc.signal	0.391461	0.644864	1.27411	0.736807	1.36314	2.63151	4.67106	10.152	20.4106	42.4142	46.3127	25.803	7.92795	6.2209	12.8888	44.0983	46.8977	36.6271	82.8022	76.6184	64.186	34.2994	13.7177	10.1005	5.04623	5.75266	2.72046	1.95737	1.51286	1.60621	2.75507	2.85004	0.516172	0.833973	3.73328	3.25648	1.87382	0.47541
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.12487572-adf6-40c8-9745-66a141c14768.fc.signal	0.658627	0.724933	1.20097	1.38135	0.533372	1.62035	4.85697	10.6153	17.3959	20.8734	30.2786	21.3874	11.3351	10.5566	19.8504	56.7725	77.4998	79.6445	55.3576	47.6675	43.2037	25.1406	20.632	6.46248	4.74345	6.01024	6.74868	3.11594	1.33745	1.17318	0.334857	1.44798	2.81593	1.80984	1.37957	1.36497	0.587282	0.457653
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000868.3.80ce343a-5712-49f6-8c5c-1e3104623262.fc.signal	0	0.462547	1.01743	0	0.285651	1.74436	0.367503	0.539388	1.48684	2.41321	4.26984	2.21987	0	0	0.650312	4.75663	7.25387	6.55526	6.69274	10.2862	2.07971	8.68426	5.6113	5.4631	3.69095	2.88006	1.62027	2.8589	1.38475	0.880019	1.21441	1.25479	1.53425	1.74798	0.94387	0.536805	0.57404	0.515899
