	chr1:31725525-31725674	chr1:31725675-31725824	chr1:31725825-31725974	chr1:31725975-31726124	chr1:31726125-31726274	chr1:31726275-31726424	chr1:31726425-31726574	chr1:31726575-31726724	chr1:31726725-31726874	chr1:31726875-31726944	chr1:31726945-31727024	chr1:31727025-31727174	chr1:31727175-31727324	chr1:31727325-31727474	chr1:31727475-31727624	chr1:31727625-31727774	chr1:31727775-31727924	chr1:31727925-31728074	chr1:31728075-31728224	chr1:31728225-31728374	chr1:31728375-31728524	chr1:31728525-31728674	chr1:31728675-31728824	chr1:31728825-31728974	chr1:31728975-31729124	chr1:31729125-31729274	chr1:31729275-31729424	chr1:31729425-31729574	chr1:31729575-31729724	chr1:31729725-31729874	chr1:31729875-31730024	chr1:31730025-31730174	chr1:31730175-31730324	chr1:31730325-31730404	chr1:31730405-31730474	chr1:31730475-31730581	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.a6a9e168-f700-4b04-bb33-9eedccb77991.fc.signal	0.204052	0.684944	0.760589	0.878045	0.323058	0.638379	0.755359	0.434951	0.600217	0.621301	0.639008	0.320495	0.356132	0.490863	0.391707	0.485817	0.91309	0.241655	0.862174	0.478141	0.511228	0.584973	0.312887	0.0686826	0.337069	1.7283	0.155172	0	0.600214	0.34085	0.453873	0.0100483	0	0.314795	0.55592	0.966226	0.538319
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.12487572-adf6-40c8-9745-66a141c14768.fc.signal	0	0.963219	0.712132	0.267468	0.653324	0.285366	0.653744	0.745003	0.964688	0.769562	0.373313	0	0	0	0	0	0.280493	1.29411	2.79765	2.159	1.42979	3.03594	1.3869	0.881115	0.879487	0.354631	0	0.54847	1.7618	1.77822	1.87215	1.40925	0.303985	0.947195	1.36053	1.38553	0.466582
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.0d6e9ac4-1ee5-4f7e-8d0d-48a48250ff2d.fc.signal	0.43346	0.443963	0.182201	0.133147	0	0	0	0.216258	0.473487	0.51012	0.433553	0.190459	0.370525	0.448509	0.0608037	0.413063	0.156399	0.0332835	0.52542	0.0718143	0.422108	0.208437	0.264469	0.702365	0.294243	0.0500539	0.4834	0.0386439	0.172216	0.295683	0.136386	0.967799	1.03556	0.666706	0.104897	0	0.575
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.2aab058a-2f5b-45b4-aeba-aa0a2d209eb3.fc.signal	0.31704	0.772961	0.75017	0.385426	0.741859	1.70552	0.801985	0.507677	1.78221	1.86956	0.777121	0.428969	1.24342	0.205159	0.545029	0.283911	0	0	0	0	0	0	0.157467	0.25692	0.31079	0.352263	1.14806	0.849631	0.240345	0	0.232057	0.696271	0.675531	0.361326	0.62171	0.562304	0.496171
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.e56e7efe-813c-4380-b8af-078cacdb962a.fc.signal	0.699981	0.147953	0	0.503869	1.30938	1.91901	0.523617	1.09285	0.768925	0.598704	0.654477	0.632744	0.421511	0.122857	0.290066	0	0.311533	0.331524	0.61921	1.52338	1.04938	0.744224	0.573168	0.0039836	0.654828	1.7826	1.04675	0.917984	0.383003	1.04691	0.373789	0.358091	0.0904156	0.554823	0.827831	0.860369	0.453146
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.afbe02e8-50de-460a-8edc-cfae9d057ff1.fc.signal	0.257612	0.704555	0.537294	0.996397	0.607937	0.497798	0.742035	1.81498	1.03508	1.23983	0.658011	1.10771	1.10097	1.78908	0.865451	0.20263	1.47532	0.737601	0.610981	0.655049	1.55788	0.869772	0	0	0	0	0	0.497198	0.487917	0	0	0.844373	0.51532	0.745261	0.585231	0.51665	0.450829
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000236.3.50e4b52f-c2ee-4e5a-94ba-4c206af20e08.fc.signal	0.508285	0.815425	0.708283	0.322201	0.110254	0.190963	0.248204	0.208384	0.269164	0.283535	0.226951	0.206828	0.494765	0.67497	0.412576	0.253818	0.234794	0.103703	0.132863	0.326004	0.607204	0.743881	0.423316	0.199807	0.295584	0.174171	0.19053	0.665625	0.853563	0.929605	0.674018	0.366599	0.436507	0.329935	0.256513	0.14377	0.87
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.38d96ded-07f5-41c6-bca5-4d0a649a7511.fc.signal	0	0	0	0.245268	0.137296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0506151	0.227774	0.0110039	0	0	0.157459	0.366815	0.0813364	0	0	0.451613
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001952.2.a99a5a16-aeda-4bbd-b32c-e69190f2f046.fc.signal	0.262191	0.501113	0.551869	0.511712	0.416562	0.0650539	0.487138	0.22472	0.295019	0.31723	0.118961	0.0719017	1.15035	0.257976	0.395405	0.34466	0	0.137466	0.533805	0.518217	0.0761352	0.112088	0.530737	0.0972839	0.204912	0.773901	0.606873	0.634356	0.585756	1.2138	0.420771	0	0.173381	0.494985	0.387818	0.0474363	0.539474
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001965.2.53f657c9-ccc3-46a9-8812-1aa30d387b18.fc.signal	0.910228	0.585584	0.839112	1.01443	0.412788	0.359421	0	0.0803409	0.502872	0.226097	0.149054	0.199846	0.0456891	0.00159993	0.787175	0.299191	0.262393	0.281593	0	0	0.628781	0.459186	0	0.148795	0.367556	0.515955	0.548787	0.267193	1.52636	1.40477	0.735979	0.40788	0.106616	0.245608	0.252353	0.289336	0.729167
