	chr1:39080863-39080912	chr1:39080913-39081012	chr1:39081013-39081162	chr1:39081163-39081242	chr1:39081243-39081312	chr1:39081313-39081382	chr1:39081383-39081462	chr1:39081463-39081612	chr1:39081613-39081762	chr1:39081763-39081912	chr1:39081913-39082062	chr1:39082063-39082212	chr1:39082213-39082292	chr1:39082293-39082362	chr1:39082363-39082512	chr1:39082513-39082662	chr1:39082663-39082812	chr1:39082813-39082962	chr1:39082963-39083112	chr1:39083113-39083152	chr1:39083153-39083262	chr1:39083263-39083412	chr1:39083413-39083562	chr1:39083563-39083712	chr1:39083713-39083832	chr1:39083833-39083862	chr1:39083863-39084012	chr1:39084013-39084162	chr1:39084163-39084312	chr1:39084313-39084462	chr1:39084463-39084612	chr1:39084613-39084762	chr1:39084763-39084912	chr1:39084913-39084982	chr1:39084983-39085062	chr1:39085063-39085152	chr1:39085153-39085212	chr1:39085213-39085282	chr1:39085283-39085362	chr1:39085363-39085512	chr1:39085513-39085592	chr1:39085593-39085662	chr1:39085663-39085762	chr1:39085763-39085812	chr1:39085813-39085917	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.12487572-adf6-40c8-9745-66a141c14768.fc.signal	10.2088	21.8187	25.3948	24.4764	19.9798	29.3084	45.5639	54.3894	48.9331	45.9585	40.8541	32.261	21.8938	15.0475	12.6526	6.23786	4.77665	5.58265	4.82798	3.91938	1.95314	1.49767	1.20416	0.755833	1.15975	0.946933	1.19928	0.974428	1.74437	2.31606	1.4358	0.599498	0.438893	0.748383	0.688795	0.24105	0.37566	1.15146	0.949526	0.892288	1.06132	0.957175	2.43619	2.35978	2.08001	0.520231
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.e56e7efe-813c-4380-b8af-078cacdb962a.fc.signal	6.9	14.3982	19.5083	16.7807	9.48223	13.4865	30.0181	36.4635	26.1212	43.8999	38.7459	20.415	6.5473	6.38202	9.60483	4.16783	5.42878	5.25225	1.91493	2.06409	2.6232	2.91811	1.30491	2.05224	3.04825	2.37013	2.14543	1.90372	1.60489	1.00458	0.658144	0.978132	0.739764	1.49731	3.05168	3.96838	3.14415	2.65977	2.8616	1.77277	1.95227	1.35036	0.735654	0.82196	0.909329	0.359712
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.afbe02e8-50de-460a-8edc-cfae9d057ff1.fc.signal	5.83264	11.0232	22.4928	12.0234	1.47449	2.96083	9.98093	21.0009	14.5272	46.0864	12.8978	38.5613	33.8856	20.7257	10.8445	11.3577	8.99901	11.948	4.76495	4.16647	2.49217	0.847704	2.37262	4.73968	5.82138	2.75242	2.27903	0.531653	2.33461	1.65146	0.993442	1.01834	0.758626	0.754896	2.24601	1.75844	0.73494	1.99357	3.93255	4.21588	1.56498	0.15574	1.11807	4.27725	4.00281	0.463014
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.7114bd47-4fa8-4cc2-a314-a8f63b9a798b.fc.signal	7.10626	16.4882	29.1372	26.1861	12.246	18.359	50.8103	75.0185	50.1907	84.4656	68.2287	45.0809	22.8354	14.3502	9.05072	5.7598	4.41047	4.65938	1.72816	2.44362	2.91414	2.11582	0.7366	0.607743	1.15935	0.461744	0.129733	0.883079	0.752804	1.70528	0.537677	0.659329	0	0	0.034902	0.692832	0.749591	1.28153	1.05026	0.547634	0.278558	0	0.390686	0.620042	1.35964	0.340237
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.d0662727-3cb8-42a6-9eb8-875cfded9c1e.fc.signal	4.9421	5.7216	7.99289	2.48504	0.175668	2.04532	10.7527	16.4645	13.7767	15.1821	6.86491	6.26567	12.2679	13.7318	16.9544	11.9732	8.75255	6.35121	4.27082	1.09791	1.4213	1.90309	0.917029	1.25015	0.370992	0	0	0.156149	0.249839	0.687054	0.675342	0.402085	0.0156149	0.0460083	0.706327	1.10279	0.473323	0	0	0.167861	0.490407	0.29278	0.087834	0	0.18961	0.5875
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002058.1.74e68fe6-66c5-49bf-a809-80390106feb5.fc.signal	4.2421	4.28686	2.66141	2.19344	0.124513	0	0	0	0.0271171	0.577305	0.109451	1.75676	11.9225	16.2193	10.7764	6.75942	9.16496	9.22578	7.2813	5.13858	3.99978	2.69325	1.47797	2.0097	1.20925	0.944455	0.949708	0.692424	3.14702	3.25575	2.50661	1.73109	0.302157	1.49408	2.71641	2.27898	0.736	0.332046	0.994993	2.31481	1.58867	0.385851	0.822697	0.52957	0.659443	0.441176
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.7418f6bc-6e40-4cd9-9c59-6013c4a60b00.fc.signal	6.72782	8.6067	7.29097	4.74601	3.06197	3.22946	5.48626	7.28698	8.06457	12.9767	7.58559	10.0246	9.92009	7.56763	6.34865	6.17468	4.29683	3.46068	2.25524	2.05923	2.84494	3.50163	2.21293	1.0508	2.17598	1.99411	1.35276	1.51423	1.42856	2.02618	2.82779	2.20656	3.41101	1.8121	1.90307	1.89016	1.7185	1.37748	1.42199	1.65296	1.31606	0.880363	0.649335	1.08821	1.4315	0.377551
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.c5ef21e4-195e-4160-bc6c-4a5cf2e91a44.fc.signal	9.53958	15.7296	23.4778	12.5468	2.10874	1.80909	4.78763	12.4821	8.70641	27.0463	7.83108	21.4164	15.7251	10.1177	12.8697	5.65849	8.18434	4.37592	10.2809	8.23505	4.66138	3.9467	1.88362	3.53778	3.62554	1.55382	2.08212	3.4443	2.16499	4.09407	2.59961	1.33111	0.890857	2.28634	2.83572	4.29883	3.3959	2.14843	4.67121	1.65222	1.37902	1.54125	0.367813	0.43718	1.20053	0.367347
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001997.1.f0f49cb4-faa4-493d-95f6-28ba67fd8f5a.fc.signal	7.9322	6.21514	4.06484	2.05465	0	0	0.806378	1.05863	0.653348	1.57962	0.339054	10.4661	22.1749	19.6273	14.3736	11.7727	7.59869	6.05976	3.07391	1.40608	1.08831	1.47969	1.34009	0.643673	0.445232	0.130236	0	0.592619	0.508716	1.15408	1.2835	1.27206	0.526867	0.291979	1.38299	1.39121	0.496176	0.336691	0.961423	0.937381	0.616924	0.562176	0	0.12059	1.53471	0.544444
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003833.4.13578db3-4212-4341-9822-49765f351d24.fc.signal	0.397566	0.459404	0.99526	0.695666	0.145143	0.176681	1.80539	3.9811	7.33497	4.71724	1.54296	0.300355	0.44174	0.790758	1.20845	0.650933	0.403561	1.02816	0.38568	0.370521	0.41248	0.712019	0.4063	0.591692	1.13001	1.28142	1.63364	1.07302	0.0736233	0.44174	0.0736233	0.453475	1.17785	0.264896	0	0	0.0157028	0.689579	1.69383	1.9091	0.876279	0.354537	1.05694	1.3251	0.893349	0.486486
