	chr5:179835385-179835494	chr5:179835495-179835534	chr5:179835535-179835684	chr5:179835685-179835834	chr5:179835835-179835984	chr5:179835985-179836134	chr5:179836135-179836284	chr5:179836285-179836434	chr5:179836435-179836584	chr5:179836585-179836734	chr5:179836735-179836884	chr5:179836885-179837034	chr5:179837035-179837184	chr5:179837185-179837334	chr5:179837335-179837484	chr5:179837485-179837634	chr5:179837635-179837784	chr5:179837785-179837934	chr5:179837935-179838084	chr5:179838085-179838234	chr5:179838235-179838384	chr5:179838385-179838534	chr5:179838535-179838684	chr5:179838685-179838834	chr5:179838835-179838984	chr5:179838985-179839134	chr5:179839135-179839224	chr5:179839225-179839284	chr5:179839285-179839434	chr5:179839435-179839584	chr5:179839585-179839734	chr5:179839735-179839884	chr5:179839885-179840034	chr5:179840035-179840184	chr5:179840185-179840334	chr5:179840335-179840484	chr5:179840485-179840634	chr5:179840635-179840784	chr5:179840785-179840934	chr5:179840935-179841084	chr5:179841085-179841234	chr5:179841235-179841384	chr5:179841385-179841534	chr5:179841535-179841684	chr5:179841685-179841834	chr5:179841835-179841984	chr5:179841985-179842134	chr5:179842135-179842284	chr5:179842285-179842434	chr5:179842435-179842584	chr5:179842585-179842734	chr5:179842735-179842884	chr5:179842885-179843034	chr5:179843035-179843184	chr5:179843185-179843334	chr5:179843335-179843372	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.a6a9e168-f700-4b04-bb33-9eedccb77991.fc.signal	0	0.200324	1.0911	0.38153	0.536623	0.402204	0.633547	0.817953	0.298551	0.743942	1.65611	0.270515	0.488664	0.175501	0.808752	1.63278	0.183686	0.769923	1.23339	1.24344	0.367759	0.244207	0.959638	1.11265	0.227428	0	0.20658	0.285233	0.242504	0.37035	0.619092	1.30662	1.42402	0.323549	0.347431	0.265069	0	0	0.184364	0.444838	0.129734	0	0.287427	1.65059	0.969021	1.30983	0.358216	0	0	0	0	0	0	0.239392	0.464512	0	0.405405
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001447.1.0bde8c3f-07de-437f-8926-bbf417d01abf.fc.signal	0	0	0	0.491405	0.195875	0	0.153976	0.569155	0.49508	0.111981	0.656407	1.64623	1.70797	0.484532	0.869409	0.0206184	0.0418181	0.578148	1.35508	0.527456	0.655916	0.0618552	0.216493	0.462508	0	0	0	0.0979837	0.474064	0.309276	0.475603	0.559508	1.37121	0.130583	0.0363939	1.26296	0.754142	0.320086	1.19249	0.841954	0.415804	0.957986	0.621815	0	0.287121	0.1413	0	0	0.170258	0.359715	0	0	0	0	0.697616	2.06197	0.82
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000014.2.2ffc3bfd-a8b5-4bc3-8298-0f71a6dfa4b0.fc.signal	0	0	0	0	0	0.119372	1.34506	0.881533	1.02109	0.490752	1.37467	0.809686	0	0	0.723567	0.680436	2.43136	1.26985	1.48655	1.12982	1.21516	1.57323	0.611937	0	0.390699	0.268708	0	0	0.491284	0.593758	0.381392	0	0	0	0	0	0	0.641432	0.121352	0.589016	0.0464231	0	0.86246	0.901467	0.710775	0.472406	0	0.289622	0.338225	0.34672	0.39006	0.052008	0.6501	0.0285636	0.707687	1.06068	0.567568
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000279.2.c8dc6fda-b050-49b5-ab4a-886e58f3d031.fc.signal	0	0	0	0	0	0.445684	0.645167	0	0.619131	0.773575	0.915966	0.252537	0.067422	0.982377	0.0523031	0.860247	2.14224	0.577391	0.502926	0.0537702	0	0	0	0.541359	0.206232	0.128895	1.33178	1.15996	0.103116	0.0866835	0.709868	0.934579	0	0	0.0962966	0.349215	0	0.273257	0.474334	0	0	0	0	0.30809	0.198631	0	0	0	0	0	0	0	0	0	0	0	0.584091
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001549.1.b1238445-4a00-452e-8684-dd41797bdbb3.fc.signal	0	0	0	0	0	0	0.319035	0.0616837	0.401635	0.537347	0.844629	0.219141	0.258347	0	0	1.05064	1.11295	0.150112	0.113294	1.29809	0.830447	0	0	0	0	0	0.315933	1.9312	2.56866	1.06104	1.04293	0.229532	0	0	0	0.004739	0.92323	0.333391	0.259494	0.270123	0.216269	0.458808	1.72974	0.962017	0.322252	0.644504	0	0	0.265384	0.800618	0.399918	0	0.180082	0.554463	1.09945	1.71799	0.885434
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.12487572-adf6-40c8-9745-66a141c14768.fc.signal	0.415919	0.750604	1.07447	0.777917	0.188062	0	1.21469	2.32566	2.77449	2.47909	1.94451	1.22434	0.224672	1.70829	0.64569	0.0572997	0.624602	0.0667861	0.481996	2.14456	1.24772	0.0872794	0.451617	0.299282	0.786653	0.231328	0.380119	0.12522	0	0.542751	0.439967	0	0.584485	1.06451	0.775646	2.06796	1.61614	0.943742	0.873919	0.541366	0.356289	0.33563	0.303787	0.795253	2.54388	1.58072	0.417986	0.730991	0.103514	0	0.399205	0.592698	0.650927	0.676275	0	0	0.126214
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000868.3.80ce343a-5712-49f6-8c5c-1e3104623262.fc.signal	0.0253395	1.50507	1.23747	1.54219	0.702412	0	0	0.453409	0.6041	1.61399	1.94369	2.64213	4.54521	1.52612	0.718109	0.208107	1.35265	0.776742	0.00371647	0	0.412528	0.36793	0	0	0	0	0	0	0	0	0	0.204406	0.576052	0	0.416244	0.364214	0.587202	0.193256	0	0.572336	0.208122	0.201181	0.49895	0.780458	0	0	0	0	0	0	0	0	0	0.702374	1.95462	1.37888	0.791908
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003814.1.10334cc2-577d-467e-a601-b7232b684380.fc.signal	0	0	0	0	0	0.0918865	0.617741	1.293	0.989567	0.414703	0.648583	0.468979	0.0747884	0.570989	1.44338	1.57476	1.12583	1.35438	1.33138	0.472731	0.370127	0.740328	0.747523	1.27447	0.786818	0.122884	0.116242	0.622725	0.733985	0.627706	1.04012	1.11497	1.14712	0.611097	0.499286	1.13695	0.82587	0.435077	0.671386	0.715683	0.418471	0.104064	0.233929	0.610942	0.428095	0.306686	0.322429	0.197085	0.0910309	0.612393	0.592281	0.180452	0.391902	0.390876	0.200453	0.139252	0.313853
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.0d6e9ac4-1ee5-4f7e-8d0d-48a48250ff2d.fc.signal	0	0	0.131381	0.469392	0.0297829	0.273255	1.36094	0.77945	0.524306	0.20829	0.197925	0.945743	0.246735	0.923344	0.712041	0.380066	0.357326	0.478147	0.656818	1.19984	0.562243	1.33731	0.913457	1.21634	0.528337	0.50616	0.0291989	0.152941	0.504476	0.0736621	0.618856	0.853749	0.0610199	0.570652	1.58682	0.933381	0.233464	0.0498441	0.180109	0.239487	1.56411	1.5974	0.69888	1.00191	0.837266	0.518463	1.60791	0.444893	0.376618	0.868815	0.0157674	0	0	0	0.0210232	0.663764	0.820312
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000709.3.2e9e766f-a8f0-4144-be3d-bffc3ef3aedd.fc.signal	0	0	0.0809514	1.58384	2.15774	0.0809513	0	0	0	0	0	0	0.309418	0.629158	0	0	0	0	0	0	0	0	0.394836	0.811889	0	0	0	0	0.651868	0.66891	0	0	0	0	0	0	0	1.26965	0.0511269	0	0	0	0	0	0	0	0	0	0.0553878	1.21426	0.0511272	0	0	0	0	0	0.484277
