	chr19:54925105-54925254	chr19:54925255-54925304	chr19:54925305-54925404	chr19:54925405-54925554	chr19:54925555-54925704	chr19:54925705-54925804	chr19:54925805-54925854	chr19:54925855-54926004	chr19:54926005-54926064	chr19:54926065-54926154	chr19:54926155-54926284	chr19:54926285-54926304	chr19:54926305-54926454	chr19:54926455-54926524	chr19:54926525-54926564	chr19:54926565-54926604	chr19:54926605-54926624	chr19:54926625-54926714	chr19:54926715-54926754	chr19:54926755-54926904	chr19:54926905-54926994	chr19:54926995-54927054	chr19:54927055-54927104	chr19:54927105-54927204	chr19:54927205-54927264	chr19:54927265-54927354	chr19:54927355-54927414	chr19:54927415-54927504	chr19:54927505-54927524	chr19:54927525-54927654	chr19:54927655-54927704	chr19:54927705-54927734	chr19:54927735-54927804	chr19:54927805-54927954	chr19:54927955-54928104	chr19:54928105-54928144	chr19:54928145-54928244	chr19:54928245-54928254	chr19:54928255-54928404	chr19:54928405-54928554	chr19:54928555-54928704	chr19:54928705-54928854	chr19:54928855-54928944	chr19:54928945-54929004	chr19:54929005-54929064	chr19:54929065-54929154	chr19:54929155-54929304	chr19:54929305-54929344	chr19:54929345-54929404	chr19:54929405-54929434	chr19:54929435-54929454	chr19:54929455-54929604	chr19:54929605-54929704	chr19:54929705-54929754	chr19:54929755-54929804	chr19:54929805-54929904	chr19:54929905-54929984	chr19:54929985-54930034	chr19:54930035-54930054	chr19:54930055-54930134	chr19:54930135-54930204	chr19:54930205-54930275	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.0d6e9ac4-1ee5-4f7e-8d0d-48a48250ff2d.fc.signal	1.3189	1.18231	1.20858	0.625328	0.026279	0	0	0.362554	0.52542	0.096351	0.247851	0.52542	0.537516	0.520432	0.384095	0.403841	0.352065	0.49691	0.520659	0.282045	0.510829	0.26279	0.231255	0.380974	0.507911	0.218992	0.306498	0.52542	0.52542	0.430472	0.52542	0.770691	0.47665	0.782937	1.46431	0.387567	0	0	0.425596	0.48167	0.353823	0.152062	0.958175	0.840411	0.244464	0.457418	0.359031	0.26279	0.420368	0.52542	0.52542	0.183941	0.14714	0.52542	0.52542	0.273241	0	0	0	0.00321875	0.41829	0.747027	0.373057
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001952.2.a99a5a16-aeda-4bbd-b32c-e69190f2f046.fc.signal	0	0	0	0.47787	0.262201	0	0	0	0.0740203	0.346424	0.461237	0.309262	0.0296081	0	0	0	0	0	0	0	0	0	0.304532	0.63432	0.475775	0.0422973	0	0	0	0	0.368691	0.44685	0.453238	0.283836	1.19054	0.824658	0.536022	0.63432	0.285474	0.0642665	0.49661	0.09006	0	0	0.0771583	0.52946	0.286669	0	0	0	0	0	0	0.355278	0.63432	0.558218	0.0713767	0	0	0	0	0	0.52381
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000974.7.af2fffce-696b-421a-8732-73b351c68c67.fc.signal	1.19087	0.585313	0.717758	0.979444	0.802471	0	0	0	0	0.0426106	0.356494	0	0.229357	0.695272	0.66249	0.182185	0.529992	0.66249	0.066249	0	0.080971	2.52852	2.50423	0.0728744	0	0	0.110415	1.94331	1.65623	0.558421	0	0.874665	1.59126	0.560044	0	0	0	0.331245	0.875138	0.420192	0	0	0.484151	0.434467	0.498114	0.831256	0.132373	0.60392	1.20595	0.644676	1.23429	1.00507	1.1192	0.385358	0.119616	1.29411	0.0745301	0	0	0	0	0	0.250907
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003836.3.979da4d3-974d-4990-8869-1f61f20d4ee3.fc.signal	0.224208	0.027456	0.368809	0.264172	0	0	0	0.212741	0.34686	0.09635	0.437538	0.69357	0.332963	0.317129	0.34686	0.34686	0.520215	0.389236	0.72829	0.952559	0.481692	0.358417	0.631162	0.499311	0.722297	1.0096	0.791862	0.127182	0	0.250759	0.69357	0.739625	0.783769	0.253208	0.566485	0.814971	0.606882	0	0.101746	0.806652	2.45068	1.85892	0.986489	0.410198	0.982273	1.01713	0.525225	0.687726	0.892599	1.05777	1.40239	1.19285	1.10643	1.9867	1.31094	0.703997	0.342524	0	0.260145	0.34686	0.34686	0.0488535	0.557803
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001958.3.6c69236e-c3b7-44e9-b4df-92ecc399b775.fc.signal	0	0	0	0	0	0	0	0.144745	0.49912	0.49912	0.138456	0	0.143854	0.423983	0.371888	0.368703	0.500504	0.425232	0.296379	0.192777	0	0	0	0	0	0	0	0	0	0.0671892	0.384322	0.484213	0.604457	1.04348	0.648912	0	0	0	0	0	0	0	0	0	0.157348	0.332936	0.404398	0.48303	0.49912	0.49912	0.49912	0.327755	0.037434	0.354375	0.49912	0.693831	0.730051	0.49912	0.49912	0.255799	0	0	0.453608
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003716.2.82753642-3854-4352-953d-733f91022d45.fc.signal	1.35366	0.911021	1.08804	2.51975	1.94239	1.35262	1.08394	1.04974	1.54564	1.11022	0.825098	1.69793	2.41	2.24845	1.03613	0.9109	0.751468	0.45538	0.0113845	0.19126	0.45538	0.617797	0.45538	0.512095	0.561668	0.425254	0.234947	0.141936	0.309336	0.367222	0.434028	0.45538	0.735199	0.634551	0.0212511	0	0	0	0.277842	0.102601	0.468361	1.3756	1.6681	0.77536	0.353531	0	0.0941119	0.45538	0.45538	0.45538	0.45538	0.0576815	0	0.322896	0.412588	0.45538	0.0398457	0	0.22769	0.473875	0.883324	0.97947	0.228188
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003692.4.1a3a09f8-b5c3-470d-84e4-3495b32d631e.fc.signal	0.273746	0.272087	0.153702	0.115221	0.298692	0.672066	0	0	0	0	0	0	0	0	0	0.254702	0.325859	0.357256	0.111987	0.363336	0.0165907	0	0	0	0	0	0	0.199088	1.00806	1.55654	0.567469	0.37329	0	0.313564	0.0597264	0	0	0	0	0.139915	0.971427	0.71541	0.0776114	0	0	0.00404289	0.49886	0.158681	0	0	0	0	0	0	0	0	0	0	0	0	0.400044	0.872943	0.637255
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000332.2.1a052aa3-c30b-4bd9-a36e-88509a9880d1.fc.signal	0	0	0.52214	0.214493	0.504214	0.0321744	0	0.631561	0.22253	0	0	0	0	0	0	0	0	0	0	0.551027	0.282578	0	0.114444	0.548109	0.551174	0.00595822	0.47685	1.441	1.90724	0.98296	0	0	0	0	0	0	0.510773	1.07234	0.77478	0	0	0	0	0	0	0	0	0	0	0	0	0.483208	0.356048	0	0	0	0	0	0	0.015895	0.634378	0.500257	0.529412
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.7068c481-8ff6-44d4-a083-44198d2e24ac.fc.signal	0	0	0	0	0	0	0	0	0	0.867809	0.663818	0.38379	0.456629	0.862174	0.86373	0	0	0	0	0	0.578707	0.85109	0.574029	0.542562	0.787227	0.191903	0.287155	0.843992	0.82535	0.493328	0.997888	0.76759	0.619563	0	0.0307045	0.57571	0.612531	0.433321	0.327514	0.261799	0.825952	0.67049	0.534555	0	0	0	0	0	0	0	0	1.09896	0.631414	0	0	0	0	0	0	0	0	0	0.478088
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003821.3.da6c437f-abda-49d1-85e6-0f9a1e21a949.fc.signal	0	0	0	0.0536116	0.380387	0	0	0.329328	0.261676	0.225509	0.559755	0.38294	0.189993	0	0	0	0	0	0	0	0	0	0	0.268058	0.58726	0.553207	0.40848	0.468073	0.731108	0.9564	1.04526	1.14898	0.804304	0.7124	0.303862	0.752885	0.498409	0.72773	1.2459	0.914112	0.531072	1.10815	1.79767	0.608246	0.328592	0.502767	0.801646	1.59181	1.07652	0.997164	0.966714	0.68587	0.0026376	0.212045	0.329205	0.272947	0	0	0	0	0	0	0.730159
