	chr12:42349385-42349454	chr12:42349455-42349534	chr12:42349535-42349574	chr12:42349575-42349684	chr12:42349685-42349704	chr12:42349705-42349754	chr12:42349755-42349834	chr12:42349835-42349984	chr12:42349985-42350134	chr12:42350135-42350284	chr12:42350285-42350434	chr12:42350435-42350584	chr12:42350585-42350734	chr12:42350735-42350884	chr12:42350885-42351034	chr12:42351035-42351184	chr12:42351185-42351334	chr12:42351335-42351484	chr12:42351485-42351634	chr12:42351635-42351784	chr12:42351785-42351934	chr12:42351935-42352084	chr12:42352085-42352234	chr12:42352235-42352384	chr12:42352385-42352534	chr12:42352535-42352684	chr12:42352685-42352834	chr12:42352835-42352984	chr12:42352985-42353134	chr12:42353135-42353284	chr12:42353285-42353434	chr12:42353435-42353584	chr12:42353585-42353734	chr12:42353735-42353884	chr12:42353885-42354034	chr12:42354035-42354184	chr12:42354185-42354334	chr12:42354335-42354484	chr12:42354485-42354549	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000076.3.8c8cf71c-e370-472d-89ef-87dbd2cde25f.fc.signal	0	0	0	0	0	0	0	0	0	0	0.73884	0.254176	0	0.221717	0.278498	0	0.294595	0.35028	0.219428	0.0824511	0.251893	0.253195	0.322757	0	0.276327	0.296331	0.533828	0.249155	0.0797781	0.666366	0.662519	0.382078	0	0.0930623	0.215009	0	0.111021	0.803293	0.599119	0.651515
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.a6a9e168-f700-4b04-bb33-9eedccb77991.fc.signal	0.457812	0	0	0	0	0	0	0.228936	0.269643	0.264555	0.729961	0.414569	0	0.180878	0.786199	0.0207349	0.277124	0.740939	0.894472	1.93485	1.14569	1.48192	0.5265	1.11553	0.0662925	0.27831	1.50593	0.885101	0.3078	0.709565	0.0531585	0.195281	0.55986	0.221262	0.437179	0.0393413	0.0840017	0.0827312	0.219733	0.507123
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001447.1.0bde8c3f-07de-437f-8926-bbf417d01abf.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.223366	0.403827	0.135701	0.870493	0.034364	0	0.542951	0.957395	0.288921	0	0	0	0.13402	0.573879	0.460253	0.0489912	0.175256	0.719955	0.321947	0.986689	1.15828	0.295045	0	0	0	0.70291
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000014.2.2ffc3bfd-a8b5-4bc3-8298-0f71a6dfa4b0.fc.signal	0.113685	0	0	0	0	0	0	0	0	0.156024	0.580756	0	0	0.060676	1.54723	1.11284	1.9143	1.85034	2.30344	1.48038	0.455209	1.64258	1.76392	1.57323	0.91447	0.320716	0.416064	0	0	0	0	0.806534	0.577511	0.280955	0	0	0.073678	0.927472	1.33019	0.644536
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000159.3.2e817463-50da-4748-b0f1-6026956a5007.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.746603	1.47037	0.702176	2.50941	0	0	0.852656	0.385511	0	0	0	0	0.823838	1.6348	1.93087	0.115852	0	0	0	0	0	0	0	0	0	0.579487
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000279.2.c8dc6fda-b050-49b5-ab4a-886e58f3d031.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0979602	0.649631	0	0	0.334677	0.461274	0.298711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103116	0.644475	0	0.549223
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001549.1.b1238445-4a00-452e-8684-dd41797bdbb3.fc.signal	0	0	0	0	0	0	0	0	0	0.526029	0.208516	0	0	0	0	0	0.121793	0.609964	0	0	0.331065	0.156431	0	0.338748	0.393337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.613924
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000831.3.27a27ea1-2b00-4c14-813e-8060e6e66b8d.fc.signal	0.936165	0	0	0	0	0	0.284651	1.12748	0.218362	0.915951	1.84666	1.78153	1.3805	0.0344085	0	0	0	0.160108	0.300701	0.219261	0.613914	0.289932	0.75003	1.29998	0.143211	0	0.158243	1.45345	0.569168	0.0019132	0.726029	0.46344	0.355527	0	0.141601	0.496555	0.408056	0.564608	0.582044	0.563177
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.12487572-adf6-40c8-9745-66a141c14768.fc.signal	0.508179	0	0	0	0	0	0	0	0.34761	0.422275	0	0.559964	0.211027	1.15077	0.722367	0.286059	0	0	0	0.139998	0.221911	0	0.0735435	1.24111	1.02441	0.764485	0	0	0	0	0.0289263	0.487053	0.49738	0.523167	0.488747	0.468943	0.202083	0.468453	0.418357	0.621652
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000868.3.80ce343a-5712-49f6-8c5c-1e3104623262.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0.40905	0.28153	0	0	0.256931	0.476293	0.392301	0.45814	0.498885	0.0355047	0	0	1.14893	0.327865	0	0.632969	0.234493	1.23292	0.171203	0	0.283374	0.04583	0.349595	0.198515	0.520416	0.164984	0.545445	0.516144
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003814.1.10334cc2-577d-467e-a601-b7232b684380.fc.signal	0	0	0	0	0	0	0	0.290051	0.469396	0.126206	0	0	0.306657	0.545784	0.033212	0	0.0059796	0.141574	0.111638	0.179767	0.34588	0.489244	0.309437	0.211573	0.734484	0.421792	0.276767	0.261268	0	0.0797088	0.618213	0.126608	0	0.215878	1.26867	1.38709	0.89672	0.352444	0.465045	0.655235
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.0d6e9ac4-1ee5-4f7e-8d0d-48a48250ff2d.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0.0578138	0.50441	0.0683254	0	0	0.424505	0.988387	0.252735	0.0117812	0.221896	0.178098	0	1.00365	0.888051	0.425621	0.772453	0.167423	0.310025	0.0161568	0	0	0	0	0	0	0	0	0.508674
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000709.3.2e9e766f-a8f0-4144-be3d-bffc3ef3aedd.fc.signal	0.593438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147835	0.927725	0.305077	0.973007	1.35255	2.03037	0.668427	1.12048	0.574206	0.235758	2.23133	0.13765	0.708165	2.61148	0.564403	1.52297	2.11731	0.588332	0.907796	0.521009	0.645524	0.102927	0.0735249	0.647727
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000250.2.b7b102bf-d880-40c6-aa7d-dceb11c67807.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.176431	0.822528	0.74876	0.601451	0.408459	0.0303439	0	0	0	0	0	0	0	0	0	0	0	0	0.229895	1.46479	0.194938	0	0	0.484104
