	chr15:25336757-25336906	chr15:25336907-25337056	chr15:25337057-25337206	chr15:25337207-25337356	chr15:25337357-25337506	chr15:25337507-25337656	chr15:25337657-25337806	chr15:25337807-25337956	chr15:25337957-25338106	chr15:25338107-25338256	chr15:25338257-25338406	chr15:25338407-25338556	chr15:25338557-25338706	chr15:25338707-25338856	chr15:25338857-25339006	chr15:25339007-25339156	chr15:25339157-25339306	chr15:25339307-25339456	chr15:25339457-25339606	chr15:25339607-25339756	chr15:25339757-25339906	chr15:25339907-25340056	chr15:25340057-25340206	chr15:25340207-25340356	chr15:25340357-25340506	chr15:25340507-25340656	chr15:25340657-25340806	chr15:25340807-25340956	chr15:25340957-25341106	chr15:25341107-25341256	chr15:25341257-25341406	chr15:25341407-25341556	chr15:25341557-25341706	chr15:25341707-25341856	chr15:25341857-25342006	chr15:25342007-25342156	chr15:25342157-25342306	chr15:25342307-25342456	chr15:25342457-25342585	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.a6a9e168-f700-4b04-bb33-9eedccb77991.fc.signal	1.38716	1.76504	1.14448	0.728895	0.429095	0.110539	0.682321	0.570568	0.459302	0.274828	0.943434	0.789489	1.03382	0.363713	0.254372	0.508692	0	0	0.67485	0.571445	1.27163	1.08599	1.05801	0.358676	0	0.180576	1.29197	0.0974998	0.491381	0.915884	0.747705	0.422723	0.948642	1.13686	2.19993	0.661123	0.456433	0.657303	1.56384	0.492462
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001447.1.0bde8c3f-07de-437f-8926-bbf417d01abf.fc.signal	0	0	0.116631	0.723584	0.608592	0.0731671	0.397285	0.490824	0	0	0	0	0	0	0.261223	0.401418	0	0	0.891648	0.683155	0.21808	0.0514418	0.400567	0.468962	0.0659296	0.224669	0.485009	0.464285	0.468121	0.14556	0	0.597187	0.639224	0.253282	0.348833	0.0907213	0.29648	0.0285555	0.342953	0.900677
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000014.2.2ffc3bfd-a8b5-4bc3-8298-0f71a6dfa4b0.fc.signal	0.948324	1.74226	0.764585	0.426631	3.96977	0.953477	0.631475	0.030338	0	0	0.595835	1.9605	1.52989	0	1.49522	1.45188	0.784451	0.523154	0.20521	0.424815	0.560176	1.14395	1.18912	2.79492	0.852769	0.564831	1.1463	0.823016	0.251855	0.172929	1.17431	0.020108	0	0.00331593	0.570507	0.0741165	0.547829	0.459241	1.11599	0.814103
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000279.2.c8dc6fda-b050-49b5-ab4a-886e58f3d031.fc.signal	0.554063	0.460384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.201734	0.483754	0	0	0.266957	0.734331	0	0	0	0	0	0	0	0	0	0	0	0	0.725664
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001549.1.b1238445-4a00-452e-8684-dd41797bdbb3.fc.signal	0.108088	0.324214	0.38445	0.128302	0.312862	0.240003	0	0.258976	0.105783	0	0	0	0	0	0.273025	0.0514872	0	0	0.0818183	0.668548	0.158876	0.0930684	0.189442	0	0.232173	0.60455	0.294926	0	0	0	0	0	0	0	0	0	0.183808	0.36855	0.301843	0.596273
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000831.3.27a27ea1-2b00-4c14-813e-8060e6e66b8d.fc.signal	0.671739	2.13723	1.50661	0.846974	0.296741	0.274626	1.07385	0.304658	0.0640058	0.438167	1.15409	1.69872	0.420638	0.638777	0.0264975	0.382505	0.0907735	0.792021	0.579023	0.53453	0.0257643	0.552431	0.707962	0.0618768	0.280466	0.468679	1.62973	1.86735	1.13173	2.62714	1.24998	0.947729	0.679175	0	0.387382	0.774229	0.900364	1.52799	0.425655	0.775862
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000868.3.80ce343a-5712-49f6-8c5c-1e3104623262.fc.signal	1.02133	1.13827	0.56291	0.741784	1.62912	2.02099	0.269975	0.486915	1.38112	0.537278	2.60369	1.78777	2.07462	2.356	1.08895	1.18387	2.44351	0.954333	1.26676	0.712033	2.16186	0.469794	1.64483	0.832997	0.538253	0.400267	0.961214	0.564541	0.287225	0.0948736	0.525518	1.10101	0.541355	2.15939	2.78114	0.237103	0.976796	0.648864	0	0.819788
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003814.1.10334cc2-577d-467e-a601-b7232b684380.fc.signal	0.216425	0.322044	0.0895647	0.19524	0.16321	0.204825	0.632067	0.460703	0.215966	0.59265	0.928597	0.566818	0.46054	0.272338	0.281195	0.12842	0.114567	0.337571	1.12484	0.647287	0.13425	0	0.181559	0.781586	0.639811	0.363261	0.691124	0.389555	0.0607484	0	0	0	0.12067	0.422899	0.191257	0.157593	0.312616	0.0287837	0.107918	0.524752
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.0d6e9ac4-1ee5-4f7e-8d0d-48a48250ff2d.fc.signal	0.447913	0.523638	0.67638	0	0	0	0	0	0	0.140567	0.318982	0	0.579064	0.6542	0.868862	0.672319	0.855064	0.666904	0.0104314	0.460705	0.926904	0.426768	0.0893801	0.166718	0.823264	0.131203	0	0	0.0989952	0.41629	0.0510289	0.239591	0.512779	0.381515	0	0.634505	0.492161	0.0984682	0.785784	0.647059
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000709.3.2e9e766f-a8f0-4144-be3d-bffc3ef3aedd.fc.signal	0.962935	2.50321	1.37574	0	0	0	0	0.176664	1.38645	1.63582	1.46929	1.09326	1.11255	0	0.0381494	1.51201	0.405554	0.556104	1.28865	1.60338	2.0407	0.94954	0	0.821879	1.09027	0.417214	0.964578	0.670027	0.832892	0	0	0	0	0.248372	0.65121	2.01164	0.814588	0	0	0.789474
