	chr19:54506535-54506684	chr19:54506685-54506834	chr19:54506835-54506924	chr19:54506925-54506984	chr19:54506985-54507134	chr19:54507135-54507284	chr19:54507285-54507434	chr19:54507435-54507584	chr19:54507585-54507734	chr19:54507735-54507884	chr19:54507885-54508034	chr19:54508035-54508184	chr19:54508185-54508334	chr19:54508335-54508484	chr19:54508485-54508634	chr19:54508635-54508784	chr19:54508785-54508844	chr19:54508845-54508874	chr19:54508875-54508914	chr19:54508915-54508934	chr19:54508935-54509084	chr19:54509085-54509214	chr19:54509215-54509234	chr19:54509235-54509334	chr19:54509335-54509384	chr19:54509385-54509534	chr19:54509535-54509604	chr19:54509605-54509684	chr19:54509685-54509834	chr19:54509835-54509904	chr19:54509905-54509984	chr19:54509985-54510024	chr19:54510025-54510134	chr19:54510135-54510224	chr19:54510225-54510284	chr19:54510285-54510434	chr19:54510435-54510514	chr19:54510515-54510584	chr19:54510585-54510734	chr19:54510735-54510884	chr19:54510885-54511034	chr19:54511035-54511184	chr19:54511185-54511334	chr19:54511335-54511484	chr19:54511485-54511585	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000868.3.80ce343a-5712-49f6-8c5c-1e3104623262.fc.signal	1.74568	0.810699	2.04323	1.11494	0.144942	0.516589	0.263869	0.914175	1.42701	0.209436	0.540707	0.772598	0	0	0	1.37495	0.464541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.683071	0.402063	0.479727	0	0	0	0	0	0.305825
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.0d6e9ac4-1ee5-4f7e-8d0d-48a48250ff2d.fc.signal	79.0558	57.5666	40.2127	23.3	10.0662	18.2722	19.0901	36.2101	29.0969	31.0102	34.3511	22.2637	17.9884	23.762	27.5729	15.3594	2.46968	0.507933	0.00656975	0	0	0.0161717	0.35471	0.704117	1.051	0.380068	0.255243	1.50085	2.7149	2.62731	1.32024	0.78821	0.530198	0.236493	0	0	0.124825	0.784463	2.10362	1.51683	3.09497	2.08785	1.94948	2.43464	2.60131	0.612133
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000142.3.04c97833-79e3-4e15-a844-d12897753030.fc.signal	4.08303	5.71609	3.89017	1.07727	0.840299	0.948056	4.98421	6.24103	3.87103	1.24605	1.63299	0.547201	3.49039	2.28385	0.574547	0	0	0	0	0	0	0	0	0	0	0	0.146219	0.5387	0.398638	0	0	0	0	0	0	0	0.518499	0.5387	0.226254	0.441734	0.312446	0	0	0	0	0.387097
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001914.1.10de6d23-02d2-4d71-9c7c-c7a23a9dea76.fc.signal	10.341	2.12014	1.94134	2.26921	0.749705	0.0278832	0.294325	3.38291	1.94859	0.641317	0.985141	1.55207	2.04771	1.36703	0.728049	0.0433739	0	0	0	0	0	0	0	0	0	0	0	0	0.520492	1.4936	0.92945	0.546048	0	0	0	0	0	0	0	0	0	0	0.388459	0.47781	0.685582	0.521127
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.2bbf1d92-dd54-451c-865f-3578546b9653.fc.signal	1.45397	0.921449	0.720495	0.263731	0.123444	0.391011	0.680775	1.46494	1.90361	2.6673	1.83123	0.650157	1.77585	3.14752	3.2405	3.1144	0.960263	0.1854	0	0	0	0.0314405	0.218979	0.440236	0.313611	0.454007	0.547313	1.82991	5.11073	4.39781	1.55434	0.520103	0.246539	0.449806	2.22377	1.82327	0.50145	1.34001	0.647018	0	0	0	0.434607	0.230537	0.55164	0.626781
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003806.1.ea2564bf-c4d4-400e-ac7f-5d44b98fa6dd.fc.signal	0.479751	0.533935	0.274446	0.11243	0.0936008	0.549183	2.58529	5.08923	2.86499	1.31902	0.613895	0.304099	0.443456	0.330528	0.804483	0.622433	0.36363	0.15261	0.00381525	0	0	0	0	0	0	0	0	0.190689	0.362064	0.196185	0.217414	0.167858	0.15261	0.0440873	0	0	0	0	0	0	0	0	0	0	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001952.2.a99a5a16-aeda-4bbd-b32c-e69190f2f046.fc.signal	5.70667	4.48547	3.63151	1.99828	0.640706	1.0996	0.822552	2.0533	1.83336	2.78528	2.62947	2.60096	2.29435	2.44235	0.936264	0.414527	0.105743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101496	0.625864	0.420777	0.629617	0.484621	0.522419	0.198565	0.551121
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001965.2.53f657c9-ccc3-46a9-8812-1aa30d387b18.fc.signal	0.306638	0.296197	0	0	0	0	0	0.347192	0.196795	0.102396	0.345025	0.0810747	0	0	0.233593	0.310391	0	0	0	0	0	0.0923038	0.37199	0.47999	0.23999	0.0143994	0	0	0	0	0	0	0	0.237326	0.47999	0.209594	0	0.219419	0.570335	0.908776	0.252792	0.763178	0.132797	1.20637	0.99324	0.782578
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000743.1.088d52ff-571b-447d-8cd1-62f5248229a2.fc.signal	1.49368	1.23467	1.13983	0.721	0.10879	0.318074	0.13846	0.919519	0.995364	0.83366	1.08931	0.349362	0.331207	0.547072	0.766303	0.870067	0.276055	0	0	0	0	0.0836583	0.49431	0.479486	0.00989	0	0	0	0.240565	0.473128	0	0	0	0	0.222484	0.372398	0.00618125	0.427251	0.688813	0.843714	0.400427	0.402089	1.30512	1.56223	0.195778	0.711297
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003824.4.cc1ccc19-c2bd-4f77-8714-4fe6bab0d403.fc.signal	1.68262	3.5855	2.90224	0.969034	0.120384	0.440489	0.831067	0.505051	0.102767	0	0	0.458105	0.816387	0.779163	0.366052	0.0329951	0	0	0	0	0	0	0	0	0	0	0	0	0.0550193	0.44043	0.390882	0	0	0.29362	0.44043	0.117448	0	0	0.0381706	0.769411	0.132129	0	0	0	0	0.684932
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000152.3.8ed625cd-d912-4521-bd62-5effff61a9e5.fc.signal	0	0.28035	0.34724	0.052086	0.213472	0.498102	0.297187	1.18626	0.37253	0.175801	0.895558	0.175935	0	0.590188	0.121386	0	0	0	0	0	0	0	0	0	0	0	0.062786	0.62786	0.347416	0	0	0	0	0	0	0	0	0.0538166	0.62786	0.0586003	0	0	0.485545	0.22603	0	0.253425
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000024.3.507eb0be-d030-49de-aa26-daac8a7eec75.fc.signal	3.49325	3.70252	2.92028	1.19294	0.427632	0	0.263359	2.08852	1.57486	1.48885	1.30634	0.740533	1.2151	1.30532	0.500331	0.117339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0440021	0.603454	0.947252	0.656478	0.0630049	0.764564	0.132906	0.37967	0.100687	0.429967
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000882.3.a1fae682-17b9-4f19-a006-9c1bf5e5ca4f.fc.signal	1.08841	0.159633	0.943908	1.08199	0.224938	0	0	0	0.20317	1.47298	0.863472	0	0	0	0.667558	0.602254	0	0	0	0	0	0	0	0	0	0	0	0.0816308	1.08841	0.295426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.369048
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000969.7.3d784b78-f4bc-495c-ac9b-3091418dd4cd.fc.signal	0.314379	0.410874	0	0	0	0	0	0.345817	0.381184	0	0.0707352	0.844897	1.02567	0.620898	0.345817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.375781	0.58946	0.251503	0	0	0	0	0	0	0.395062
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001916.1.b312b64f-9e57-40a1-8990-36799deb53e5.fc.signal	0	0.521291	0.221587	0	0	0	0	0.411544	0.242701	0.280684	1.57432	1.16282	0.487496	0.21805	0.403694	1.46249	0.622562	0.1055	0	0	0	0	0	0	0	0	0	0.197813	0.464275	0.180857	0	0	0	0	0	0	0	0	0.468523	0.185712	0.06752	0.561384	0.0569711	0.6416	0.963552	0.549072
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001921.1.e0431336-7ca3-491c-a874-4a2ee7005698.fc.signal	11.9306	13.7544	12.7353	7.28254	5.75568	3.9091	8.2925	8.09625	5.90454	4.36869	3.13883	1.2365	1.34503	2.25578	2.78215	1.14165	0.24536	0.24536	0.24536	0.073608	0	0	0	0	0	0.0523435	0.970824	1.39537	1.7403	1.61225	1.27269	0.797337	0.104836	0	0	0.0278075	0.24536	0.24536	0.518511	0.624783	0.188109	0.65257	0.724548	0.487446	0.714116	0.523379
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003830.4.0fee77cc-ad56-4f5b-bfb6-451051158efc.fc.signal	3.41848	5.48801	2.85355	2.66618	1.02036	0.726306	1.44122	1.43994	1.13709	2.78137	0.567597	0.0746314	1.1238	1.13655	0.870418	0.974199	0	0	0	0	0	0.798138	0.86465	0.086465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126823	1.5299	0	0	0.7
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000734.3.fc3ea2cc-fde7-4c36-bf2d-c79dc5b2ca08.fc.signal	0.159288	1.35689	2.56855	1.38853	0.475149	0	0	0	0	0.489217	0.633025	0.350065	0.0144826	0.479039	0.648312	0.610682	0.217218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.184324	0.195021	0.487894	1.30295	0.94464	1.3023	1.34366	1.01212	0.125023	0	0.642202
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003803.1.5811fe86-2f6b-4937-8c8f-b865bb36877a.fc.signal	2.73289	1.44524	0.95508	0.063672	0	0	1.09511	1.74447	1.68716	1.01724	1.62014	0.647549	0.573016	4.47568	4.25921	0.241933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71897	0.782401	0	0	0	0	0.507054	1.06316	0.602679
