	chr3:134640816-134640835	chr3:134640836-134640965	chr3:134640966-134641085	chr3:134641086-134641115	chr3:134641116-134641265	chr3:134641266-134641415	chr3:134641416-134641565	chr3:134641566-134641625	chr3:134641626-134641715	chr3:134641716-134641865	chr3:134641866-134642015	chr3:134642016-134642165	chr3:134642166-134642235	chr3:134642236-134642315	chr3:134642316-134642385	chr3:134642386-134642465	chr3:134642466-134642615	chr3:134642616-134642765	chr3:134642766-134642875	chr3:134642876-134642915	chr3:134642916-134643065	chr3:134643066-134643215	chr3:134643216-134643365	chr3:134643366-134643465	chr3:134643466-134643515	chr3:134643516-134643595	chr3:134643596-134643665	chr3:134643666-134643815	chr3:134643816-134643825	chr3:134643826-134643965	chr3:134643966-134643995	chr3:134643996-134644095	chr3:134644096-134644115	chr3:134644116-134644225	chr3:134644226-134644265	chr3:134644266-134644415	chr3:134644416-134644565	chr3:134644566-134644715	chr3:134644716-134644865	chr3:134644866-134644955	chr3:134644956-134645015	chr3:134645016-134645165	chr3:134645166-134645225	chr3:134645226-134645315	chr3:134645316-134645465	chr3:134645466-134645475	chr3:134645476-134645615	chr3:134645616-134645765	chr3:134645766-134645878	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000236.3.50e4b52f-c2ee-4e5a-94ba-4c206af20e08.fc.signal	0.226896	0.0703371	0.287266	0.318378	0.302721	0.432751	0.921725	0.75137	0.274163	0.0509168	0.0441161	0.239989	0.521961	0.499249	0.521784	0.455711	0.305112	0.414206	0.759713	0.729458	0.632801	0.443127	0.458906	0.254595	0.288508	0.226037	0.181496	0.207334	0.316982	0.3403	0.283459	0.319708	0.149227	0.0892452	0.238701	0.400526	0.475025	0.277783	0.330222	0.309994	0.394844	0.407221	0.641118	0.526797	0.529092	0.562984	0.669252	0.418954	0.0818988	0.551282
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.38d96ded-07f5-41c6-bca5-4d0a649a7511.fc.signal	0	0	0	0.084557	0.190979	0.0791903	0.101937	0	0.0488688	0.110745	0	0.0413141	0.221679	0.183864	0.0483583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135767	0.127308	0.039784	0.141198	0.124285	0.0191675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.522005
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000864.3.f60db18a-9bf4-4a85-95cc-68f3cffdac0c.fc.signal	3.81075	0.115722	6.97188	2.07449	0	0	0	0	0	0	0	0	0.0977117	6.02255	5.76725	0	0	0	0	3.12665	6.75431	0	0	0	0	0	0	0	0	21.9779	10.7399	0.144266	8.65613	8.59827	0.719952	8.89455	6.52295	0.210516	11.1567	7.6943	0.0801477	0	0	0	7.66202	4.53925	0	0	0	0.535853
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000784.3.34f373d0-ec85-43e8-be9c-456d096f409b.fc.signal	0	0	0.0927379	0.89034	0.51936	0	0	0	0.239113	0.364199	0.108746	0.792946	0.696956	0	0.430748	0.823549	0.166159	1.07723	0.652382	0.626205	1.61906	2.5597	0.198275	0.264861	0.61613	0.237502	0	0	0	1.30993	1.40956	1.77164	2.67082	1.39532	1.124	2.10027	3.097	3.95585	1.94376	0.746864	0.437702	0.611351	1.01345	3.61592	2.44625	1.78048	0.786437	0.755233	2.94162	0.468395
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.f1a05120-9b28-47d7-97dd-561e9dce1de5.fc.signal	0.36436	0.427349	0.601902	0.53978	0.634082	0.334195	0.128597	0.50605	0.685331	0.183356	0.39465	0.0459612	0.0971229	0.872199	1.1442	0.611404	0	0.052434	0.843368	1.18427	0.557795	0.154237	0.445706	0.240479	0.55126	0.487578	0.143463	0.636387	0.63754	0.0182154	0	0	0.546235	1.03249	1.04929	0.200488	0	0.354473	0.243631	0	0	0.4434	0.386601	0	0	0	0.0713481	0.344279	0.00322442	0.580311
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003684.3.ccd0be12-ccb0-4c4e-b1e2-a054444b344c.fc.signal	0	0.121865	0.363898	0.189931	0.0087822	0	0	0	0.0154894	0.393903	0.321622	0.491312	0.447465	0.0599263	0	0	0	0	0.0627445	0.245523	0.13281	0	0.245833	0.223302	0.076106	0.166298	0.344562	0.385865	0	0.208821	0.100448	0	0	0	0	0.111629	0.136934	0.038643	0.147643	0.320513	0.401495	0.205828	0.130769	0	0	0	0.119063	0.170081	0.344419	0.550296
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003683.3.a1786588-e489-4c70-a7da-27b695059d11.fc.signal	0	0	0	0	0.131688	0.152543	0	0	0	0.189995	0.652027	0.185136	0	0	0	0.0712569	0.257968	0.0373613	0.186169	0.261151	0.257413	0.0611925	0	0	0.146697	0.163412	0.251907	0.127673	0	0	0	0	0	0	0	0	0	0	0	0.091032	0.173442	0.129081	0.172302	0.116999	0.051407	0.341862	0.311459	0.00568767	0.0797923	0.638587
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003696.3.3a6ae66a-e132-4cd3-9cf1-43065af659e9.fc.signal	0.744925	0.334884	0.480577	0.252145	0.348957	0.630624	0.642911	0.212658	0	0	0.0364421	0.305497	0.0587941	0	0	0	0.0705006	0.250147	0	0	0.258977	0.0866101	0.0793998	0.227431	0.231146	0.21872	0.0695623	0	0	0	0	0	0	0	0	0.0201769	0.161454	0.140193	0.0166019	0	0	0.20702	0.403225	0.118209	0.0269295	0.212145	0.197751	0.210958	0	0.720307
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.e849a0a4-b91f-4930-9a8d-97e433f1508c.fc.signal	0	0	0	0	0	0	0	0	0	0	0.232275	0.405931	0.319815	0.00406662	0	0	0	0	0	0	0	0.486418	1.14507	0.507854	0.36801	0.36801	0.036801	0.326302	0.36801	0.0709734	0	0.206086	0.36801	0.314481	0	0	0.0269874	0.36801	0.341023	0.16356	0	0	0	0	0	0	0	0	0	0.611639
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000230.3.271e563a-c6d5-4ee3-a33b-ac24715ad186.fc.signal	0.883724	1.18274	0.957751	0.872467	0.340209	0.833472	0.628493	0.028755	0	0.0573791	0.460651	0.77511	0.67489	0.585855	0.346473	0.32021	0.504473	0.627488	0.218009	0.0510747	0.193199	0.542863	0.715167	0.662592	0.584211	0.525562	0.360894	0.309649	0.295532	0.897793	0.979057	0.828709	0.860398	0.7244	0.818632	0.990622	0.886894	0.695	0.566051	0.75903	0.654683	0.648016	0.583307	0.714932	0.980463	1.21931	1.55989	1.56306	0.542663	0.458042
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003691.3.58df05be-1225-4fa7-a2b4-32d2d5f1b802.fc.signal	0.264729	0.238017	0.284389	0.381368	0.592697	0.37794	0	0.213125	0.28148	0.535911	0.273709	0.186118	0	0	0	0	0.0050568	0.183278	0.398532	0.644587	0.297013	0	0	0.0813599	0.253308	0.692511	0.502846	0.272102	0.248176	0.0248079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41271	0.549404	0.121985	0.649789
