	chr10:84255393-84255452	chr10:84255453-84255542	chr10:84255543-84255672	chr10:84255673-84255692	chr10:84255693-84255802	chr10:84255803-84255842	chr10:84255843-84255992	chr10:84255993-84256142	chr10:84256143-84256202	chr10:84256203-84256292	chr10:84256293-84256442	chr10:84256443-84256592	chr10:84256593-84256672	chr10:84256673-84256742	chr10:84256743-84256822	chr10:84256823-84256892	chr10:84256893-84256942	chr10:84256943-84257042	chr10:84257043-84257192	chr10:84257193-84257342	chr10:84257343-84257442	chr10:84257443-84257492	chr10:84257493-84257642	chr10:84257643-84257792	chr10:84257793-84257942	chr10:84257943-84258012	chr10:84258013-84258092	chr10:84258093-84258172	chr10:84258173-84258242	chr10:84258243-84258292	chr10:84258293-84258342	chr10:84258343-84258392	chr10:84258393-84258492	chr10:84258493-84258542	chr10:84258543-84258632	chr10:84258633-84258692	chr10:84258693-84258712	chr10:84258713-84258842	chr10:84258843-84258862	chr10:84258863-84258992	chr10:84258993-84259072	chr10:84259073-84259112	chr10:84259113-84259142	chr10:84259143-84259292	chr10:84259293-84259442	chr10:84259443-84259592	chr10:84259593-84259682	chr10:84259683-84259722	chr10:84259723-84259742	chr10:84259743-84259792	chr10:84259793-84259892	chr10:84259893-84260042	chr10:84260043-84260192	chr10:84260193-84260282	chr10:84260283-84260342	chr10:84260343-84260402	chr10:84260403-84260492	chr10:84260493-84260506	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.a6a9e168-f700-4b04-bb33-9eedccb77991.fc.signal	0	0	0	0	0	0.362492	0.607853	0.0584557	0	0	0.02494	0.374066	0.310188	0.121209	0.146716	0.235976	0.0547528	0.284487	2.15964	1.15959	0.881567	0.0530572	0.177944	0.810243	1.00989	0.823586	0.308019	0.0674085	0	0.127751	0.221609	0.419547	0.370844	0.354358	0.307666	0.431512	0.36525	0.607685	0.38157	0.098511	0.33383	0.265577	0	0.22004	0.521192	0.919353	1.43693	0.991902	0.076296	0.175522	1.07585	1.40388	0.996393	0.323297	0.233263	0.493191	0.38157	0.38157	0.435927
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.2aab058a-2f5b-45b4-aeba-aa0a2d209eb3.fc.signal	0	0	0	0	0	0	0	0	0	0	0.283855	0.130532	0	0	0.124316	0.31079	0.31079	0.149179	0	0	0.242416	0.31079	0.149179	0.347254	0.807201	1.02824	0.746023	0.32245	0.603943	0.491124	0.335661	0.833047	0.62171	0.596839	0	0	0.202014	0.521259	0.62171	0.308436	0	0.279711	0.31079	0.497342	0.445522	0.565744	0.0207193	0	0	0	0	0	0	0	0	0	0	0	0.337981
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.d0662727-3cb8-42a6-9eb8-875cfded9c1e.fc.signal	0.290488	0.107353	0	0	0	0	0	0	0	0	0.0409892	0.271309	0.182988	0.798864	0.740016	0.150573	0	0	0	0	0	0	0	0	0.0731125	0.242034	0.419242	0.565873	0.346165	0.583746	0.58556	0.58556	0.45608	0.524913	0.260268	0.246992	0.247564	0.110656	0	0	0	0	0	0	0	0.259598	0.582307	0.058556	0	0	0	0	0	0	0	0.101063	0.213576	0.49388	0.521368
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.47bafce5-cf92-4589-82d6-1f8a597d67d2.fc.signal	0.135517	0	0	0	0.212248	0.38933	0.233561	0.0018126	0.0906843	0.178828	0.483282	0.271187	0.231762	0.120466	0.119401	0.200295	0.23039	0.146464	0.33238	0.347548	0.136296	0.0857872	0.0498886	0.163933	0.143989	0.0945924	0.00196762	0.151321	0.240635	0.288544	0.208949	0.190739	0.251079	0.229913	0.153904	0.0931113	0.109171	0.121329	0.154236	0.0532029	0	0	0	0	0	0	0	0	0	0	0	0	0.214922	0.27785	0.138821	0.0294433	0	0	0.516784
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.b0b3e62c-a424-40a0-81dc-b67047b2608e.fc.signal	0.924634	0.726614	0.83919	0.356456	0.47335	0.542398	1.21084	1.09546	1.25562	0.965051	0.32829	0.541186	0.454121	0.414394	0.4332	0.383218	0.294867	0.772635	2.29962	2.3339	2.40306	1.04649	0.637882	0.408216	1.3145	1.98309	1.2564	1.39137	1.20406	1.09718	2.0828	2.52912	2.21842	0.52051	0.520446	0.627161	0.9298	0.99656	1.54975	1.49251	1.06154	1.542	1.10545	0.87607	1.39287	1.17864	0.337521	0.410678	1.10028	1.30177	1.97743	1.61585	2.28525	2.49111	0.986625	1.23036	1.16528	0.768981	0.544707
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003679.3.9a67dbab-2305-42d6-a0ec-7cb7b956e3e2.fc.signal	1.15101	0.639347	0.291205	0	0	0	0	0.0645649	0.28522	0.590446	0.671198	0.646248	1.11605	1.80128	1.24804	0.263055	0.608191	1.15392	1.35091	1.08631	1.68393	0.980341	0.79988	0.457539	0.374568	0	0.0641445	0.190098	0.294321	0.293359	0.359412	0.177545	0.0478119	0	0.268267	0.44517	0.264043	0.444241	0.700125	0.795384	0.758784	0.422018	0.0570313	0.0568504	0.964438	0.486851	0.846216	0.292674	0.284494	0.309206	0.989479	0.947814	0.87803	0.827625	0.457911	0.778631	0.527797	0.274485	0.444138
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.cb3f1a65-14b1-4058-aef5-bc7db4396fc3.fc.signal	0.77199	0.569142	0.213831	0	0	0	0	0	0	0.381465	0.579409	0.401431	0.469991	0.657791	0.376484	0.358218	0.741066	1.85815	0.960844	0.597606	0.504036	0.54489	0.110226	0	0.449436	0.731775	0.149891	0.27253	0.327002	0.408713	0.81741	0.948143	0.830962	0.457735	0.29174	0.994981	1.04543	1.02188	0.81741	0.271513	0.193581	0.508301	0.479677	0.655905	1.48596	1.55663	1.82543	1.08977	1.04891	0.452288	0.280687	0.526753	1.00623	0.156528	0.20707	0.322455	0.191516	0.0711214	0.46729
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000243.3.d30ba9b4-7d2d-48aa-b02d-99eb8d60aa7d.fc.signal	0.497708	0.402954	0.350903	0.604356	0.622164	0.530251	0.318023	0.428885	0.591657	0.626114	0.2632	0.325748	0.439899	0.367701	0.279457	0.103565	0.021589	0.028821	0.109677	0.45171	0.554772	0.566227	0.766969	1.37728	0.980123	0.605016	0.499736	0.524637	0.618641	0.649652	0.722952	0.803768	0.643047	0.356825	0.353549	0.287577	0.374635	0.439936	0.385918	0.311845	0.172125	0.19751	0.199592	0.302731	0.299534	0.352556	0.320149	0.31344	0.271215	0.149788	0.103488	0.0061854	0	0.0316524	0.160818	0.20264	0.20264	0.201894	0.526992
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000238.3.0ab311fb-65be-4049-8c99-b5e3d0b121fe.fc.signal	0.69734	0.1665	0.016376	0	0	0	0.0579383	0.120286	0.0363623	0	0	0.0754969	0.133117	0.180095	0.273449	0.34809	0.575536	0.542457	0.415759	0.417237	0.382889	0.318027	0.312919	0.314456	0.928565	1.09192	0.604277	0.108448	0.0544181	0.184652	0.226971	0.265062	0.31065	0.34559	0.21977	0.178065	0.156903	0.18799	0.233439	0.221594	0.100077	0	0	0	0.0320245	0.150622	0.143153	0.0858905	0.084966	0.0050856	0	0.115982	0.150138	0.0389909	0	0	0	0	0.68254
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.8143faf4-bd87-4c0f-98f7-a0083493be0c.fc.signal	0.697579	0.433062	0.274551	0	0	0	0.155119	0.275616	0.124211	0	0	0	0.142608	0.327792	0.423687	0.511425	0.362448	0.447121	0.382748	0.179369	0.240402	0.364049	0.298145	0.0864499	0.312751	0.455706	0.302096	0.180015	0.376812	0.441524	0.450462	0.55846	0.367386	0.190314	0.182008	0.284668	0.35387	0.593052	0.686969	0.450419	0.348329	0.349716	0.34974	0.208248	0	0	0	0	0	0	0	0	0.309509	0.710797	0.704389	0.518798	0.0424623	0	0.430126
