	chr6:31718453-31718602	chr6:31718603-31718752	chr6:31718753-31718902	chr6:31718903-31719052	chr6:31719053-31719202	chr6:31719203-31719352	chr6:31719353-31719502	chr6:31719503-31719652	chr6:31719653-31719802	chr6:31719803-31719952	chr6:31719953-31720102	chr6:31720103-31720252	chr6:31720253-31720332	chr6:31720333-31720402	chr6:31720403-31720552	chr6:31720553-31720702	chr6:31720703-31720852	chr6:31720853-31721002	chr6:31721003-31721152	chr6:31721153-31721302	chr6:31721303-31721452	chr6:31721453-31721602	chr6:31721603-31721752	chr6:31721753-31721902	chr6:31721903-31722052	chr6:31722053-31722202	chr6:31722203-31722352	chr6:31722353-31722502	chr6:31722503-31722652	chr6:31722653-31722802	chr6:31722803-31722952	chr6:31722953-31723102	chr6:31723103-31723252	chr6:31723253-31723352	chr6:31723353-31723402	chr6:31723403-31723452	chr6:31723453-31723552	chr6:31723553-31723563	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001965.2.53f657c9-ccc3-46a9-8812-1aa30d387b18.fc.signal	3.64166	3.98245	4.00645	3.30544	2.7587	3.25428	3.43036	3.53187	3.00573	4.47365	9.15531	11.149	9.2821	5.71209	3.53447	2.3564	2.05603	1.27837	1.77365	2.56009	2.96488	1.5808	1.41756	1.17917	1.15881	1.12182	0.994909	0.347107	1.24955	0.644783	0.347151	0.198395	0.345592	0	0.0431982	0.26879	0.71758	0.95997	0.200916
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003824.4.cc1ccc19-c2bd-4f77-8714-4fe6bab0d403.fc.signal	0.0730159	0.422056	0.700957	0.290145	1.25489	0.340763	0	0	0	0	0	0.0369977	0.448954	1.10422	0.334019	0.216858	0.577809	0.65191	0.230106	0.224438	1.51113	1.99293	1.73714	0.924749	0.684057	0.375186	0.253627	0	0	0	0.205994	0.500429	0.147763	0	0.187675	0.409252	1.82802	2.06091	0.354839
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000974.7.af2fffce-696b-421a-8732-73b351c68c67.fc.signal	0.573317	0.209283	0.437524	1.24658	1.97503	1.23672	1.87584	0.243046	0.337919	0.440834	0.79741	0.897854	1.70865	1.21846	0.336889	0.637548	1.48645	1.4337	1.23726	1.47061	1.13564	1.09665	1.17576	0.570107	0.85393	0.269147	0.880017	0.805817	0.19152	0.0722165	0.168908	0.922067	1.09372	1.44466	1.25895	0.674696	0.745927	1.3038	0.111235
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003400.1.1fc96c71-e7b0-4c32-a9b8-85db9118188b.fc.signal	1.58489	1.94431	0.554614	0.735277	0.951519	1.29135	0.637046	0.00231753	0.357851	1.91312	2.096	2.63834	1.36747	0.816994	1.00938	0.625322	0	0	0.884409	2.65836	2.45387	2.4283	0.316544	1.03861	0.782128	0	0.424285	0.387106	0	0.608312	1.72281	1.80459	0.158468	0.145688	0.76678	0.76678	0.69777	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000223.3.c621361d-dad0-4fef-8483-b87bec22a86a.fc.signal	1.32846	1.39835	2.16151	1.74726	0.887424	0.590788	0.47372	0.365491	0.452456	0.337861	0.186194	0.536868	0.750007	0.86781	0.539244	0.400055	0.425221	0.403793	0.468841	0.340923	0.293317	0.492627	0.468368	0.377382	0.393959	0.395056	0.395889	0.39419	0.441327	0.34896	0.144076	0.170052	0.113314	0.0010464	0.0516384	0.0916872	0.205378	0.273276	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000227.3.3324a0e7-9091-4952-b04e-d0a7fa0902ef.fc.signal	1.16636	1.09961	1.04529	0.907616	0.723463	0.531615	0.37158	0.311637	0.181722	0.449738	0.550627	0.248447	0.325953	0.461444	0.929354	0.957148	0.492307	0.0561675	0.00622113	0.349308	0.404652	0.133848	0.0535553	0.0082758	0.170758	0.137111	0.2836	0.466496	0.281543	0.0257998	0	0.20181	0.260222	0.0420842	0	0	0	0	0.848101
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003843.4.c4a2d88f-1de5-4172-8460-f71aa0a40d72.fc.signal	0.563524	0.486851	1.09436	0.416465	0.938255	1.2911	0.6875	0	0.247824	0.820014	0.00978893	0.695483	0.484383	1.02961	0.693712	0.607125	0.115981	1.44643	1.21893	0.65154	1.58003	0.151028	0.638856	1.3686	1.21357	0.563719	0.188137	0	0	0	0.703181	1.92294	0.364402	0	0	0	1.20963	1.56769	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000969.7.3d784b78-f4bc-495c-ac9b-3091418dd4cd.fc.signal	0.421373	0.773617	0.452212	0.233572	0	0	0	0.397484	0.596666	0.73641	0.215324	0.557198	0.741466	0.634655	0.204169	0.799312	0.336106	0.258773	0.349253	0.54626	1.05845	0.858946	0.315635	0.43613	1.50321	2.71914	1.23448	1.45382	0.151994	0.108551	0.88975	0.407807	1.18693	1.35848	1.46362	1.64047	0.881979	0.715081	0.129568
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003835.4.7cb1b260-ca75-46bb-8f6a-650a6447c78b.fc.signal	0.0342179	0.613369	0.426719	0.193524	1.72624	0.658731	0.149454	0	0	0	0	0	0	0	0.584583	1.42026	0.459434	0.0470503	0	0	0.462295	0.464969	0.680851	0.738974	0.371154	0	0.246035	0.812867	0.270731	1.10708	0.487113	0.370867	0.860806	1.47389	0.365334	1.46972	3.59954	3.73654	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003684.3.ccd0be12-ccb0-4c4e-b1e2-a054444b344c.fc.signal	2.52824	7.66944	6.25648	3.22174	2.21508	0.975345	1.62657	1.00727	2.28445	2.36076	3.18991	3.30134	4.11004	2.19185	2.60161	3.87003	2.60345	2.65134	1.00053	0.342423	1.4351	1.6242	0.714523	0.00806133	0.578802	2.8376	1.34414	0.479657	0.530442	0.143337	0.472404	0.421135	0.161461	0	0	0	0.396486	0.525653	0.85782
