	chr1:206010008-206010067	chr1:206010068-206010157	chr1:206010158-206010307	chr1:206010308-206010457	chr1:206010458-206010607	chr1:206010608-206010757	chr1:206010758-206010907	chr1:206010908-206011057	chr1:206011058-206011207	chr1:206011208-206011357	chr1:206011358-206011437	chr1:206011438-206011507	chr1:206011508-206011657	chr1:206011658-206011807	chr1:206011808-206011957	chr1:206011958-206012107	chr1:206012108-206012257	chr1:206012258-206012327	chr1:206012328-206012407	chr1:206012408-206012557	chr1:206012558-206012707	chr1:206012708-206012747	chr1:206012748-206012857	chr1:206012858-206013007	chr1:206013008-206013087	chr1:206013088-206013157	chr1:206013158-206013307	chr1:206013308-206013457	chr1:206013458-206013607	chr1:206013608-206013757	chr1:206013758-206013907	chr1:206013908-206014057	chr1:206014058-206014207	chr1:206014208-206014357	chr1:206014358-206014507	chr1:206014508-206014657	chr1:206014658-206014807	chr1:206014808-206014957	chr1:206014958-206015107	chr1:206015108-206015149	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003401.1.342281be-4e86-4e27-9e01-e85aacc54324.fc.signal	0.50153	0.850052	1.32772	1.1604	1.49907	1.91627	1.02879	0.343603	0.485194	0.347855	0.47922	0.641263	0.532357	0.30436	0	0.611929	0.654307	0.425253	0.383644	0.535009	0.750904	0.76676	0.554526	0.277561	0.316067	0.31949	0.1396	0.451542	0.658361	0.926384	0.563471	0.0684765	0.227023	0.856403	1.10323	0.557752	0.162202	0.277933	0.0630459	0	0.568537
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003834.5.f42a7840-4039-4ec1-810a-c63548aca642.fc.signal	1.20775	2.15757	2.44852	1.08931	2.78683	0.391078	0	0	0	0.124225	0.354028	0.526582	1.87445	1.89152	0.743029	1.85537	1.39024	1.33884	3.5732	3.102	1.54388	0.983416	1.35488	3.25206	1.34258	0.339788	1.41743	2.18735	0.691891	1.19838	1.91878	1.36052	1.49748	0.893874	0.16385	0.438718	1.11784	1.34507	0.442573	0.354139	0.684211
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.705d0a23-5da9-44fc-b8a6-299bfe826407.fc.signal	0.767069	0.987336	1.08553	1.01533	0.266474	0.0232078	0.413897	0.638419	0.813507	0.831414	0.587469	0.962696	0.888849	0.313098	0.277372	0.472243	0.972956	0.419416	0.721456	0.941858	0.52776	0.124393	0.0603891	0.899308	1.77053	1.61866	0.746271	1.88989	0.925296	1.32006	0.660573	0.58941	1.30744	0.65813	0	0	0.307574	1.5868	1.63889	1.03034	0.632907
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001016.4.09447dfd-b5f7-40f0-a631-e697e858aafa.fc.signal	0.804863	0.942618	0.361194	0.17484	0.569295	0.342316	0.529898	0.422706	1.0365	0.674862	0.848634	0.683531	0.25237	0.606217	0.965184	0.489177	1.0632	1.55756	3.41323	2.66796	1.48089	1.4474	1.23476	1.00964	0.210454	0	0.0787171	0.540451	0.888501	0.229534	0.974193	0.818149	1.19947	1.98283	0.596879	1.32008	1.21368	1.72706	2.43363	1.59728	0.627119
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001017.4.08666978-1909-4d2b-9188-2fa56b97d68c.fc.signal	0.186915	0.171521	0.14352	0.87595	2.32222	1.08935	0.13982	0.437516	0.334568	0.939437	1.13524	0.680995	0.973484	1.63684	0.837302	0.355703	1.14068	1.27991	1.23044	0.793768	0.131369	0	0.0351613	0.444616	0.473711	0.421939	0.466494	1.01758	0.746867	0.391566	0.693112	1.05175	1.02494	0.837369	0.895969	1.02566	1.00244	1.2306	0.821964	0.673611	0.664745
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.2bbf1d92-dd54-451c-865f-3578546b9653.fc.signal	0.562927	0.511971	0.802243	0.674762	0.209325	0.122861	0.318899	0.675624	0.167863	0.0143847	0.256828	0.501564	0.669039	0.582421	0.254996	0.421988	0.592727	0.68289	0.509929	0.524209	0.962172	0.807278	0.418996	0.352836	0.35434	0.82998	0.723459	0.19149	0.269044	0.373965	0.556954	0.640709	0.492673	0.61515	0.29981	0.378194	0.358439	0.357004	0.559027	0.491016	0.634573
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000236.3.50e4b52f-c2ee-4e5a-94ba-4c206af20e08.fc.signal	0.266197	0.529617	0.664159	0.703464	0.726071	0.214545	0.0198298	0.14956	0.562295	0.688579	0.68445	0.824	1.20484	1.24415	0.520526	0.445061	0.636989	0.605116	0.687459	0.933272	0.83406	0.44676	0.29074	0.125468	0.0440387	0.111692	0.604698	0.629316	0.490339	1.4963	1.32845	0.630445	0.797921	0.844844	0.41272	0.288934	1.07514	1.50913	0.848292	0.857621	0.303468
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.38d96ded-07f5-41c6-bca5-4d0a649a7511.fc.signal	0.246194	0.29861	0.272364	0.142152	0.11644	0.0724987	0.176556	0.3245	0.124911	0.15838	0.149398	0.10277	0	0.382096	0.783537	0.8893	0.394337	0.19021	0.471309	0.627353	0.294391	0.106843	0	0	0	0	0	0	0.136507	0.0589804	0	0	0	0	0	0	0	0.0400823	0.15728	0.160694	0.422983
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000310.2.13c9a4f1-6099-46e7-900d-6e97d2b9ea39.fc.signal	0	0	1.63072	2.40337	2.64	1.21826	0	0	0	0	0	3.56699	2.48473	3.20172	2.46075	0.459266	1.68417	0	0.536836	4.69865	5.29085	2.10197	0.0191088	0	0	0	0.347982	1.20652	0	0.0815247	1.5941	0.519072	0	0	0	3.01613	0.842857	0.543972	0.505456	0	0.411392
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001012.4.4385ecaa-47ed-48e3-8af5-20303d73a7da.fc.signal	0	0	0.0688954	0.361171	0.0927448	0.434361	0.5392	0.15076	0.0889887	0.759081	0.36042	0	0.984761	1.01501	1.32881	1.11092	0.238422	0.690547	1.18404	1.53075	1.87139	1.08006	0.469188	0.249663	0.216827	0.163292	0.0660997	0.312635	0.532752	0.934704	0.701762	0.702476	1.01244	0.928054	1.51422	1.56586	1.6576	1.11669	1.67221	1.39691	0.684741
