	chr11:15239067-15239216	chr11:15239217-15239266	chr11:15239267-15239366	chr11:15239367-15239396	chr11:15239397-15239516	chr11:15239517-15239626	chr11:15239627-15239666	chr11:15239667-15239816	chr11:15239817-15239846	chr11:15239847-15239966	chr11:15239967-15240116	chr11:15240117-15240266	chr11:15240267-15240396	chr11:15240397-15240416	chr11:15240417-15240456	chr11:15240457-15240566	chr11:15240567-15240646	chr11:15240647-15240716	chr11:15240717-15240866	chr11:15240867-15240956	chr11:15240957-15241016	chr11:15241017-15241056	chr11:15241057-15241166	chr11:15241167-15241316	chr11:15241317-15241366	chr11:15241367-15241466	chr11:15241467-15241616	chr11:15241617-15241706	chr11:15241707-15241766	chr11:15241767-15241916	chr11:15241917-15242006	chr11:15242007-15242066	chr11:15242067-15242216	chr11:15242217-15242306	chr11:15242307-15242366	chr11:15242367-15242436	chr11:15242437-15242516	chr11:15242517-15242586	chr11:15242587-15242666	chr11:15242667-15242816	chr11:15242817-15242966	chr11:15242967-15243036	chr11:15243037-15243116	chr11:15243117-15243176	chr11:15243177-15243256	chr11:15243257-15243266	chr11:15243267-15243316	chr11:15243317-15243416	chr11:15243417-15243486	chr11:15243487-15243566	chr11:15243567-15243616	chr11:15243617-15243716	chr11:15243717-15243866	chr11:15243867-15244016	chr11:15244017-15244106	chr11:15244107-15244145	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.2bbf1d92-dd54-451c-865f-3578546b9653.fc.signal	0.34205	0.635366	0.247316	0.119118	0.242595	0.622816	0.618049	0.483951	0.418227	0.544916	0.271345	0	0.0908585	0.11066	0.204768	0.502463	0.690685	0.365933	0.697356	1.18562	0.868403	0.883151	0.562471	0.404555	0.738611	0.419297	0.121589	0.302797	0.0533427	0.124906	0.568497	1.03213	0.390773	0.464498	1.31247	1.51024	0.642814	0.332813	0.353257	0.349057	0.325592	0.834492	0.434842	0.007261	0.0704276	0.590762	0.903207	0.961754	0.439779	0.279963	0.120963	0.250409	0.0698218	0	0.420033	1.05466	0.448922
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001039.6.4b84d196-177c-48b4-a7a5-bffad11f4762.fc.signal	0.387362	0.605949	0.602942	0.810869	0.848718	1.49565	2.25284	2.00063	1.32834	0.654679	0.475822	1.09027	1.0422	0.673106	0.544164	0.324385	0.187547	0	0.153945	0.191832	0.273447	0.140515	0.328129	0.64505	0.630443	0.392665	0.196285	0.132167	0	0.0724697	0.264682	0.617858	0.686212	0.549237	0.376087	0.348394	0.284198	0.290664	0.251392	0.221523	0.213789	0.218635	0.143927	0.0985643	0	0	0	0	0.108239	0.352645	0.358058	0.443306	0.487528	0.407005	0.240214	0.391068	0.198276
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003400.1.1fc96c71-e7b0-4c32-a9b8-85db9118188b.fc.signal	1.34961	0.593916	0.227011	0	0	0	0	0.695095	1.2191	1.21016	1.71567	1.04798	0.772679	0.76678	0.76678	1.31755	1.70621	1.63224	0.623648	0	0	0.076678	1.44305	1.38944	0.34763	0.326774	0.763509	0.36635	1.53368	1.80461	0.76678	0.690102	1.18604	1.48255	0.178915	0	0	0	0	0	0.753434	0.938713	0.277021	0.002897	0	0	0.132434	0.55181	0.615872	0.852475	0.577852	0.44325	0.0869017	0.76678	0.36635	0	0.145161
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.d0662727-3cb8-42a6-9eb8-875cfded9c1e.fc.signal	0.488275	0.479537	0.271256	0.216416	0.129745	0.445087	0.530089	0.518121	0.46513	0.293092	0.456621	0.338356	0.147236	0	0.160085	0.297643	0.147518	0	0	0	0	0	0	0	0	0	0.226411	0.503533	0.107756	0	0	0.059265	0.243219	0.101927	0.005415	0.140392	0.149042	0.0173657	0	0.101125	0.488787	0.51423	0.709554	0.660032	0.712666	0.550239	0.451449	0.175485	0.341139	0.697843	0.704905	0.494163	0.960691	0.710392	0.231885	0	0.380952
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000227.3.3324a0e7-9091-4952-b04e-d0a7fa0902ef.fc.signal	0.248355	0.172769	0.108431	0.184395	0.484964	0.501384	0.567919	0.486077	0.63174	0.608047	0.0623347	0	0	0	0	0.0180542	0.309578	0.479273	0.8994	0.617641	0.293471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.318088	0.76652	0.76652	0.858493	1.46545	0.96129	0.83327	0.566595	0.041659	0	0	0.138863	0.747797	0.373832
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.f1a05120-9b28-47d7-97dd-561e9dce1de5.fc.signal	0.52633	0.267201	0	0	0	0.0266714	1.13899	1.3543	1.18302	1.12238	0.0284097	0	0	0	0	0.0132499	0.990926	0.905814	1.07576	0.967421	0	0	0	0	0	0.0058298	0.256938	0.0674746	0	0	0.505563	0.539108	0.978028	2.39145	1.47198	0.340866	0	0	0	0	0	0	0	0	0.375927	0.59977	1.01845	1.04264	0.401399	0.398629	0.351243	0.210601	0	0.110535	0.564662	0.622868	0.406852
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003803.1.5811fe86-2f6b-4937-8c8f-b865bb36877a.fc.signal	1.56821	1.83051	2.02385	1.98118	0.295523	0	0.187003	2.00644	0.747317	0.206723	0	0.192631	1.03421	0.34089	0	0	0	0	0.812977	3.34814	1.82357	0.748438	0.1119	0	0	1.19299	0.497177	0	0	0.941796	0.428363	1.39556	1.46815	0.407057	0	0	0.349074	2.15114	2.60453	2.23491	0.993439	0	0.0139093	1.88774	5.90723	6.68834	4.13656	0.865866	0.604894	0.905627	2.02761	1.34765	0	0	0.554941	2.73825	0.682316
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003818.1.fdfc855b-3069-4eaf-80ec-59fca0202ead.fc.signal	2.11043	0.806478	1.19006	0.97298	0.922763	0.508938	0.928134	1.96732	2.07776	0.751571	0.571208	1.12823	0.682243	0.367107	0.367034	0.350694	1.31997	1.18253	0.0927249	0.185779	0.654633	0.669176	0.16355	2.07389	3.06108	0.838008	0.680618	1.55549	0.605771	0.177112	0	0.388413	1.2885	0.130788	0.245891	0.609306	0.701592	1.09028	1.17582	0.674561	1.3453	1.06755	1.99749	2.07929	1.28281	0.994274	0.820896	0.476778	0.0574286	0	0.177813	0.48835	0.602372	0.0842044	0	0.10063	0.511905
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003730.1.ca2c9686-19d9-4bbf-8dc9-072da982979c.fc.signal	1.15667	0.053388	0	0	0	0	0.342162	1.48371	1.15227	0.125682	0	0	0.147403	1.1272	1.18333	4.08919	3.14858	0.204018	0	1.90276	1.46839	1.00815	0.267295	0.671749	0	0	0	0.425079	1.08405	0.633591	0	0.557627	1.04656	0.035364	0	0	0.150141	0.672361	0.670685	0.097878	0	0	1.62127	1.82538	1.30621	0	0	0.00572	1.70221	2.26617	2.10081	1.25575	1.20494	0.425014	0.70737	1.77314	0.497561
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.f5651615-e1a0-4ca6-b62c-507789eb8f29.fc.signal	0	0	0	0	0.359298	0.192407	0.169157	0.529741	0.952432	0.680645	0.248876	0	0	0	0	0	0.218013	0.380788	0.367859	0.157674	0.132084	0.227965	0.478852	1.17519	1.14955	0.373562	0	0	0	0	0	0	0	0.531631	0.817282	1.10016	1.15944	1.96449	0.991963	0.585547	0.219345	0.55943	0.477874	0.618496	0.525131	0	0.215797	0.566037	0.448664	0.236287	0.55209	0.505933	0	0.336397	0.864956	1.09181	0.273649
