Event,Event type,Total Amount of IHEC Entries,Amount Segments total,Amount Significant Segments Spearman,Upstream,Overlapping Upstream Adjacent,Overlapping Upstream Adjacent + RoI,Overlapping Total Up-Down,Overlapping Downstream Adjacent + RoI,Overlapping Downstream Adjacent,Downstream,Overlap General,Significant Segments Spearman,Class,Rest,Sum
000000000000452_ENSG00000163092.19_SE:chr2:167241910-167242569:167251947-167254032:+_H3K27ac.txt,SE,12,163,32,3,0,0,0,0,5,1,23,"['chr2:167240309-167240368', 'chr2:167240369-167240418', 'chr2:167241299-167241358', 'chr2:167242769-167242858', 'chr2:167244119-167244218', 'chr2:167244219-167244268', 'chr2:167244269-167244318', 'chr2:167244719-167244868', 'chr2:167245019-167245088', 'chr2:167245499-167245618', 'chr2:167246319-167246368', 'chr2:167246369-167246488', 'chr2:167246489-167246518', 'chr2:167246519-167246548', 'chr2:167247809-167247838', 'chr2:167248319-167248468', 'chr2:167249009-167249068', 'chr2:167249069-167249118', 'chr2:167250269-167250418', 'chr2:167251409-167251468', 'chr2:167251469-167251508', 'chr2:167251509-167251598', 'chr2:167251599-167251618', 'chr2:167251619-167251688', 'chr2:167251689-167251768', 'chr2:167251769-167251858', 'chr2:167252219-167252318', 'chr2:167252319-167252368', 'chr2:167252369-167252408', 'chr2:167252409-167252468', 'chr2:167253779-167253868', 'chr2:167254319-167254408']",H3K27ac,0.0,9.0
000000000000272_ENSG00000131435.12_SE:chr5:132271466-132271791:132271908-132272025:+_H3K27ac.txt,SE,148,37,1,0,0,0,0,0,0,1,0,['chr5:132274091-132274240'],H3K27ac,0.0,1.0
000000000000154_ENSG00000106351.12_SE:chr7:100555735-100556594:100556626-100562259:+_H3K27ac.txt,SE,259,35,24,11,3,0,0,0,10,0,0,"['chr7:100554094-100554243', 'chr7:100554244-100554393', 'chr7:100554394-100554543', 'chr7:100554544-100554693', 'chr7:100554694-100554843', 'chr7:100554844-100554993', 'chr7:100554994-100555143', 'chr7:100555144-100555223', 'chr7:100555224-100555293', 'chr7:100555294-100555443', 'chr7:100555444-100555593', 'chr7:100555594-100555743', 'chr7:100555744-100555893', 'chr7:100555894-100556043', 'chr7:100557244-100557393', 'chr7:100557394-100557543', 'chr7:100557694-100557843', 'chr7:100557844-100557993', 'chr7:100558144-100558293', 'chr7:100558294-100558443', 'chr7:100558444-100558593', 'chr7:100558594-100558743', 'chr7:100558744-100558893', 'chr7:100558894-100559043']",H3K27ac,0.0,24.0
000000000000407_ENSG00000152207.7_SE:chr13:48693510-48694671:48694799-48696526:+_H3K27ac.txt,SE,45,39,3,0,1,0,0,0,2,0,0,"['chr13:48694271-48694420', 'chr13:48695021-48695170', 'chr13:48695171-48695320']",H3K27ac,0.0,3.0
000000000000311_ENSG00000137720.7_SE:chr11:111882598-111883136:111883202-111883771:+_H3K27ac.txt,SE,325,34,4,0,1,0,0,0,1,2,0,"['chr11:111882886-111883035', 'chr11:111883486-111883635', 'chr11:111883936-111884085', 'chr11:111884236-111884385']",H3K27ac,0.0,4.0
000000000000604_ENSG00000185009.12_SE:chr10:74138382-74138806:74138931-74150755:-_H3K27ac.txt,SE,347,35,20,9,1,0,0,0,10,0,0,"['chr10:74136306-74136455', 'chr10:74136456-74136605', 'chr10:74136606-74136755', 'chr10:74136756-74136905', 'chr10:74137056-74137205', 'chr10:74137356-74137505', 'chr10:74137506-74137655', 'chr10:74137656-74137805', 'chr10:74137806-74137955', 'chr10:74138406-74138555', 'chr10:74139156-74139305', 'chr10:74139306-74139455', 'chr10:74139456-74139605', 'chr10:74139906-74140055', 'chr10:74140056-74140205', 'chr10:74140356-74140505', 'chr10:74140506-74140655', 'chr10:74140656-74140805', 'chr10:74140806-74140955', 'chr10:74140956-74141105']",H3K27ac,0.0,20.0
000000000000578_ENSG00000177034.15_SE:chr5:79983794-79985571:79985659-79986950:-_H3K27ac.txt,SE,230,34,2,0,0,0,0,0,2,0,0,"['chr5:79986371-79986520', 'chr5:79986521-79986670']",H3K27ac,0.0,2.0
000000000000370_ENSG00000145362.17_SE:chr4:113369805-113372533:113372625-113373090:+_H3K27ac.txt,SE,94,37,7,0,5,0,0,0,0,2,0,"['chr4:113371383-113371532', 'chr4:113371533-113371682', 'chr4:113371683-113371832', 'chr4:113371833-113371902', 'chr4:113372283-113372432', 'chr4:113373333-113373482', 'chr4:113373483-113373632']",H3K27ac,0.0,7.0
000000000000396_ENSG00000151092.16_SE:chr3:25719635-25720014:25720191-25729133:-_H3K27ac.txt,SE,347,35,31,11,2,1,0,1,16,0,0,"['chr3:25717814-25717963', 'chr3:25717964-25718113', 'chr3:25718114-25718263', 'chr3:25718414-25718563', 'chr3:25718564-25718713', 'chr3:25718714-25718863', 'chr3:25718864-25719013', 'chr3:25719014-25719163', 'chr3:25719164-25719313', 'chr3:25719314-25719463', 'chr3:25719464-25719613', 'chr3:25719614-25719763', 'chr3:25719764-25719913', 'chr3:25719914-25720063', 'chr3:25720064-25720213', 'chr3:25720214-25720363', 'chr3:25720364-25720513', 'chr3:25720514-25720663', 'chr3:25720664-25720813', 'chr3:25720814-25720963', 'chr3:25720964-25721113', 'chr3:25721114-25721263', 'chr3:25721264-25721413', 'chr3:25721414-25721563', 'chr3:25721714-25721863', 'chr3:25721864-25722013', 'chr3:25722014-25722163', 'chr3:25722164-25722313', 'chr3:25722314-25722463', 'chr3:25722464-25722613', 'chr3:25722614-25722691']",H3K27ac,0.0,31.0
000000000000641_ENSG00000197483.9_SE:chr19:55476807-55479834:55479917-55481201:+_H3K27ac.txt,SE,157,36,4,0,0,0,0,0,1,3,0,"['chr19:55480484-55480633', 'chr19:55481384-55481533', 'chr19:55481534-55481683', 'chr19:55481984-55482023']",H3K27ac,0.0,4.0
